age,race,gender,grade90,income96,partner,height,weight,famsize,genhealth,illegalact,charged,jobsnum90,afqt89,typejob90,jobtrain90,income96gt17
18,ITALIAN,Female,12TH GRADE,1.1,No,505.0,127.0,4,Very Good,0,0,6,26,retail,No,0
17,GERMAN,Female,12TH GRADE,2.3,Yes,504.0,134.0,1,Very Good,0,1,14,32,pro,No,1
21,IRISH,Female,12TH GRADE,3.8,No,506.0,135.0,1,Excellent,0,0,5,65,pro,No,1
15,POLISH,Female,12TH GRADE,3.2,Yes,504.0,127.0,2,Good,0,0,10,29,pub,No,1
20,POLISH,Male,6TH YR COL,4.5,No,511.0,190.0,3,Very Good,0,0,9,84,fin,No,1
20,POLISH,Female,12TH GRADE,2.7,No,507.0,155.0,3,Fair,1,1,10,85,fin,No,1
18,POLISH,Male,4TH YR COL,5.3,No,510.0,185.0,3,Very Good,0,0,5,94,pro,No,1
17,GERMAN,Male,4TH YR COL,3.5,No,509.0,154.0,5,Good,0,0,3,58,pro,Yes,1
20,AMERICAN,Male,8TH YR COL OR MORE,1.5,No,508.0,150.0,5,Good,0,0,10,93,fin,No,0
15,ENGLISH,Female,11TH GRADE,1.0,No,508.0,130.0,6,Excellent,0,0,16,32,transp,No,0
19,ENGLISH,Male,3RD YR COL,6.2,No,511.0,195.0,5,Very Good,0,0,2,97,manuf,No,1
21,FRENCH,Male,4TH YR COL,0.45,No,510.0,155.0,2,Very Good,0,0,15,35,retail,No,0
14,ENGLISH,Female,4TH YR COL,1.8,No,505.0,156.0,5,Very Good,0,0,5,84,retail,No,1
17,FRENCH,Male,12TH GRADE,0.6,No,600.0,270.0,4,Very Good,0,0,11,56,construction,No,0
18,FRENCH,Female,3RD YR COL,0.1,Yes,501.0,110.0,4,Very Good,3,0,19,36,retail,No,0
20,FRENCH,Male,2ND YR COL,4.1,No,600.0,180.0,4,Very Good,0,1,3,71,retail,No,1
18,GERMAN,Male,4TH YR COL,5.8,No,510.0,160.0,6,Very Good,0,0,8,92,pub,Yes,1
16,ITALIAN,Female,12TH GRADE,4.2,No,504.0,280.0,4,Very Good,1,0,11,44,transp,No,1
17,FRENCH,Female,4TH YR COL,13.8775,No,506.0,120.0,7,Excellent,0,0,10,87,pro,No,1
16,IRISH,Female,4TH YR COL,1.1,No,503.0,120.0,7,Excellent,0,0,12,80,personal,No,0
20,IRISH,Female,5TH YR COL,4.6,No,510.0,160.0,4,Excellent,0,0,5,74,pro,Yes,1
16,ENGLISH,Female,6TH YR COL,0.6,No,504.0,130.0,3,Excellent,0,0,13,81,pro,No,0
14,POLISH,Female,12TH GRADE,0.0,Yes,504.0,150.0,5,Good,0,0,5,29,retail,No,0
17,GERMAN,Female,2ND YR COL,0.0,No,501.0,122.0,3,Excellent,0,0,3,25,fin,No,0
16,GERMAN,Male,12TH GRADE,3.24,No,600.0,231.0,5,Very Good,3,0,7,65,manuf,No,1
15,GERMAN,Female,12TH GRADE,5.45,No,505.0,130.0,5,Very Good,0,0,6,29,fin,Yes,1
19,GERMAN,Male,12TH GRADE,2.5,No,506.0,110.0,3,Very Good,0,0,17,41,busi,Yes,1
17,ITALIAN,Female,12TH GRADE,4.8,No,504.0,120.0,5,Very Good,0,0,7,92,fin,No,1
20,ITALIAN,Female,4TH YR COL,1.5,No,501.0,144.0,5,Very Good,0,0,8,85,fin,No,0
19,FRENCH,Female,2ND YR COL,3.46,No,506.0,170.0,5,Good,2,0,13,80,pub,No,1
17,FRENCH,Female,12TH GRADE,3.0,No,507.0,257.0,5,Very Good,2,1,10,31,pro,No,1
17,OTHER,Male,4TH YR COL,7.2,No,510.0,150.0,4,Very Good,0,0,10,98,retail,No,1
18,ENGLISH,Female,12TH GRADE,1.2,No,506.0,115.0,4,Very Good,0,0,7,43,fin,No,0
17,GERMAN,Male,1ST YR COL,3.7,No,510.0,220.0,5,Very Good,5,0,7,57,manuf,No,1
17,OTHER,Male,4TH YR COL,4.5,No,510.0,170.0,3,Good,0,0,7,80,manuf,No,1
18,PUERTORICAN,Female,1ST YR COL,3.5,No,501.0,116.0,5,Good,0,0,13,57,fin,No,1
20,GERMAN,Male,1ST YR COL,1.2,No,511.0,158.0,4,Very Good,2,0,7,82,construction,No,0
20,ITALIAN,Female,12TH GRADE,2.0,No,500.0,104.0,2,Very Good,0,0,7,42,transp,No,1
18,GERMAN,Female,1ST YR COL,2.0,No,506.0,120.0,5,Excellent,3,0,10,62,manuf,No,1
14,ENGLISH,Male,12TH GRADE,2.4,No,600.0,160.0,5,Excellent,0,0,8,48,manuf,No,1
19,GERMAN,Female,3RD YR COL,5.285,No,505.0,138.0,5,Excellent,0,0,11,78,wholesale,No,1
21,ITALIAN,Male,3RD YR COL,3.8,No,603.0,170.0,1,Very Good,0,0,3,65,busi,No,1
17,INDIAN,Female,6TH YR COL,0.0,No,503.0,118.0,4,Fair,0,0,8,73,pub,No,0
15,INDIAN,Male,6TH YR COL,5.0,No,507.0,142.0,4,Good,0,0,5,73,pro,No,1
15,ENGLISH,Female,4TH YR COL,2.5,No,501.0,110.0,4,Very Good,0,0,6,72,fin,Yes,1
21,FILIPINO,Male,4TH YR COL,6.1,No,508.0,155.0,4,Very Good,0,0,2,65,manuf,No,1
19,GERMAN,Male,6TH YR COL,8.35,No,600.0,160.0,4,Excellent,0,1,6,90,manuf,No,1
16,ITALIAN,Female,12TH GRADE,0.0,No,501.0,108.0,5,Excellent,0,0,20,15,fin,No,0
15,ENGLISH,Male,6TH YR COL,6.5,No,508.0,155.0,4,Good,2,0,4,63,personal,No,1
20,ITALIAN,Female,12TH GRADE,1.5,No,503.0,105.0,2,Good,0,0,3,24,busi,No,0
21,ITALIAN,Male,4TH YR COL,13.8775,No,511.0,165.0,4,Good,0,0,3,95,fin,No,1
15,ENGLISH,Female,4TH YR COL,3.7,No,506.0,118.0,5,Very Good,0,0,8,64,manuf,No,1
18,IRISH,Male,12TH GRADE,0.95,Yes,601.0,185.0,6,Very Good,0,0,6,64,manuf,No,0
16,IRISH,Male,4TH YR COL,0.0,No,511.0,155.0,6,Good,0,0,9,99,manuf,No,0
14,IRISH,Male,3RD YR COL,5.3,No,600.0,200.0,6,Excellent,2,0,9,54,retail,No,1
21,AMERICAN,Male,4TH YR COL,13.8775,Yes,507.0,150.0,2,Excellent,0,0,6,93,busi,No,1
19,GERMAN,Female,8TH YR COL OR MORE,6.9,No,504.0,110.0,4,Very Good,0,0,6,63,pro,No,1
17,GERMAN,Female,8TH YR COL OR MORE,8.0,No,507.0,110.0,4,Excellent,0,0,7,89,busi,No,1
17,BLACK,Male,9TH GRADE,0.0,No,505.0,165.0,11,Good,0,1,6,1,busi,No,0
21,BLACK,Female,12TH GRADE,0.24,No,503.0,135.0,3,Very Good,0,1,3,7,manuf,No,0
16,IRISH,Female,11TH GRADE,1.8,No,507.0,160.0,3,Very Good,0,0,31,38,fin,No,1
14,ITALIAN,Male,3RD YR COL,3.1,No,511.0,150.0,4,Excellent,0,0,6,29,fin,No,1
21,ITALIAN,Female,12TH GRADE,0.0,No,502.0,120.0,5,Very Good,0,0,4,42,pub,No,0
17,ITALIAN,Male,2ND YR COL,2.45,Yes,508.0,150.0,5,Very Good,0,0,5,55,agri,Yes,1
14,ENGLISH,Male,12TH GRADE,2.65,No,503.0,150.0,5,Very Good,0,0,7,19,construction,No,1
17,GERMAN,Male,12TH GRADE,2.2,No,509.0,260.0,3,Good,0,0,14,27,transp,No,1
15,GERMAN,Male,3RD YR COL,4.95,No,509.0,178.0,6,Excellent,0,0,5,62,pub,No,1
17,GERMAN,Female,1ST YR COL,2.5,No,505.0,135.0,4,Very Good,0,0,1,63,manuf,Yes,1
16,ENGLISH,Female,12TH GRADE,2.0,Yes,505.0,165.0,8,Good,0,0,11,46,retail,Yes,1
20,ENGLISH,Female,12TH GRADE,2.5,No,506.0,145.0,1,Excellent,0,0,16,35,pro,No,1
20,GERMAN,Male,12TH GRADE,4.1,No,600.0,215.0,1,Excellent,0,1,6,74,transp,No,1
21,ENGLISH,Female,12TH GRADE,1.6763,No,502.0,155.0,3,Good,0,0,9,79,pro,Yes,0
16,GERMAN,Female,2ND YR COL,1.5,No,504.0,100.0,5,Excellent,0,0,7,85,pro,No,0
20,ENGLISH,Male,7TH YR COL,4.3,No,510.0,145.0,6,Excellent,0,0,16,69,pro,No,1
17,ENGLISH,Male,12TH GRADE,1.8,No,600.0,160.0,6,Good,0,0,15,13,agri,No,1
16,GERMAN,Female,3RD YR COL,1.1,No,505.0,140.0,6,Good,0,0,4,39,retail,No,0
14,GERMAN,Male,11TH GRADE,1.33,No,507.0,175.0,4,Good,0,1,4,22,construction,No,0
17,POLISH,Female,12TH GRADE,2.5,Yes,505.0,120.0,2,Excellent,0,0,7,94,manuf,Yes,1
16,IRISH,Female,12TH GRADE,0.35,No,504.0,120.0,7,Very Good,0,0,4,42,retail,No,0
17,GERMAN,Female,12TH GRADE,0.73,No,504.0,120.0,5,Good,1,0,9,51,pro,No,0
21,GERMAN,Female,2ND YR COL,1.223,No,506.0,200.0,2,Very Good,0,0,13,81,retail,No,0
20,ENGLISH,Male,12TH GRADE,1.65,No,604.0,255.0,2,Very Good,0,1,8,69,retail,No,0
18,ENGLISH,Male,2ND YR COL,4.0,No,507.0,195.0,4,Excellent,0,0,3,88,manuf,No,1
16,GERMAN,Female,4TH YR COL,0.0,No,509.0,140.0,4,Very Good,0,0,9,95,pro,No,0
20,GERMAN,Male,12TH GRADE,2.2,No,507.0,160.0,3,Fair,0,1,12,54,construction,No,1
19,GERMAN,Male,4TH YR COL,13.8775,No,510.0,135.0,2,Very Good,0,0,6,87,pro,No,1
19,GERMAN,Male,3RD YR COL,5.0,No,511.0,176.0,3,Very Good,0,0,7,70,personal,No,1
18,IRISH,Male,1ST YR COL,3.7,No,604.0,205.0,5,Fair,0,0,14,84,transp,No,1
19,POLISH,Male,12TH GRADE,1.8,No,510.0,135.0,5,Very Good,0,0,9,33,personal,Yes,1
18,GREEK,Female,1ST YR COL,0.6,No,503.0,120.0,5,Very Good,0,0,5,44,retail,Yes,0
16,IRISH,Male,12TH GRADE,4.25,No,600.0,210.0,4,Good,0,0,3,51,retail,No,1
17,ENGLISH,Male,6TH YR COL,6.5,No,602.0,195.0,6,Excellent,2,0,6,81,transp,Yes,1
15,ENGLISH,Female,4TH YR COL,0.5,No,504.0,130.0,6,Good,1,0,10,79,transp,Yes,0
20,PUERTORICAN,Male,12TH GRADE,4.0,No,509.0,182.0,9,Excellent,0,0,7,22,pub,No,1
19,PUERTORICAN,Male,12TH GRADE,3.6,No,505.0,140.0,9,Very Good,0,0,6,44,busi,No,1
17,PUERTORICAN,Female,10TH GRADE,2.5,No,500.0,137.0,9,Very Good,0,0,3,13,retail,Yes,1
14,PUERTORICAN,Female,3RD YR COL,2.4,No,502.0,125.0,7,Very Good,0,0,5,51,pro,No,1
20,ENGLISH,Female,12TH GRADE,2.1,No,509.0,160.0,6,Excellent,0,0,9,31,manuf,No,1
20,BLACK,Male,12TH GRADE,0.1,No,602.0,225.0,4,Very Good,1,1,7,48,retail,No,0
22,ENGLISH,Female,6TH YR COL,0.02,No,505.0,115.0,4,Excellent,0,0,8,89,pro,No,0
19,ENGLISH,Female,1ST YR COL,0.15,No,503.0,131.0,4,Good,0,0,9,94,busi,No,0
21,FRENCH,Female,12TH GRADE,1.59,No,502.0,175.0,3,Excellent,0,0,6,69,busi,No,0
17,PUERTORICAN,Male,12TH GRADE,3.0,No,507.0,132.0,7,Very Good,0,0,3,22,busi,No,1
19,PUERTORICAN,Male,12TH GRADE,1.5,No,501.0,120.0,7,Good,0,0,6,6,busi,No,0
15,PUERTORICAN,Male,12TH GRADE,2.8,No,503.0,110.0,7,Excellent,0,0,4,5,manuf,No,1
19,BLACK,Male,1ST YR COL,2.35,No,510.0,173.0,2,Good,0,0,10,24,pro,Yes,1
21,FRENCH,Female,12TH GRADE,2.9,No,503.0,100.0,5,Very Good,0,0,1,53,busi,Yes,1
18,IRISH,Male,12TH GRADE,2.0,Yes,508.0,150.0,7,Very Good,0,0,2,18,construction,No,1
14,ENGLISH,Male,12TH GRADE,3.5,No,509.0,155.0,7,Good,0,0,2,15,construction,No,1
15,IRISH,Male,12TH GRADE,1.0,No,507.0,130.0,5,Good,3,0,10,12,retail,No,0
19,GERMAN,Male,4TH YR COL,2.295,No,601.0,170.0,4,Very Good,0,0,4,84,agri,No,1
22,GERMAN,Female,5TH YR COL,8.1,Yes,504.0,120.0,2,Very Good,0,0,8,66,pro,Yes,1
21,GERMAN,Female,4TH YR COL,3.8,No,507.0,140.0,5,Excellent,0,0,4,81,pro,Yes,1
20,ENGLISH,Female,4TH YR COL,3.0,No,509.0,140.0,4,Excellent,0,0,6,92,retail,No,1
17,PUERTORICAN,Male,9TH GRADE,0.0,No,503.0,130.0,5,Poor,0,1,6,2,retail,No,0
15,PUERTORICAN,Male,9TH GRADE,1.3,No,509.0,165.0,5,Very Good,3,1,7,27,manuf,Yes,0
22,BLACK,Female,12TH GRADE,3.1,No,508.0,149.0,2,Very Good,0,0,2,42,pub,No,1
20,BLACK,Male,10TH GRADE,1.0,No,511.0,185.0,6,Fair,0,1,7,1,personal,No,0
19,BLACK,Female,12TH GRADE,2.6,No,503.0,125.0,8,Very Good,0,0,3,20,pro,Yes,1
16,BLACK,Female,12TH GRADE,0.2244,No,503.0,100.0,8,Excellent,0,0,5,14,pro,No,0
16,GERMAN,Male,4TH YR COL,5.4,No,511.0,160.0,5,Very Good,0,0,5,96,manuf,No,1
20,BLACK,Female,1ST YR COL,2.0,No,500.0,128.0,2,Very Good,0,0,8,1,pro,No,1
19,ENGLISH,Female,4TH YR COL,0.0,No,503.0,110.0,3,Good,2,0,13,95,manuf,No,0
17,ITALIAN,Male,4TH YR COL,6.0,Yes,509.0,160.0,5,Excellent,4,0,19,37,personal,No,1
21,ITALIAN,Male,12TH GRADE,0.0,No,508.0,178.0,7,Excellent,6,0,6,56,construction,No,0
16,ITALIAN,Male,5TH YR COL,3.8,No,509.0,175.0,7,Good,0,0,12,46,construction,No,1
19,FRENCH,Male,12TH GRADE,13.8775,No,601.0,170.0,4,Very Good,3,0,10,24,pro,Yes,1
17,FRENCH,Female,12TH GRADE,3.5,No,504.0,225.0,4,Fair,0,0,3,45,fin,No,1
22,IRISH,Female,12TH GRADE,0.0,No,504.0,120.0,6,Good,0,0,2,71,fin,No,0
14,IRISH,Male,12TH GRADE,7.0,No,502.0,158.0,6,Very Good,5,0,11,42,transp,Yes,1
16,ENGLISH,Male,11TH GRADE,4.8,No,507.0,147.0,5,Very Good,0,0,16,43,transp,No,1
21,IRISH,Male,4TH YR COL,5.7,No,508.0,180.0,5,Very Good,3,0,13,59,retail,No,1
17,IRISH,Male,4TH YR COL,5.3,No,600.0,205.0,6,Very Good,0,0,9,32,pub,No,1
16,ENGLISH,Female,4TH YR COL,4.3,No,502.0,120.0,6,Very Good,1,1,10,32,retail,No,1
17,ENGLISH,Female,7TH YR COL,0.0,No,502.0,98.0,5,Very Good,0,0,13,87,pro,No,0
21,ENGLISH,Male,12TH GRADE,0.0575,No,511.0,135.0,5,Fair,1,1,6,25,manuf,No,0
17,ENGLISH,Female,12TH GRADE,0.0,Yes,505.0,107.0,5,Poor,0,0,15,31,retail,No,0
19,IRISH,Male,4TH YR COL,5.1,No,602.0,210.0,11,Very Good,3,0,8,88,wholesale,Yes,1
19,GERMAN,Female,4TH YR COL,2.7,No,509.0,170.0,3,Very Good,0,0,9,80,manuf,No,1
20,ENGLISH,Female,4TH YR COL,2.1,No,505.0,125.0,4,Very Good,0,0,5,94,fin,No,1
19,ENGLISH,Female,4TH YR COL,1.5,No,507.0,138.0,4,Very Good,0,0,9,92,busi,No,0
22,AMERICAN,Male,11TH GRADE,1.6,No,600.0,175.0,4,Good,0,0,10,10,retail,No,0
21,BLACK,Male,12TH GRADE,4.5,Yes,601.0,160.0,6,Very Good,0,0,6,58,pro,No,1
18,BLACK,Female,12TH GRADE,3.0,No,502.0,107.0,7,Very Good,0,0,7,35,fin,No,1
17,BLACK,Female,12TH GRADE,3.1,No,506.0,110.0,7,Very Good,0,0,2,52,pub,No,1
15,BLACK,Male,12TH GRADE,0.0,No,602.0,150.0,7,Very Good,0,0,8,1,manuf,No,0
16,BLACK,Female,3RD YR COL,5.9,No,500.0,190.0,7,Good,0,0,9,71,pro,No,1
19,ENGLISH,Male,12TH GRADE,4.6,Yes,600.0,215.0,4,Good,0,0,1,90,manuf,No,1
16,FRENCH,Male,12TH GRADE,4.4,No,600.0,190.0,4,Very Good,0,0,3,80,manuf,No,1
17,BLACK,Male,11TH GRADE,0.045,No,511.0,175.0,7,Fair,0,0,7,5,busi,No,0
15,BLACK,Male,12TH GRADE,0.5,No,603.0,175.0,3,Excellent,2,0,7,12,retail,No,0
17,GERMAN,Female,4TH YR COL,5.6,No,505.0,130.0,5,Very Good,0,0,6,99,manuf,No,1
17,ENGLISH,Female,12TH GRADE,1.7,No,411.0,110.0,4,Very Good,0,1,9,24,retail,No,0
21,GERMAN,Female,12TH GRADE,0.0,No,506.0,130.0,2,Very Good,0,0,1,29,retail,No,0
22,ENGLISH,Male,7TH GRADE,0.0,No,602.0,195.0,1,Fair,0,0,9,6,pro,No,0
19,ENGLISH,Female,1ST YR COL,0.5,No,500.0,110.0,5,Very Good,0,0,3,22,retail,No,0
15,ENGLISH,Male,1ST YR COL,0.5,No,505.0,130.0,5,Very Good,0,0,2,33,manuf,No,0
16,GERMAN,Female,4TH YR COL,3.2,No,505.0,122.0,4,Excellent,0,0,9,40,pub,No,1
18,ENGLISH,Male,12TH GRADE,6.1,No,601.0,220.0,4,Very Good,1,0,5,79,manuf,No,1
21,ENGLISH,Male,4TH YR COL,7.3,No,511.0,165.0,1,Excellent,0,0,16,92,pro,No,1
18,GERMAN,Male,12TH GRADE,1.1663,No,511.0,195.0,1,Fair,3,0,3,64,manuf,No,0
16,ENGLISH,Male,12TH GRADE,1.15,Yes,511.0,182.0,5,Good,1,0,15,17,construction,Yes,0
17,ENGLISH,Male,10TH GRADE,2.5,No,510.0,175.0,6,Very Good,3,0,16,12,construction,No,1
18,ITALIAN,Male,12TH GRADE,2.1,No,600.0,170.0,4,Very Good,0,0,8,56,busi,No,1
14,ITALIAN,Female,1ST YR COL,1.7,No,504.0,132.0,4,Very Good,0,0,5,45,enter,No,0
20,OTHER,Male,7TH YR COL,4.2,No,507.0,165.0,5,Very Good,0,0,16,99,pro,No,1
21,ENGLISH,Male,12TH GRADE,4.4,No,511.0,175.0,4,Excellent,0,0,1,89,manuf,No,1
21,ENGLISH,Female,12TH GRADE,0.0,No,504.0,182.0,4,Good,1,0,5,44,retail,No,0
21,ENGLISH,Male,12TH GRADE,6.5,No,602.0,200.0,2,Very Good,0,0,2,36,manuf,No,1
18,ENGLISH,Male,12TH GRADE,1.2,No,600.0,198.0,5,Very Good,0,0,8,4,retail,No,0
15,ENGLISH,Male,12TH GRADE,0.0,No,511.0,175.0,4,Very Good,0,0,5,49,retail,No,0
16,GERMAN,Female,12TH GRADE,0.0,No,500.0,125.0,3,Excellent,0,0,2,58,retail,No,0
21,GERMAN,Female,12TH GRADE,1.1,No,504.0,151.0,2,Very Good,0,0,1,64,retail,No,0
16,GERMAN,Female,1ST YR COL,2.08,No,411.0,120.0,4,Very Good,3,0,7,80,manuf,No,1
17,GERMAN,Female,4TH YR COL,4.1,No,505.0,125.0,4,Very Good,0,0,7,78,pro,No,1
21,ENGLISH,Female,12TH GRADE,0.6,No,504.0,134.0,4,Very Good,0,0,8,56,pro,No,0
17,ENGLISH,Male,2ND YR COL,1.76,No,511.0,145.0,4,Excellent,0,0,4,96,busi,No,1
17,SCOTTISH,Female,4TH YR COL,0.37,No,507.0,167.0,4,Excellent,0,0,20,72,busi,No,0
14,ENGLISH,Male,4TH YR COL,3.5,No,600.0,185.0,4,Excellent,0,0,12,77,agri,No,1
18,ENGLISH,Female,12TH GRADE,1.86,No,502.0,125.0,5,Excellent,0,0,3,50,pro,No,1
14,ENGLISH,Female,4TH YR COL,0.5053,No,504.0,135.0,2,Good,0,0,7,46,pro,No,0
19,ENGLISH,Female,8TH YR COL OR MORE,1.5,No,504.0,118.0,3,Excellent,0,0,10,98,pro,No,0
20,GERMAN,Male,4TH YR COL,3.3,No,508.0,175.0,5,Excellent,0,0,6,64,enter,No,1
19,GERMAN,Male,4TH YR COL,3.9,No,509.0,175.0,5,Excellent,0,0,6,80,retail,No,1
17,GERMAN,Female,5TH YR COL,3.32,No,507.0,160.0,3,Very Good,1,0,9,82,pro,No,1
15,GERMAN,Female,4TH YR COL,0.0,No,504.0,125.0,3,Excellent,0,0,4,87,manuf,Yes,0
17,POLISH,Female,12TH GRADE,2.7,No,505.0,138.0,3,Good,0,0,4,35,fin,No,1
17,ENGLISH,Male,4TH YR COL,4.5,No,507.0,137.0,3,Very Good,0,0,5,89,manuf,No,1
19,ENGLISH,Female,4TH YR COL,3.5,No,509.0,150.0,3,Excellent,0,0,5,96,fin,No,1
19,GERMAN,Male,2ND YR COL,6.4,No,510.0,180.0,3,Very Good,1,0,4,81,wholesale,No,1
15,GERMAN,Female,12TH GRADE,2.1,No,506.0,148.0,3,Very Good,0,0,6,86,fin,No,1
20,GERMAN,Male,4TH YR COL,4.6,No,506.0,125.0,1,Excellent,0,1,4,93,pro,No,1
17,FRENCH,Male,11TH GRADE,0.0,Yes,511.0,165.0,3,Very Good,2,0,5,6,manuf,No,0
19,ENGLISH,Female,12TH GRADE,0.8,No,507.0,200.0,2,Poor,0,0,3,32,retail,No,0
16,FRENCH,Female,11TH GRADE,1.74,No,507.0,130.0,6,Very Good,0,0,12,31,retail,No,1
18,FRENCH,Female,12TH GRADE,2.2,Yes,505.0,125.0,6,Good,0,0,4,30,manuf,No,1
14,FRENCH,Female,12TH GRADE,1.3,No,503.0,112.0,6,Good,1,1,5,13,personal,No,0
15,NATIVE-AMERICAN,Male,12TH GRADE,1.2,No,600.0,145.0,7,Excellent,2,0,16,17,construction,No,0
19,NATIVE-AMERICAN,Female,9TH GRADE,1.5,No,502.0,116.0,6,Very Good,0,0,2,42,busi,No,0
15,GERMAN,Male,12TH GRADE,6.4,No,602.0,145.0,4,Very Good,0,0,9,56,busi,Yes,1
21,SCOTTISH,Male,6TH YR COL,2.8,Yes,511.0,205.0,3,Excellent,0,0,3,57,pro,No,1
21,GERMAN,Male,7TH YR COL,13.8775,Yes,603.0,210.0,4,Good,0,0,5,99,pro,No,1
19,GERMAN,Male,7TH YR COL,5.7,No,602.0,180.0,4,Excellent,0,0,12,88,manuf,No,1
22,GERMAN,Male,12TH GRADE,3.6,No,508.0,165.0,7,Very Good,0,0,3,58,manuf,No,1
16,IRISH,Female,10TH GRADE,4.2,Yes,503.0,102.0,5,Good,0,0,12,14,retail,No,1
15,IRISH,Male,12TH GRADE,3.0,No,506.0,145.0,5,Good,0,0,7,35,wholesale,No,1
