"In_your_own_words,_what_would_you_call_the_part_of_?",Personally_identification_as_a_Midwesterner?,Illinois_in_MW?,Indiana_in_MW?,Iowa_in_MW?,Kansas_in_MW?,Michigan_in_MW?,Minnesota_in_MW?,Missouri_in_MW?,Nebraska_in_MW?,North_Dakota_in_MW?,Ohio_in_MW?,South_Dakota_in_MW?,Wisconsin_in_MW?,Arkansas_in_MW?,Colorado_in_MW?,Kentucky_in_MW?,Oklahoma_in_MW?,Pennsylvania_in_MW?,West_Virginia_in_MW?,Montana_in_MW?,Wyoming_in_MW?,ZIP_Code,Gender,Age,Household_Income,Education,Location_(Census_Region)
Ca,Not at all,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,98656,Female,45-60,"$150,000+",Graduate degree,Pacific
THE NORTHWEST,Not at all,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,97502,Female,45-60,"$150,000+",Graduate degree,Pacific
west coast,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,90245,Male,45-60,"$150,000+",Graduate degree,Pacific
Southern california,Not at all,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,92782,Female,45-60,"$150,000+",Graduate degree,Pacific
West coast,Not at all,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,91304,Male,45-60,"$150,000+",Graduate degree,Pacific
West Coast,Not at all,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,94533,Female,45-60,"$150,000+",Graduate degree,Pacific
Pacific Northwest,Not at all,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,98665,Male,45-60,"$150,000+",Graduate degree,Pacific
California,Not at all,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,94085,Female,30-44,"$150,000+",Graduate degree,Pacific
West coast,Not at all,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,92359,Female,30-44,"$150,000+",Graduate degree,Pacific
the west,Not much,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,95616,Female,30-44,"$150,000+",Graduate degree,Pacific
San Francisco Bay Area,Not much,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,94129,Female,30-44,"$150,000+",Graduate degree,Pacific
West Coast,Not at all,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,90036,Male,30-44,"$150,000+",Graduate degree,Pacific
hawaii,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,96814,Male,30-44,"$150,000+",Graduate degree,Pacific
Pacific Northwest,A lot,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,98101,Male,30-44,"$150,000+",Graduate degree,Pacific
West,Not at all,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,95018,Female,> 60,"$100,000 - $149,999",Graduate degree,Pacific
Golden State. The best in the Country.,Not at all,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,94044,Female,> 60,"$100,000 - $149,999",Graduate degree,Pacific
Western United States,Not at all,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,92253,Female,> 60,"$100,000 - $149,999",Graduate degree,Pacific
High desert pacific new united syates,Not much,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,99336,Female,> 60,"$100,000 - $149,999",Graduate degree,Pacific
Northern California/West Coast,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,94037,Female,> 60,"$100,000 - $149,999",Graduate degree,Pacific
Pacific,Not at all,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,96753,Male,> 60,"$100,000 - $149,999",Graduate degree,Pacific
Pacific Northwest,Not at all,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,97132,Male,> 60,"$100,000 - $149,999",Graduate degree,Pacific
depressed,Not at all,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,39180,Male,> 60,"$100,000 - $149,999",Graduate degree,Pacific
Suburban,Not at all,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,92128,Female,30-44,"$100,000 - $149,999",Graduate degree,Pacific
West,A lot,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,93523,Female,30-44,"$100,000 - $149,999",Graduate degree,Pacific
Sunny Southern California,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,92122,Male,30-44,"$100,000 - $149,999",Graduate degree,Pacific
West Coast,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,92103,Male,30-44,"$100,000 - $149,999",Graduate degree,Pacific
Raining city,Not at all,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,98087,Male,18-29,"$100,000 - $149,999",Graduate degree,Pacific
the Southwest,Not much,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,92345,Female,> 60,"$50,000 - $99,999",Graduate degree,Pacific
Southwest,Not at all,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,92028,Female,> 60,"$50,000 - $99,999",Graduate degree,Pacific
The Pacific Northwest,Not at all,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,97520,Male,> 60,"$50,000 - $99,999",Graduate degree,Pacific
Southern California,Not at all,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,92107,Female,45-60,"$50,000 - $99,999",Graduate degree,Pacific
Pacific Northwest,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,98648,Female,45-60,"$50,000 - $99,999",Graduate degree,Pacific
Northern California,Not at all,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,95482,Male,45-60,"$50,000 - $99,999",Graduate degree,Pacific
Pacific Northwest,Not at all,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,97223,Male,45-60,"$50,000 - $99,999",Graduate degree,Pacific
The BAy Area (northern California),Not at all,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,94706,Male,45-60,"$50,000 - $99,999",Graduate degree,Pacific
San Francisco Bay Area,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,94040,Male,30-44,"$50,000 - $99,999",Graduate degree,Pacific
The west,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,95822,Female,18-29,"$50,000 - $99,999",Graduate degree,Pacific
the bay area,Some,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,94085,Female,> 60,"$25,000 - $49,999",Graduate degree,Pacific
I live out in the west.,Not at all,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,93602,Male,> 60,"$25,000 - $49,999",Graduate degree,Pacific
The far west.,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,95747,Male,> 60,"$25,000 - $49,999",Graduate degree,Pacific
Monterey Bay Area,Not at all,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,95076,Male,> 60,"$25,000 - $49,999",Graduate degree,Pacific
west coast,Not much,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,91941,Female,45-60,"$25,000 - $49,999",Graduate degree,Pacific
Northwest,Not at all,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,97080,Male,30-44,"$25,000 - $49,999",Graduate degree,Pacific
north western us,Some,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,97914,Male,30-44,"$25,000 - $49,999",Graduate degree,Pacific
Northwest,Not at all,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,97214,Female,18-29,"$25,000 - $49,999",Graduate degree,Pacific
West Coast,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,95336,Female,> 60,"$0 - $24,999",Graduate degree,Pacific
northwest,Not at all,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,98102,Male,> 60,"$0 - $24,999",Graduate degree,Pacific
west coast,Not at all,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,92105,Female,45-60,"$0 - $24,999",Graduate degree,Pacific
west coast,Not at all,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,97321,Female,45-60,"$0 - $24,999",Graduate degree,Pacific
The West,Not at all,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,94611,Male,45-60,"$0 - $24,999",Graduate degree,Pacific
"Pacific Northwest, more specifically, Central Oregon High Desert",Not at all,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,97760,Female,> 60,"$150,000+",Associate or bachelor degree,Pacific
West,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,94114,Female,> 60,"$150,000+",Associate or bachelor degree,Pacific
te northwest,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,98027,Male,> 60,"$150,000+",Associate or bachelor degree,Pacific
"Left coast, high taxes, corrupt government, illegal aliens",Not at all,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,92122,Male,> 60,"$150,000+",Associate or bachelor degree,Pacific
West,Not at all,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,91739,Female,45-60,"$150,000+",Associate or bachelor degree,Pacific
Southwest,Not at all,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,92128,Female,45-60,"$150,000+",Associate or bachelor degree,Pacific
Southern California,Not at all,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,92131,Female,45-60,"$150,000+",Associate or bachelor degree,Pacific
the West Coast,Not at all,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,91604,Female,45-60,"$150,000+",Associate or bachelor degree,Pacific
NW,Not at all,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,97224,Male,45-60,"$150,000+",Associate or bachelor degree,Pacific
North west,Not at all,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,97525,Male,45-60,"$150,000+",Associate or bachelor degree,Pacific
Inland Northwest,Not at all,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,89338,Male,45-60,"$150,000+",Associate or bachelor degree,Pacific
WA,Not at all,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,98040,Male,45-60,"$150,000+",Associate or bachelor degree,Pacific
Pacific Northwest,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,99114,Male,45-60,"$150,000+",Associate or bachelor degree,Pacific
CALIFORNIA,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,95060,Male,45-60,"$150,000+",Associate or bachelor degree,Pacific
Pacific Northwestner,Some,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,98033,Male,45-60,"$150,000+",Associate or bachelor degree,Pacific
West,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,94588,Female,30-44,"$150,000+",Associate or bachelor degree,Pacific
west coast,Not at all,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,92026,Female,30-44,"$150,000+",Associate or bachelor degree,Pacific
Southern California,Some,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,92131,Female,30-44,"$150,000+",Associate or bachelor degree,Pacific
"Scenic, mostly progressive, beautiful, warm, friendly, coastal, temperate, wine country",Not at all,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,93401,Male,30-44,"$150,000+",Associate or bachelor degree,Pacific
Pacific northwest,Not at all,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,97701,Female,30-44,"$150,000+",Associate or bachelor degree,Pacific
Southern California,Not at all,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,92024,Male,30-44,"$150,000+",Associate or bachelor degree,Pacific
Sunny California,Not at all,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,92009,Male,30-44,"$150,000+",Associate or bachelor degree,Pacific
Pacific northwest,A lot,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,97007,Male,30-44,"$150,000+",Associate or bachelor degree,Pacific
West coast,Not much,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,92115,Male,18-29,"$150,000+",Associate or bachelor degree,Pacific
West coast.,Not at all,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,97302,Male,18-29,"$150,000+",Associate or bachelor degree,Pacific
west,Not much,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,91406,Female,> 60,"$100,000 - $149,999",Associate or bachelor degree,Pacific
Pacific Northwest,Not at all,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,97062,Female,> 60,"$100,000 - $149,999",Associate or bachelor degree,Pacific
Southwest coastal,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,92123,Female,> 60,"$100,000 - $149,999",Associate or bachelor degree,Pacific
West Coast,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,94526,Female,45-60,"$100,000 - $149,999",Associate or bachelor degree,Pacific
West coast,Not at all,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,91702,Female,45-60,"$100,000 - $149,999",Associate or bachelor degree,Pacific
pacific northwest,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,97056,Female,45-60,"$100,000 - $149,999",Associate or bachelor degree,Pacific
Pacific Northwest,Not at all,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,98107,Female,30-44,"$100,000 - $149,999",Associate or bachelor degree,Pacific
West,Some,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,95409,Female,30-44,"$100,000 - $149,999",Associate or bachelor degree,Pacific
West Coast  SoCal  Southern California,Not at all,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,91320,Male,30-44,"$100,000 - $149,999",Associate or bachelor degree,Pacific
"Northern climate, Alaska",Not at all,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,99709,Female,30-44,"$100,000 - $149,999",Associate or bachelor degree,Pacific
paradise,Not at all,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,96816,Female,30-44,"$100,000 - $149,999",Associate or bachelor degree,Pacific
West Coast,Not at all,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,90803,Male,30-44,"$100,000 - $149,999",Associate or bachelor degree,Pacific
Pacific Northwest,Not at all,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,98144,Male,30-44,"$100,000 - $149,999",Associate or bachelor degree,Pacific
Northern California,Not at all,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,94044,Female,18-29,"$100,000 - $149,999",Associate or bachelor degree,Pacific
Northwest,Not at all,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,98329,Female,18-29,"$100,000 - $149,999",Associate or bachelor degree,Pacific
Pacific Coast,Not at all,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,95472,Female,> 60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
Northern California,Not at all,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,94609,Female,> 60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
the most beautiful place in the world,Not at all,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,95531,Female,> 60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
WESTERN REGION,Some,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,90034,Female,> 60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
tropical island,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,96789,Male,> 60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
The Pacific Northwest,Not at all,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,98337,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
West,Not at all,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,95610,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
West Coast,Not at all,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,92629,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
The west,Not much,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,94550,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
West Coast,A lot,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,95207,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
Southern California,Not at all,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,92260,Male,45-60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
southwest,Not at all,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,91730,Male,45-60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
California,Not much,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,95368,Male,45-60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
Pacific northwest,Not at all,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,98375,Female,30-44,"$50,000 - $99,999",Associate or bachelor degree,Pacific
Pacific Northwest,Some,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,98021,Female,30-44,"$50,000 - $99,999",Associate or bachelor degree,Pacific
west coast,Not at all,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,91710,Male,30-44,"$50,000 - $99,999",Associate or bachelor degree,Pacific
Northwest,Not at all,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,544,Male,30-44,"$50,000 - $99,999",Associate or bachelor degree,Pacific
Pacific Southwest,Not much,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,92108,Male,30-44,"$50,000 - $99,999",Associate or bachelor degree,Pacific
West coast,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,91601,Male,30-44,"$50,000 - $99,999",Associate or bachelor degree,Pacific
northwest,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,97006,Male,30-44,"$50,000 - $99,999",Associate or bachelor degree,Pacific
West,Not at all,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,92630,Female,18-29,"$50,000 - $99,999",Associate or bachelor degree,Pacific
Northwest,Not at all,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,95501,Female,18-29,"$50,000 - $99,999",Associate or bachelor degree,Pacific
Pacific Northwest,Some,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,60564,Female,18-29,"$50,000 - $99,999",Associate or bachelor degree,Pacific
Pacific Northwest,Not at all,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,97302,Male,18-29,"$50,000 - $99,999",Associate or bachelor degree,Pacific
Sf,Not at all,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,95014,Male,18-29,"$50,000 - $99,999",Associate or bachelor degree,Pacific
Western United Sates,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,95819,Female,> 60,"$25,000 - $49,999",Associate or bachelor degree,Pacific
"I live on an island in the Pacific Ocean.  Pacific.  Way, way west.   Tropical.",Some,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,96744,Female,> 60,"$25,000 - $49,999",Associate or bachelor degree,Pacific
Pacific Northwest,Not at all,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,97201,Male,45-60,"$25,000 - $49,999",Associate or bachelor degree,Pacific
