climbRate,Sgz,p,q,curRoll,absRoll,diffClb,diffRollRate,diffDiffClb,SaTime1,SaTime2,SaTime3,SaTime4,diffSaTime1,diffSaTime2,diffSaTime3,diffSaTime4,Sa,binaryClass
-130.0,-15.0,-0.2,0.02,-0.9,-12.0,4.0,-0.001,-0.1,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,P
199.0,-14.0,0.04,-0.04,-1.2,-12.0,10.0,0.007,-0.2,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,N
93.0,7.0,0.25,0.09,0.0,-11.0,-5.0,0.001,-0.1,-0.0008,-0.0007,-0.0007,-0.0007,-0.0002,0.0,0.0,0.0,-0.0007,N
-31.0,9.0,0.13,0.11,0.4,-11.0,-7.0,-0.008,-0.2,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,P
-26.0,7.0,0.03,0.02,0.6,-10.0,8.0,-0.007,-0.9,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,N
-128.0,5.0,-0.17,0.13,0.4,-11.0,-9.0,-0.01,-0.4,-0.0008,-0.0009,-0.0009,-0.0009,0.0001,0.0,0.0,0.0,-0.0009,P
-194.0,3.0,-0.17,-0.04,0.2,-11.0,-2.0,0.005,2.3,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,P
102.0,-3.0,0.16,-0.03,0.2,-11.0,7.0,0.007,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,P
146.0,2.0,0.25,0.03,0.5,-10.0,-1.0,0.005,0.5,-0.0006,-0.0006,-0.0006,-0.0006,-0.0002,0.0,0.0,0.0,-0.0006,N
-234.0,1.0,-0.12,0.13,1.0,-10.0,-11.0,-0.009,0.0,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,N
-323.0,-7.0,-0.22,0.09,0.7,-10.0,-3.0,-0.007,-0.4,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,P
-328.0,-15.0,-0.3,0.03,0.4,-11.0,4.0,-0.005,-0.3,-0.0006,-0.0007,-0.0007,-0.0008,0.0001,0.0,0.0001,0.0,-0.0008,P
200.0,-21.0,0.08,-0.12,-0.2,-11.0,17.0,0.011,-0.2,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,P
384.0,-10.0,0.27,-0.02,0.3,-11.0,6.0,0.008,0.5,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,N
318.0,3.0,0.34,0.1,0.8,-10.0,-10.0,0.002,1.0,-0.0008,-0.0006,-0.0006,-0.0006,-0.0002,0.0,-0.0002,0.0,-0.0006,N
-332.0,3.0,-0.21,0.16,1.2,-10.0,-14.0,-0.01,0.0,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,P
-427.0,-19.0,-0.36,0.05,0.3,-11.0,1.0,-0.002,-0.2,-0.0007,-0.0007,-0.0007,-0.0007,0.0001,0.0,0.0,0.0,-0.0007,P
139.0,-39.0,0.23,-0.03,-0.5,-11.0,8.0,0.008,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,P
-113.0,-34.0,0.32,0.07,-0.8,-12.0,-2.0,0.005,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,P
-54.0,-38.0,0.39,0.01,0.1,-11.0,4.0,0.002,0.1,-0.0007,-0.0006,-0.0006,-0.0006,-0.0002,0.0,0.0,0.0,-0.0006,P
-72.0,-39.0,0.29,0.07,0.6,-10.0,-8.0,-0.011,0.4,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,P
-81.0,-42.0,0.16,0.04,0.9,-10.0,1.0,-0.007,-0.5,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,P
-83.0,-46.0,-0.23,0.04,0.9,-10.0,-1.0,-0.012,0.0,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009,P
-27.0,-48.0,-0.38,0.01,0.4,-11.0,6.0,-0.009,-0.7,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,P
294.0,-17.0,0.3,0.04,-0.2,-11.0,1.0,0.003,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,P
146.0,-6.0,0.18,0.11,0.6,-10.0,-9.0,-0.007,-0.1,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,P
-182.0,-6.0,-0.33,0.14,0.4,-11.0,-11.0,-0.016,0.0,-0.0009,-0.0009,-0.0009,-0.0009,0.0001,0.0,0.0,0.0,-0.0009,P
-259.0,-10.0,-0.43,-0.05,0.0,-11.0,-2.0,-0.008,2.0,-0.0008,-0.0008,-0.0008,-0.0008,0.0001,0.0,0.0,0.0,-0.0008,P
-88.0,-16.0,-0.38,-0.05,-0.8,-12.0,11.0,0.006,-0.4,-0.0006,-0.0006,-0.0006,-0.0007,0.0,0.0,0.0001,0.0,-0.0007,P
330.0,-11.0,-0.09,-0.13,-1.4,-12.0,19.0,0.012,0.2,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,P
509.0,-3.0,0.06,0.04,-1.4,-12.0,5.0,0.011,-1.9,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,P
550.0,13.0,0.22,0.04,-1.2,-12.0,-1.0,0.009,0.5,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,P
188.0,50.0,0.24,0.13,0.7,-10.0,-11.0,-0.008,-0.1,-0.0008,-0.0007,-0.0007,-0.0007,-0.0002,0.0,0.0,0.0,-0.0007,P
14.0,52.0,0.03,0.14,0.9,-10.0,-12.0,-0.015,0.1,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009,P
-263.0,40.0,-0.51,0.09,-0.6,-11.0,-5.0,-0.007,0.0,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009,P
275.0,36.0,0.49,0.01,-0.6,-11.0,5.0,0.002,-0.2,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,P
-275.0,14.0,0.21,0.09,-0.3,-11.0,-4.0,-0.008,-0.4,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,P
462.0,24.0,0.25,0.02,-0.5,-11.0,4.0,0.001,-0.1,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,P
-534.0,11.0,-0.28,0.07,-0.5,-11.0,-2.0,0.006,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,P
-72.0,-35.0,0.36,0.01,0.8,-10.0,3.0,-0.005,-0.2,-0.0007,-0.0007,-0.0007,-0.0007,-0.0002,0.0,0.0,0.0,-0.0007,P
-149.0,-40.0,0.11,0.07,1.5,-9.0,-5.0,-0.01,0.1,-0.0008,-0.0007,-0.0007,-0.0007,-0.0002,0.0,0.0,0.0,-0.0007,P
-197.0,-43.0,-0.05,0.11,1.6,-9.0,-8.0,-0.021,-0.6,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009,P
-241.0,-48.0,-0.31,0.05,1.3,-10.0,1.0,-0.018,-0.5,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009,P
-202.0,-56.0,-0.42,0.0,0.5,-11.0,3.0,0.001,0.3,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,P
373.0,-51.0,0.01,-0.06,-0.9,-12.0,12.0,0.01,0.0,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,P
528.0,-34.0,0.2,0.01,-0.7,-12.0,6.0,0.008,-0.3,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,P
383.0,7.0,-0.01,0.09,0.2,-11.0,-6.0,-0.009,-0.1,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,P
172.0,17.0,-0.18,0.15,0.0,-11.0,-12.0,-0.008,-0.3,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,P
6.0,21.0,-0.24,0.09,-0.8,-12.0,-5.0,-0.001,-0.1,-0.0006,-0.0006,-0.0006,-0.0007,0.0001,0.0,0.0001,0.0,-0.0007,P
106.0,23.0,0.04,0.01,-1.0,-12.0,5.0,0.01,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,P
-311.0,13.0,-0.2,0.07,0.1,-11.0,-3.0,0.004,-0.3,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,P
84.0,-11.0,0.22,0.01,0.6,-10.0,4.0,0.001,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,P
-102.0,-9.0,-0.17,0.09,0.8,-10.0,-6.0,-0.01,0.0,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,P
357.0,9.0,0.33,0.02,-0.2,-11.0,3.0,0.002,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,P
321.0,21.0,0.27,0.1,0.6,-10.0,-7.0,-0.011,-0.4,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,P
-16.0,33.0,-0.46,0.11,0.1,-11.0,-8.0,-0.014,0.0,-0.0009,-0.0009,-0.0009,-0.0009,0.0001,0.0,0.0,0.0,-0.0009,P
320.0,48.0,0.41,0.01,-0.7,-12.0,5.0,0.009,-0.1,-0.0006,-0.0006,-0.0006,-0.0005,0.0,0.0,-0.0001,0.0,-0.0005,P
344.0,54.0,0.46,0.11,-0.3,-11.0,-4.0,0.004,-1.5,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,P
272.0,60.0,0.48,0.16,0.4,-11.0,-12.0,-0.006,-0.9,-0.0008,-0.0008,-0.0008,-0.0007,0.0,0.0,-0.0002,0.0,-0.0007,P
62.0,64.0,0.24,0.16,1.0,-10.0,-15.0,-0.017,0.0,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009,P
-499.0,48.0,-0.27,0.15,0.8,-10.0,-13.0,-0.01,0.0,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,P
-299.0,-18.0,0.12,0.01,-0.6,-12.0,5.0,0.008,0.0,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,P
-270.0,-21.0,0.17,-0.07,-0.6,-11.0,5.0,0.008,0.5,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,P
-173.0,-29.0,0.09,0.04,-0.1,-11.0,1.0,-0.007,-0.3,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,P
394.0,-17.0,-0.1,-0.03,-0.3,-11.0,8.0,-0.002,-0.1,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,P
478.0,6.0,-0.13,0.04,-0.6,-11.0,1.0,-0.002,0.1,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,P
193.0,60.0,0.06,0.1,0.1,-11.0,-7.0,-0.009,0.0,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,P
-380.0,53.0,-0.17,0.15,-0.4,-11.0,-12.0,-0.003,0.0,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,P
-366.0,26.0,-0.02,0.01,-0.9,-12.0,4.0,0.009,0.1,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,P
-92.0,14.0,0.28,-0.06,-0.5,-11.0,11.0,0.01,0.1,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,P
356.0,40.0,0.45,0.03,-0.3,-11.0,2.0,0.002,0.0,-0.0007,-0.0007,-0.0007,-0.0006,-0.0002,0.0,-0.0002,0.0,-0.0006,P
296.0,51.0,0.35,0.09,0.5,-11.0,-6.0,-0.008,0.3,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,P
-102.0,57.0,-0.08,0.17,1.0,-10.0,-15.0,-0.015,0.1,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009,P
-266.0,53.0,-0.21,0.15,0.8,-10.0,-14.0,-0.007,0.2,-0.0007,-0.0007,-0.0007,-0.0007,0.0001,0.0,0.0,0.0,-0.0007,P
-71.0,20.0,0.32,0.01,0.8,-10.0,4.0,0.005,-0.1,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,P
-146.0,17.0,0.16,0.1,1.4,-10.0,-7.0,-0.013,-0.1,-0.0007,-0.0008,-0.0008,-0.0008,0.0001,0.0,0.0,0.0,-0.0008,P
372.0,57.0,0.24,0.01,-0.9,-12.0,5.0,0.013,-0.1,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,P
346.0,76.0,0.54,0.07,0.5,-11.0,-4.0,0.004,-0.1,-0.0007,-0.0007,-0.0007,-0.0005,-0.0002,0.0,-0.0003,0.0,-0.0005,P
-455.0,73.0,-0.23,0.16,1.4,-10.0,-15.0,-0.012,0.0,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,P
-531.0,44.0,-0.25,0.02,0.5,-10.0,3.0,0.006,-0.2,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,P
-56.0,16.0,0.22,-0.05,0.4,-11.0,10.0,0.008,-0.1,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,P
253.0,48.0,0.29,0.04,-0.5,-11.0,2.0,0.003,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,P
-16.0,60.0,0.01,0.11,0.6,-10.0,-9.0,-0.01,-0.1,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,P
-212.0,55.0,-0.27,0.12,0.3,-11.0,-9.0,-0.011,-0.1,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009,P
-48.0,9.0,-0.05,0.04,-0.7,-12.0,2.0,0.006,0.0,-0.0006,-0.0006,-0.0006,-0.0006,0.0001,0.0,0.0,0.0,-0.0006,P
177.0,11.0,0.21,-0.03,-0.5,-11.0,9.0,0.007,-0.2,-0.0007,-0.0006,-0.0006,-0.0005,-0.0002,0.0,-0.0001,0.0,-0.0005,P
260.0,87.0,0.12,0.06,1.1,-10.0,-4.0,-0.015,0.1,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,P
-120.0,94.0,-0.36,0.12,0.4,-11.0,-9.0,-0.008,0.0,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,P
13.0,77.0,0.42,0.04,-0.3,-11.0,2.0,0.005,-0.2,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,P
-337.0,71.0,0.3,0.17,1.2,-10.0,-15.0,-0.01,-0.1,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,P
-514.0,33.0,-0.23,0.06,1.5,-10.0,-4.0,-0.015,0.1,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,P
-423.0,9.0,-0.45,0.0,0.4,-11.0,5.0,-0.005,-0.1,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,P
172.0,-5.0,-0.13,-0.08,-1.2,-12.0,14.0,0.009,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,P
348.0,5.0,0.03,-0.03,-1.3,-12.0,8.0,0.008,0.3,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,P
426.0,19.0,0.21,0.04,-1.1,-12.0,3.0,0.009,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,P
-242.0,-20.0,-0.65,0.03,-0.6,-11.0,2.0,-0.007,0.1,-0.0012,-0.0012,-0.0012,-0.0012,0.0,0.0,0.0,0.0,-0.0012,N
-225.0,-23.0,-0.65,-0.02,-1.2,-11.0,2.0,0.011,0.3,-0.0006,-0.0007,-0.0007,-0.0008,0.0001,0.0,0.0001,0.0,-0.0008,N
-29.0,-30.0,-0.02,0.01,-2.2,-12.0,6.0,0.019,-0.2,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,N
77.0,-22.0,0.37,0.06,-0.5,-10.0,-2.0,-0.001,-0.2,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,N
123.0,-18.0,0.26,0.02,0.6,-9.0,2.0,-0.006,-0.1,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009,N
-12.0,-14.0,-0.15,0.13,0.8,-9.0,-9.0,-0.019,-0.3,-0.0012,-0.0012,-0.0012,-0.0012,0.0,0.0,0.0,0.0,-0.0012,N
-75.0,-15.0,-0.28,0.02,0.6,-9.0,-7.0,-0.017,1.3,-0.0012,-0.0012,-0.0012,-0.0012,0.0,0.0,0.0,0.0,-0.0012,N
-86.0,-16.0,-0.38,-0.06,0.4,-10.0,2.0,-0.008,1.2,-0.0009,-0.0009,-0.0009,-0.001,0.0,0.0,0.0001,0.0,-0.001,N
184.0,-12.0,-0.1,0.01,-1.0,-11.0,5.0,0.007,-0.1,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,N
165.0,-3.0,0.02,0.09,-1.1,-11.0,-4.0,0.003,-0.3,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,N
-95.0,1.0,0.16,0.15,-0.8,-11.0,-11.0,0.004,-0.1,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,N
66.0,-4.0,0.11,0.01,0.3,-10.0,3.0,-0.009,-0.2,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009,N
-56.0,-2.0,-0.21,0.09,0.1,-10.0,-6.0,-0.007,-0.1,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009,N
-169.0,-8.0,-0.21,0.09,-0.7,-11.0,-5.0,0.002,0.0,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,N
162.0,-11.0,0.11,-0.09,-0.9,-11.0,14.0,0.01,-0.2,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,N
179.0,-2.0,0.29,0.1,-0.4,-10.0,-5.0,0.006,-0.4,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,N
-277.0,-4.0,0.14,0.19,0.6,-9.0,-16.0,-0.009,0.0,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009,N
-103.0,-33.0,-0.06,0.01,-0.7,-11.0,4.0,0.011,-0.1,-0.0005,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,N
100.0,-34.0,0.3,-0.07,-0.4,-10.0,10.0,0.015,-0.1,-0.0005,-0.0004,-0.0004,-0.0004,-0.0001,0.0,0.0,0.0,-0.0004,N
25.0,-26.0,0.46,0.1,1.5,-9.0,-7.0,-0.006,-0.5,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,N
-17.0,-26.0,0.43,0.02,1.8,-8.0,-8.0,-0.006,0.5,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,N
114.0,-18.0,-0.45,0.01,1.3,-9.0,2.0,-0.002,0.0,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,N
259.0,0.0,-0.06,0.02,-0.6,-10.0,3.0,0.01,-0.1,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,N
265.0,5.0,0.03,0.14,-0.6,-11.0,-6.0,0.007,-1.7,-0.0005,-0.0005,-0.0005,-0.0006,0.0,0.0,0.0001,0.0,-0.0006,N
124.0,11.0,0.26,0.12,-0.3,-10.0,-11.0,0.012,0.4,-0.0005,-0.0005,-0.0005,-0.0005,-0.0001,0.0,0.0,0.0,-0.0005,N
-67.0,12.0,0.36,0.1,0.7,-9.0,-7.0,0.001,0.0,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,N
-93.0,11.0,0.36,0.1,0.8,-9.0,-8.0,0.0,-0.2,-0.0007,-0.0007,-0.0007,-0.0006,0.0,0.0,-0.0002,0.0,-0.0006,N
-184.0,4.0,0.25,0.05,1.7,-8.0,-3.0,-0.006,-0.1,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,N
-291.0,-8.0,-0.03,0.07,2.1,-8.0,-6.0,-0.012,-0.1,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,P
492.0,3.0,0.0,-0.03,-0.6,-11.0,7.0,0.007,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,N
416.0,18.0,0.14,0.11,-0.5,-10.0,-13.0,0.007,1.3,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,N
395.0,19.0,0.15,0.13,-0.5,-10.0,-11.0,0.007,0.8,-0.0006,-0.0006,-0.0006,-0.0006,-0.0001,0.0,0.0,0.0,-0.0006,N
205.0,30.0,0.05,0.12,-0.2,-10.0,-10.0,-0.009,0.1,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,N
-273.0,30.0,-0.27,0.2,-0.5,-10.0,-18.0,-0.01,0.0,-0.0008,-0.0009,-0.0009,-0.0009,0.0001,0.0,0.0,0.0,-0.0009,N
-427.0,13.0,-0.2,0.05,-1.2,-11.0,-3.0,0.006,0.2,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,P
-356.0,-3.0,-0.05,0.01,-1.5,-11.0,4.0,0.007,0.1,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,P
