LABEL,P85,P75,RMT85,CS82,SS82,S82,ME84,REV84,REG,binaryClass
106.0,14.0,14.0,91.0,8,25,41,664.0,1380.0,4,P
107.0,21.0,19.0,145.0,12,25,49,1100.0,4117.0,4,P
108.0,17.0,15.0,133.0,16,17,45,882.0,1610.0,4,P
109.0,16.0,13.0,114.0,10,22,45,753.0,1413.0,4,P
110.0,13.0,11.0,78.0,8,15,41,521.0,1232.0,4,P
111.0,15.0,14.0,78.0,10,17,49,543.0,1622.0,4,P
112.0,13.0,12.0,72.0,8,12,41,532.0,1276.0,4,P
113.0,11.0,10.0,70.0,11,13,41,502.0,1201.0,4,P
114.0,229.0,247.0,3471.0,20,32,61,24694.0,17949.0,4,P
115.0,81.0,75.0,641.0,19,23,65,4807.0,6382.0,4,P
116.0,35.0,38.0,275.0,13,30,51,2112.0,3096.0,4,P
117.0,105.0,102.0,815.0,20,31,65,6323.0,9371.0,4,P
118.0,22.0,21.0,149.0,15,17,41,1031.0,2872.0,4,P
119.0,26.0,26.0,185.0,10,23,49,1495.0,2540.0,4,P
120.0,24.0,24.0,172.0,13,23,49,1299.0,2355.0,4,P
121.0,34.0,35.0,240.0,12,30,51,2089.0,3475.0,4,P
122.0,11.0,11.0,67.0,6,20,49,469.0,1726.0,5,P
123.0,77.0,74.0,526.0,17,32,71,4245.0,7533.0,5,P
124.0,21.0,19.0,122.0,10,15,49,917.0,2784.0,5,P
125.0,36.0,33.0,229.0,10,19,51,1560.0,4014.0,5,P
126.0,46.0,43.0,298.0,10,19,51,2439.0,10691.0,5,P
127.0,48.0,37.0,317.0,17,15,51,2115.0,6087.0,5,P
128.0,25.0,20.0,179.0,11,16,41,1089.0,2412.0,5,P
129.0,29.0,27.0,233.0,12,16,41,1377.0,2489.0,5,P
130.0,10.0,9.0,66.0,14,12,41,485.0,880.0,5,P
131.0,17.0,14.0,129.0,10,16,41,940.0,3690.0,5,P
132.0,12.0,10.0,87.0,10,10,41,543.0,1828.0,5,P
133.0,13.0,10.0,82.0,9,15,41,576.0,2092.0,5,P
134.0,9.0,9.0,63.0,7,19,41,385.0,1438.0,5,P
135.0,11.0,10.0,65.0,6,17,41,418.0,1135.0,5,P
136.0,12.0,11.0,72.0,8,12,41,524.0,1736.0,5,P
137.0,424.0,446.0,6720.0,21,35,81,47074.0,38945.0,5,P
138.0,49.0,47.0,381.0,14,25,61,2655.0,4660.0,5,P
139.0,31.0,28.0,240.0,12,19,49,1677.0,3307.0,5,P
140.0,15.0,15.0,118.0,7,23,41,781.0,3397.0,5,P
141.0,46.0,47.0,396.0,12,30,61,2610.0,4623.0,5,P
142.0,10.0,9.0,66.0,5,16,39,463.0,1190.0,5,P
143.0,5.0,5.0,35.0,6,12,41,253.0,538.0,5,N
144.0,7.0,7.0,43.0,6,13,35,344.0,725.0,5,N
145.0,23.0,22.0,166.0,9,26,49,1122.0,2025.0,5,N
146.0,31.0,28.0,216.0,12,14,41,1470.0,3065.0,5,N
147.0,9.0,8.0,53.0,10,11,41,393.0,895.0,5,N
148.0,12.0,12.0,82.0,9,19,45,539.0,1162.0,5,N
149.0,12.0,12.0,90.0,6,19,45,534.0,1243.0,5,N
150.0,11.0,10.0,62.0,8,14,41,414.0,1119.0,5,N
151.0,12.0,11.0,77.0,6,21,41,570.0,1178.0,5,N
152.0,32.0,30.0,207.0,10,23,51,1537.0,2955.0,5,N
153.0,11.0,10.0,68.0,10,14,41,474.0,1224.0,5,N
154.0,9.0,9.0,52.0,9,13,41,382.0,784.0,5,N
155.0,36.0,34.0,277.0,10,23,51,1918.0,3376.0,5,N
156.0,49.0,50.0,396.0,11,34,61,2881.0,4798.0,5,N
157.0,31.0,28.0,220.0,10,18,49,1579.0,2742.0,5,N
158.0,100.0,106.0,751.0,20,38,79,5742.0,7710.0,5,N
159.0,22.0,21.0,146.0,12,15,49,1053.0,2066.0,5,N
160.0,13.0,13.0,95.0,7,20,41,731.0,1101.0,5,N
161.0,6.0,5.0,37.0,8,9,39,256.0,658.0,5,N
162.0,6.0,6.0,35.0,11,10,41,280.0,521.0,5,N
163.0,7.0,5.0,39.0,9,13,35,329.0,637.0,5,N
164.0,9.0,6.0,46.0,8,12,35,387.0,813.0,5,N
165.0,8.0,8.0,59.0,6,18,35,401.0,762.0,5,N
166.0,6.0,7.0,44.0,8,19,41,311.0,731.0,5,N
167.0,17.0,17.0,105.0,12,12,49,782.0,1887.0,5,N
168.0,13.0,12.0,87.0,8,17,41,567.0,1324.0,5,N
169.0,11.0,11.0,66.0,6,18,41,597.0,1007.0,5,N
170.0,10.0,10.0,62.0,8,16,41,473.0,971.0,5,N
171.0,24.0,25.0,175.0,10,21,49,1386.0,2269.0,5,N
172.0,35.0,35.0,252.0,10,20,51,1890.0,3335.0,5,N
173.0,18.0,17.0,128.0,11,19,49,1058.0,1592.0,5,N
174.0,46.0,45.0,330.0,12,27,59,2656.0,4041.0,5,N
175.0,9.0,8.0,57.0,8,14,33,389.0,818.0,5,N
176.0,13.0,13.0,83.0,5,19,41,623.0,1192.0,5,N
177.0,32.0,33.0,208.0,11,19,51,1559.0,2681.0,5,N
178.0,11.0,9.0,74.0,8,17,39,533.0,977.0,6,N
179.0,9.0,10.0,63.0,6,22,41,411.0,869.0,6,N
180.0,15.0,16.0,109.0,7,25,49,803.0,2266.0,6,N
181.0,5.0,5.0,37.0,5,21,35,235.0,513.0,6,N
182.0,13.0,11.0,105.0,6,18,31,702.0,1366.0,6,N
183.0,5.0,6.0,38.0,3,27,39,245.0,433.0,6,N
184.0,12.0,11.0,82.0,6,25,41,646.0,935.0,6,N
185.0,10.0,11.0,76.0,5,27,45,501.0,1392.0,6,N
186.0,10.0,10.0,63.0,8,13,41,419.0,1011.0,6,N
187.0,13.0,14.0,86.0,7,15,41,552.0,1444.0,6,N
188.0,74.0,73.0,603.0,17,28,61,4270.0,6635.0,6,N
189.0,26.0,28.0,209.0,9,26,49,1398.0,2291.0,6,N
190.0,14.0,16.0,100.0,8,25,41,753.0,1509.0,6,N
191.0,17.0,19.0,121.0,4,32,49,885.0,1868.0,6,N
192.0,27.0,27.0,191.0,9,23,49,1441.0,2557.0,6,N
193.0,18.0,20.0,130.0,9,22,49,839.0,1719.0,6,N
194.0,8.0,9.0,63.0,3,23,41,411.0,950.0,2,N
195.0,17.0,17.0,128.0,6,25,45,1048.0,1606.0,2,N
196.0,12.0,12.0,90.0,3,26,41,607.0,1347.0,2,N
197.0,10.0,11.0,79.0,4,22,39,486.0,1102.0,2,N
198.0,7.0,7.0,50.0,1,18,35,325.0,688.0,2,N
199.0,118.0,118.0,1025.0,15,32,65,7700.0,11126.0,2,N
200.0,18.0,17.0,121.0,5,21,41,938.0,1645.0,2,N
201.0,12.0,11.0,87.0,7,23,45,552.0,1408.0,2,N
202.0,35.0,38.0,309.0,10,29,51,2173.0,3635.0,2,N
203.0,10.0,9.0,75.0,4,20,35,600.0,1064.0,2,N
204.0,25.0,25.0,189.0,7,25,49,1437.0,2898.0,2,N
205.0,5.0,5.0,36.0,4,24,39,255.0,692.0,2,N
206.0,11.0,11.0,82.0,4,28,39,612.0,913.0,2,N
207.0,13.0,13.0,84.0,4,18,41,564.0,1334.0,2,N
208.0,8.0,8.0,60.0,6,19,39,390.0,723.0,2,N
209.0,17.0,19.0,132.0,7,31,49,989.0,1197.0,2,N
210.0,7.0,7.0,46.0,4,22,35,296.0,605.0,2,N
211.0,118.0,118.0,965.0,15,35,65,6856.0,10702.0,2,N
212.0,21.0,20.0,155.0,8,21,49,1150.0,1988.0,2,N
213.0,14.0,16.0,132.0,6,24,41,769.0,1460.0,2,N
214.0,27.0,28.0,219.0,6,28,49,1544.0,2441.0,2,N
215.0,14.0,15.0,112.0,7,22,41,761.0,1238.0,2,N
216.0,8.0,9.0,53.0,6,24,49,311.0,844.0,6,N
217.0,12.0,12.0,90.0,6,24,49,543.0,2098.0,6,N
218.0,10.0,9.0,66.0,6,19,41,452.0,1113.0,6,N
219.0,14.0,13.0,100.0,8,18,49,700.0,1841.0,6,N
220.0,11.0,11.0,77.0,9,18,49,461.0,1416.0,6,N
221.0,7.0,7.0,52.0,7,15,31,356.0,826.0,6,N
222.0,8.0,9.0,60.0,5,23,49,422.0,2100.0,6,N
233.0,13.0,13.0,100.0,5,32,49,665.0,1500.0,6,N
224.0,20.0,18.0,153.0,4,19,49,1039.0,2223.0,6,N
225.0,51.0,47.0,418.0,14,26,61,2771.0,5137.0,6,N
226.0,46.0,46.0,392.0,9,36,61,2711.0,4852.0,6,N
227.0,11.0,10.0,76.0,7,18,41,503.0,1220.0,6,N
228.0,17.0,17.0,130.0,6,20,41,922.0,1630.0,6,N
229.0,25.0,27.0,197.0,5,28,49,1239.0,2461.0,6,N
230.0,30.0,33.0,262.0,6,32,51,1741.0,2395.0,6,N
231.0,7.0,6.0,49.0,3,23,41,321.0,694.0,6,N
232.0,12.0,15.0,105.0,4,27,41,672.0,1008.0,6,N
233.0,14.0,13.0,87.0,3,17,41,661.0,1447.0,6,N
234.0,12.0,12.0,70.0,3,18,41,579.0,1150.0,6,N
235.0,21.0,22.0,147.0,5,22,49,1242.0,2459.0,6,N
236.0,88.0,85.0,720.0,14,44,75,4758.0,8760.0,6,N
237.0,41.0,43.0,342.0,8,32,51,2182.0,4146.0,6,N
238.0,31.0,32.0,233.0,5,32,51,1579.0,3298.0,6,N
239.0,28.0,28.0,203.0,6,25,49,1524.0,2903.0,6,N
240.0,38.0,37.0,249.0,5,24,51,2073.0,3882.0,6,N
241.0,13.0,14.0,92.0,3,23,41,659.0,1989.0,7,N
242.0,18.0,18.0,134.0,3,29,49,945.0,2616.0,7,N
243.0,28.0,27.0,231.0,8,22,49,1560.0,2414.0,7,N
244.0,94.0,93.0,782.0,12,46,81,5779.0,9828.0,7,N
245.0,26.0,28.0,184.0,5,35,61,1455.0,2067.0,7,N
246.0,26.0,26.0,182.0,6,37,61,1494.0,6928.0,7,N
247.0,60.0,60.0,432.0,6,33,61,3070.0,6502.0,7,N
248.0,7.0,8.0,49.0,3,27,45,427.0,3832.0,7,N
249.0,9.0,10.0,63.0,5,30,49,502.0,970.0,7,N
250.0,14.0,13.0,94.0,5,23,49,813.0,2486.0,7,N
251.0,17.0,18.0,124.0,4,29,49,1061.0,2881.0,7,N
252.0,10.0,9.0,69.0,7,23,49,593.0,2399.0,7,N
253.0,9.0,9.0,53.0,7,21,45,484.0,1491.0,7,N
254.0,13.0,13.0,91.0,5,28,49,736.0,3647.0,7,N
255.0,56.0,53.0,451.0,12,38,75,3430.0,4677.0,7,N
256.0,8.0,8.0,53.0,3,14,31,428.0,727.0,8,N
257.0,3.0,4.0,21.0,5,11,31,173.0,347.0,8,N
258.0,7.0,7.0,42.0,5,14,35,323.0,903.0,8,N
259.0,8.0,7.0,50.0,3,15,41,408.0,706.0,8,N
260.0,5.0,6.0,40.0,3,15,31,287.0,1063.0,8,N
261.0,4.0,4.0,32.0,2,19,31,236.0,704.0,8,N
262.0,8.0,8.0,58.0,6,20,41,431.0,2246.0,8,N
263.0,4.0,4.0,26.0,2,14,31,202.0,623.0,8,N
264.0,4.0,4.0,28.0,2,19,31,199.0,422.0,8,N
265.0,8.0,8.0,61.0,4,17,35,477.0,1321.0,8,N
266.0,9.0,9.0,60.0,2,20,35,518.0,1313.0,8,N
267.0,4.0,5.0,35.0,2,19,31,252.0,687.0,8,N
268.0,84.0,74.0,764.0,10,30,65,5292.0,10827.0,8,N
269.0,14.0,15.0,105.0,4,24,45,942.0,1911.0,8,N
270.0,74.0,72.0,592.0,7,36,65,4777.0,7624.0,8,N
271.0,8.0,8.0,55.0,3,25,41,462.0,690.0,8,N
272.0,4.0,4.0,28.0,1,15,31,214.0,888.0,8,N
273.0,7.0,8.0,46.0,4,21,35,414.0,9052.0,8,N
274.0,5.0,6.0,34.0,1,20,31,280.0,359.0,8,N
275.0,19.0,18.0,123.0,4,27,41,1175.0,1544.0,8,N
276.0,6.0,7.0,41.0,3,18,39,302.0,430.0,8,N
277.0,9.0,10.0,54.0,4,19,41,528.0,551.0,8,N
278.0,24.0,26.0,207.0,5,20,41,1582.0,3703.0,8,N
279.0,10.0,9.0,64.0,2,24,39,480.0,689.0,8,N
280.0,67.0,64.0,562.0,9,34,61,3948.0,6583.0,8,N
281.0,39.0,35.0,295.0,5,32,51,2227.0,4033.0,8,N
282.0,29.0,27.0,226.0,7,28,49,1682.0,2898.0,8,N
283.0,10.0,9.0,63.0,5,19,41,604.0,594.0,8,N
284.0,27.0,31.0,233.0,5,27,45,1788.0,2366.0,8,N
