Roger_Ebert,Jeffrey_Lyons,Michael_Medved,Rex_Reed,Gene_Shalit,Joel_Siegel,Gene_Siskel,binaryClass
Pro,,Pro,Con,,Pro,Mixed,N
,Pro,Mixed,Pro,Con,Pro,,N
Pro,,Mixed,,,Mixed,Pro,N
,Pro,,Mixed,,Con,,P
Con,Pro,Mixed,Mixed,,,,P
Con,,,,,,Con,P
Mixed,Mixed,,Con,,,,P
Pro,Pro,,Pro,Pro,Pro,,N
Mixed,Mixed,Mixed,,,,Pro,N
,Con,,Mixed,,Con,,P
Con,Pro,Pro,,,,,P
Pro,,Con,Con,,,,P
Mixed,Pro,Pro,Mixed,,Con,Pro,N
Mixed,Con,,,,Mixed,Con,P
,Pro,Pro,Con,,,,N
,,,,,,,P
Pro,Pro,,,,,Pro,N
Pro,Pro,Mixed,Pro,,Pro,Pro,N
,Pro,,,,,,P
,Pro,Pro,Pro,,,,P
,Con,,,,,,P
Pro,Pro,,Pro,,,,P
Con,Mixed,,,,,Con,N
Pro,,,Con,,,,N
,,,Pro,,,,N
,Con,Con,Pro,,,,N
,,,Pro,,,,N
,Pro,,,,,Pro,N
Pro,Pro,Pro,Pro,,Pro,Pro,N
Mixed,,,,,,Mixed,P
Pro,,,,,,Pro,P
,Pro,Pro,Mixed,,Pro,,P
,,,,,Pro,,P
Pro,,,,,,Pro,P
Mixed,Mixed,Con,Con,,,Con,P
,Pro,,Con,,Con,,N
Mixed,Pro,,,,Mixed,,N
,Pro,,Con,,,,N
Con,Pro,,Pro,,Pro,Mixed,P
Pro,,,,,,,P
Pro,Pro,,,,,Pro,N
Con,Con,,,,,Mixed,P
Pro,Pro,Mixed,,,,Pro,N
,Con,Mixed,,,Pro,Mixed,N
Pro,,,,,,,P
Pro,,,Mixed,Mixed,Pro,Pro,N
,Pro,,Mixed,,,,P
,Con,,,,,,N
,Con,,Con,,Mixed,,P
,Pro,,Pro,,,,P
Pro,Con,Pro,Pro,,Con,Pro,N
Mixed,Pro,Mixed,,,,Mixed,P
Pro,Mixed,Pro,Con,,,Pro,N
Mixed,Pro,,,,,Mixed,N
,Con,Mixed,Con,,Con,Con,P
Con,Pro,Con,Pro,,Mixed,Mixed,P
Pro,Pro,Con,,Pro,Pro,Pro,N
,Pro,,,,,,N
Con,Con,Con,Con,,,Con,P
Mixed,Pro,Mixed,,Pro,,Con,P
Mixed,Mixed,Pro,Mixed,,Con,Mixed,P
,Mixed,Mixed,Pro,Mixed,Pro,Mixed,N
,Pro,Con,,,,,N
,Pro,Pro,,,Con,,P
Pro,Con,,,,,Pro,P
Con,Con,Con,Con,Con,Pro,Con,P
,Pro,Mixed,,,,,P
Con,,Con,Mixed,,Con,,P
Pro,Pro,,Pro,Pro,Pro,Pro,N
Pro,Pro,,Pro,,Mixed,Pro,N
Pro,Pro,,Pro,Mixed,Pro,Pro,N
,,,,,Pro,,P
,,,Con,,,,N
Pro,Pro,,Pro,,,Pro,N
Con,Pro,Pro,,Mixed,Con,Con,P
Con,Pro,Con,,,Con,Con,P
Con,,,,,,,P
Con,,Mixed,,,,Mixed,N
Pro,Mixed,,Con,,Con,Mixed,N
,,,,,,Con,P
Pro,Pro,,,,,,N
Con,Con,,,,,Pro,N
Pro,,,Con,,,Pro,P
Con,Pro,,Mixed,,,Pro,N
Pro,,Pro,,,,,N
,,,,,,Mixed,P
Con,Pro,,Con,,Con,Pro,P
,Pro,Con,Mixed,Pro,,,P
Con,,,,,Con,Mixed,P
Pro,Con,Con,Pro,Mixed,Pro,Pro,N
Pro,,Mixed,,,,,N
,Pro,Pro,,,Pro,Pro,N
Con,Con,,,,,Con,P
,Con,Con,,,,,P
,Pro,,Con,,Pro,,N
,Pro,,Con,,,,N
,,Pro,,,,,N
Mixed,Con,,Con,,,,N
Pro,Pro,,,Pro,Mixed,Pro,N
,Pro,,,,,,N
,Con,,,,,,N
,Con,Mixed,,,,,P
Con,,Con,,,,Con,P
,Pro,,,,,Pro,N
,Con,,,,,,N
,Pro,,,,,,P
Mixed,Mixed,Con,Con,,Pro,Pro,N
Pro,,Pro,Pro,,Pro,,N
Pro,Con,Con,Con,,Con,Pro,P
Pro,Con,,,,Pro,,P
Pro,,,Mixed,,,,N
Pro,Con,Con,,,,Pro,P
,Con,Mixed,Con,,,,N
,Pro,,Mixed,,Pro,,N
Pro,Pro,Mixed,,,Pro,Mixed,N
,,Con,Con,,,Pro,N
Pro,Pro,Con,Pro,Mixed,Mixed,Mixed,N
Con,,,,,Pro,,N
,,Mixed,Pro,,Pro,,P
Pro,Pro,,Pro,,,,N
,Pro,Mixed,Pro,,,,N
Pro,,Pro,Pro,,Pro,Pro,P
,Con,,,,,,P
Mixed,Pro,Con,,Con,,Mixed,P
Pro,Pro,Mixed,Pro,Con,Con,Mixed,P
,Pro,Con,,,Mixed,Mixed,N
Mixed,Pro,Pro,,,,Mixed,P
Pro,,Pro,Pro,,,Con,N
,Pro,Mixed,,,Pro,,N
Pro,Pro,,,,,Pro,N
Pro,,,,,,,N
Mixed,Con,Con,,,Mixed,,P
Pro,,,,,,Pro,N
Pro,Pro,Con,Mixed,,Pro,Pro,N
Con,Pro,,,,Con,Con,P
Pro,,,Mixed,,,,P
,Con,Con,Con,Con,Con,,N
,Pro,Mixed,,,,,N
,Pro,Pro,Mixed,,Mixed,,N
,Pro,,,,,,N
,Con,,,,Pro,,P
Pro,Pro,Pro,Pro,Pro,Pro,Pro,N
Con,Con,,,,,Con,P
Pro,Pro,,,,,,P
Pro,Mixed,,Pro,,,,P
Pro,,,,,,Pro,P
Pro,Pro,,,,Pro,Pro,N
Con,,,,,,Con,P
Pro,Pro,Con,Mixed,Mixed,Pro,Pro,N
,Mixed,Con,Pro,,,,P
Con,,,,,,,N
Pro,Pro,Pro,Con,,Pro,Pro,P
Pro,Pro,Pro,,,Pro,Pro,N
Pro,,,,,Pro,Pro,P
Pro,Pro,Pro,Pro,,Pro,,P
Pro,Pro,Pro,,,,Pro,N
,Pro,Mixed,,Mixed,Pro,,N
Mixed,Mixed,,Con,,Mixed,Pro,N
,Pro,,Pro,,Pro,,N
Pro,Con,,,,Pro,Pro,N
Pro,,Pro,Mixed,Pro,Mixed,Pro,P
,Con,,Con,,Mixed,,N
Mixed,Pro,Con,Con,,,,P
,Pro,,Pro,,,,N
,Pro,Mixed,Mixed,,,Mixed,P
Mixed,Pro,,Pro,Pro,Pro,Pro,N
,Con,,,,,Mixed,N
Pro,Pro,Con,Pro,,,Pro,N
Pro,Pro,Pro,,,Mixed,Pro,P
Mixed,,,Con,,,,N
Mixed,Pro,Pro,,,Pro,,P
Pro,Pro,Pro,Pro,Pro,Pro,Pro,N
Con,Con,,,,,Con,P
Pro,Pro,,Pro,,,Mixed,N
Pro,Pro,,,,Pro,Pro,N
Pro,Mixed,,,,Con,Pro,N
,Pro,,Pro,,,,N
,Pro,,,,,,P
Pro,Pro,,,Pro,Pro,Pro,N
,,Pro,Con,,,,N
,Con,Pro,,,,,N
Con,Con,,Con,,Con,Con,P
Mixed,Con,,Con,,,,N
Mixed,,,,,,Pro,N
Pro,Con,,Con,,Con,Mixed,N
Mixed,Con,Con,Con,Con,,Con,P
Pro,,Pro,,,,,P
,Con,Mixed,Con,,Pro,,N
Mixed,Pro,Pro,,,Con,Pro,P
Mixed,,,Con,,,Pro,P
,,,Pro,,Mixed,,N
Pro,,,Pro,,,,P
,,Pro,,,,,N
Con,Con,,,,,Con,P
,,Pro,Pro,Mixed,,,N
,Con,,,,,,N
Mixed,Pro,,Con,,,,N
,,Mixed,Pro,Pro,Pro,,N
Pro,Pro,Pro,,,,Pro,P
,Pro,Con,,Pro,Pro,,N
Con,Pro,Mixed,Pro,,,Con,N
Mixed,Pro,Con,,,Mixed,Mixed,N
Con,,,,,,,P
Pro,Pro,,Con,Pro,Pro,,N
Mixed,Con,Pro,Mixed,Mixed,Mixed,Pro,P
,,,,,Pro,,N
Mixed,Pro,,,,Mixed,Con,P
,Con,Con,,,,,P
Mixed,Con,Con,Pro,,,Mixed,N
,Pro,,Pro,,Pro,,N
Mixed,Pro,Pro,Pro,,,Mixed,N
,,Pro,,,Pro,,N
Con,,,,,,,N
,,,,,,,N
,,Pro,,,Pro,,N
,Pro,,Mixed,Pro,Pro,,N
,Pro,Mixed,Pro,,,,N
,Con,,Con,Mixed,Pro,,P
Mixed,,,Pro,Pro,Pro,Mixed,N
Con,Pro,Mixed,Mixed,,,,N
Con,Con,Pro,,,,Mixed,N
Pro,,,Con,,,,N
Con,,Pro,Pro,,Pro,Pro,N
,Pro,,,,Pro,,N
,Pro,Con,Pro,,Pro,,P
,Mixed,,,,,,N
,Mixed,,,,,,N
Mixed,Con,Mixed,Con,Con,Mixed,Con,P
Pro,,,,,,,N
Pro,Mixed,,,,,Pro,N
,,,Pro,,,,N
Mixed,Mixed,,Con,,Pro,Pro,N
,Con,Con,Con,Pro,Pro,Pro,P
,Pro,,,,,,N
,,,Con,,,,N
Pro,Pro,Mixed,Con,Con,,,N
,Pro,Con,,,,,N
,,Con,,,,,P
,Pro,,Pro,Pro,Pro,,N
Pro,Mixed,Pro,,Pro,,Mixed,P
Mixed,Pro,,,,,,P
Pro,Con,Pro,,,,Pro,N
Pro,Pro,Pro,,,Mixed,Pro,P
,,,,,,,P
,,,,,,,N
Pro,,Con,,,,,P
Mixed,Con,Con,,,,,P
Pro,Mixed,,,Pro,,Mixed,N
Mixed,Pro,,Pro,,,Pro,P
Con,Con,Con,,,Con,,P
,Con,,,,,,P
,Con,,Pro,,Pro,,N
Mixed,Pro,Pro,,Pro,Pro,,P
Pro,Pro,,,,,Pro,P
Pro,,,Pro,,,,N
Con,Mixed,,,,,Mixed,P
Pro,Pro,Pro,Pro,Mixed,Pro,,N
Pro,Pro,,Pro,,Pro,Pro,N
,Pro,,Pro,,Con,,N
Pro,,,,,,Mixed,P
Pro,,,Pro,,,,N
Mixed,Con,,,,Con,,N
Con,Pro,Pro,,Mixed,,,P
Pro,Con,Pro,Mixed,Mixed,Pro,Pro,N
Pro,Pro,Pro,Pro,,Pro,Pro,P
Mixed,Pro,Mixed,,,,Mixed,P
Mixed,Con,Con,Con,,Con,Pro,N
Mixed,,,,,,,P
Mixed,Con,Con,Con,,Con,Mixed,P
Pro,Pro,,Pro,Pro,Pro,,N
,Pro,Con,,,Pro,Pro,N
,Con,,,,,,N
,Pro,Con,,,,,P
Con,,Mixed,,,,,P
Pro,,,,,Pro,,N
Mixed,Con,Mixed,Con,,Mixed,,N
Con,Mixed,,,,,,P
Con,Con,,Con,,Con,,P
,Mixed,Pro,,,,,P
Con,Con,Pro,Con,,Con,Pro,P
,,,Pro,,,,N
Pro,,Mixed,Pro,,Pro,Con,N
Pro,Pro,Con,Con,Pro,Pro,Con,N
Con,Pro,,,,,Con,P
Pro,Pro,,Con,,Con,Mixed,N
Pro,Pro,,,,Pro,,N
,,,,,,,N
Pro,,,,,,Pro,P
Con,Pro,,Mixed,Con,Pro,Con,N
Pro,Pro,Mixed,Pro,,Con,,N
Con,Pro,Con,Pro,,Con,Pro,N
