N,TREE,BR,TL,IN,INTERNODE_1,INTERNODE_2,INTERNODE_3,INTERNODE_4,INTERNODE_5,INTERNODE_6,INTERNODE_7,INTERNODE_8,INTERNODE_9,INTERNODE_10,INTERNODE_11,INTERNODE_12,INTERNODE_13,INTERNODE_14,INTERNODE_15,INTERNODE_16,INTERNODE_17,INTERNODE_18,INTERNODE_19,INTERNODE_20,INTERNODE_21,INTERNODE_22,INTERNODE_23,INTERNODE_24,INTERNODE_25,INTERNODE_26,INTERNODE_27,INTERNODE_28,INTERNODE_29,binaryClass
28.0,M33,C,1.0,2,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
29.0,M33,C,17.5,9,2.1,2.2,3.2,2.5,3.0,2.6,1.2,0.5,0.2,,,,,,,,,,,,,,,,,,,,,N
30.0,M33,C,46.0,12,1.0,3.0,5.5,7.5,5.8,6.3,5.1,3.3,4.2,2.6,1.6,0.3,,,,,,,,,,,,,,,,,,N
31.0,M33,C,1.0,2,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
32.0,M33,C,1.0,2,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
33.0,M33,C,21.0,8,0.5,2.6,3.9,5.9,3.5,2.9,1.5,0.2,,,,,,,,,,,,,,,,,,,,,,N
34.0,M33,C,1.0,2,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
35.0,M33,C,5.0,4,0.7,1.5,1.9,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,N
36.0,M33,D,1.0,2,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
37.0,M33,D,6.0,5,0.2,1.4,3.0,1.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,N
38.0,M33,D,37.0,11,0.6,3.2,7.0,8.0,4.6,3.3,2.5,2.8,2.8,1.8,0.2,,,,,,,,,,,,,,,,,,,N
39.0,M33,D,63.0,15,1.8,6.6,10.7,9.4,4.5,4.2,3.3,3.0,3.0,4.7,6.5,2.9,1.1,0.7,0.6,,,,,,,,,,,,,,,N
40.0,M33,E,25.0,8,1.0,4.5,4.8,4.7,3.7,3.2,2.2,0.8,,,,,,,,,,,,,,,,,,,,,,N
41.0,M33,F,3.0,5,0.2,1.0,1.2,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,N
42.0,M33,F,28.0,11,0.5,2.5,2.5,1.2,1.8,3.6,3.7,4.5,4.2,3.4,0.3,,,,,,,,,,,,,,,,,,,N
43.0,M33,F,3.0,4,0.5,1.2,1.4,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,N
44.0,M33,F,20.0,9,0.4,2.7,4.3,2.6,1.5,4.0,3.1,1.6,0.2,,,,,,,,,,,,,,,,,,,,,N
45.0,M33,F,20.0,7,0.3,1.7,4.8,6.2,4.3,2.8,0.3,,,,,,,,,,,,,,,,,,,,,,,N
46.0,M33,F,8.0,7,0.5,1.0,2.5,1.1,1.2,1.3,0.4,,,,,,,,,,,,,,,,,,,,,,,N
47.0,M33,F,25.0,9,0.4,1.7,3.5,5.3,6.0,3.8,2.2,2.2,0.3,,,,,,,,,,,,,,,,,,,,,N
48.0,M33,F,12.0,6,0.3,2.1,3.5,3.4,2.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,N
49.0,M33,F,32.0,12,0.2,1.1,1.4,0.8,1.5,3.3,4.4,5.4,6.2,6.4,1.2,0.3,,,,,,,,,,,,,,,,,,N
50.0,M33,F,8.0,5,0.6,2.0,3.1,1.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,N
51.0,M33,F,39.0,13,0.5,1.0,2.2,3.2,2.8,3.6,4.0,4.0,4.2,6.2,5.9,1.2,0.2,,,,,,,,,,,,,,,,,N
52.0,M33,F,7.0,5,0.3,2.0,2.7,1.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,N
53.0,M33,F,57.5,12,0.5,2.1,5.0,7.5,8.8,8.2,8.6,6.8,4.7,3.3,1.6,0.4,,,,,,,,,,,,,,,,,,N
54.0,M33,F,28.0,9,0.3,1.8,3.2,4.6,4.3,5.3,4.2,3.3,0.6,,,,,,,,,,,,,,,,,,,,,N
55.0,M33,F,17.0,8,0.4,1.2,0.7,1.7,3.2,4.5,4.1,1.5,,,,,,,,,,,,,,,,,,,,,,N
56.0,M33,F,10.5,6,0.5,2.1,3.0,2.4,1.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,N
57.0,M33,F,2.0,4,0.3,0.8,0.3,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,N
58.0,M33,F,18.0,8,0.5,1.8,2.6,3.1,4.2,3.5,2.2,0.5,,,,,,,,,,,,,,,,,,,,,,N
59.0,M33,F,4.0,5,0.2,1.0,1.2,1.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,N
60.0,M33,F,53.0,11,0.3,1.3,4.1,7.2,8.4,7.7,6.4,6.7,6.1,3.6,1.2,,,,,,,,,,,,,,,,,,,N
61.0,M33,F,6.0,6,0.5,0.8,1.0,1.4,1.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,N
62.0,O20,A,1.0,2,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
63.0,O20,A,0.5,2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
64.0,O20,A,1.5,3,0.7,0.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,N
65.0,O20,A,11.0,5,1.2,2.0,3.1,3.4,1.3,,,,,,,,,,,,,,,,,,,,,,,,,N
66.0,O20,A,1.0,2,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
67.0,O20,A,1.0,3,0.5,0.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,N
68.0,O20,A,1.0,3,0.3,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,N
69.0,O20,A,2.0,3,0.7,0.8,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,N
70.0,O20,A,2.0,3,1.0,1.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,N
71.0,O20,A,2.0,3,0.7,0.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,N
72.0,O20,A,24.5,7,1.5,3.2,6.1,5.6,4.4,3.1,0.6,,,,,,,,,,,,,,,,,,,,,,,N
73.0,O20,A,0.5,2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
74.0,O20,A,1.0,3,0.2,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,N
75.0,O20,B,1.0,2,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
76.0,O20,B,1.0,2,0.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
77.0,O20,B,1.0,2,0.4,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
78.0,O20,B,28.5,6,1.2,5.2,9.7,6.8,4.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,N
79.0,O20,B,1.0,2,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
80.0,O20,B,34.0,9,0.6,3.0,6.6,7.6,6.0,5.2,3.5,1.6,0.2,,,,,,,,,,,,,,,,,,,,,N
81.0,O20,C,1.0,2,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
82.0,O20,C,1.0,2,0.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
83.0,O20,C,2.5,3,0.5,1.1,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,N
84.0,O20,C,1.0,2,0.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
85.0,O20,C,1.0,3,0.3,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,N
86.0,O20,C,10.0,6,1.1,1.6,2.3,2.5,1.8,0.4,,,,,,,,,,,,,,,,,,,,,,,,N
87.0,O20,C,1.0,2,0.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
88.0,O20,C,1.0,2,0.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
89.0,O20,C,2.0,4,0.2,0.7,0.8,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,N
90.0,O20,C,8.0,6,0.9,1.2,1.7,2.7,1.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,N
91.0,O20,C,3.0,3,1.0,1.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,N
92.0,O20,C,5.0,4,1.3,1.3,1.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,N
93.0,O20,C,2.0,3,0.7,0.8,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,N
94.0,O20,C,2.0,3,0.5,1.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,N
95.0,O20,D,4.0,3,1.3,1.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,N
96.0,O20,D,47.5,10,1.4,3.7,10.0,9.1,8.3,7.0,4.6,2.3,0.9,0.2,,,,,,,,,,,,,,,,,,,,N
97.0,O20,E,70.0,16,1.0,2.2,4.2,7.7,8.3,7.8,5.7,5.8,5.5,4.9,4.8,5.6,3.8,1.8,0.8,0.2,,,,,,,,,,,,,,N
98.0,O20,F,4.0,3,1.0,1.7,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,N
99.0,O20,F,24.0,7,1.5,4.5,6.8,5.5,3.6,1.6,0.2,,,,,,,,,,,,,,,,,,,,,,,N
100.0,O20,F,18.0,6,0.5,1.7,5.7,6.3,3.3,0.7,,,,,,,,,,,,,,,,,,,,,,,,N
101.0,O20,F,23.0,7,0.5,1.5,5.2,7.2,4.7,3.3,0.8,,,,,,,,,,,,,,,,,,,,,,,N
102.0,O20,F,16.0,6,1.3,2.4,5.4,4.2,2.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,N
103.0,O20,F,39.0,10,0.8,6.2,9.2,6.0,4.8,4.3,3.6,2.4,1.3,0.5,,,,,,,,,,,,,,,,,,,,N
104.0,O20,F,5.5,4,1.0,2.3,2.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,N
105.0,O20,F,7.0,4,0.6,1.8,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,N
106.0,O20,F,19.0,6,1.2,2.5,5.8,5.0,3.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,N
107.0,O20,F,2.5,3,0.6,0.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,N
108.0,O20,F,2.0,2,1.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
109.0,O20,F,2.0,2,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
110.0,O20,F,0.5,2,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
111.0,O20,G,7.0,6,0.7,1.5,2.1,1.5,0.8,0.2,,,,,,,,,,,,,,,,,,,,,,,,N
112.0,O20,G,3.0,3,1.0,1.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,N
113.0,O20,G,97.0,21,1.0,2.5,5.8,8.6,8.6,9.3,8.7,6.6,5.7,5.5,4.8,4.6,5.1,4.3,3.8,3.7,2.6,2.2,2.1,1.2,0.5,,,,,,,,,N
114.0,O20,G,2.0,3,0.7,0.9,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,N
115.0,O20,G,4.0,4,1.0,1.8,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,N
116.0,O20,G,39.5,12,1.0,2.1,2.7,4.0,4.2,5.3,4.8,4.1,4.5,3.7,2.3,0.8,,,,,,,,,,,,,,,,,,N
117.0,O20,G,24.0,7,1.7,3.5,4.6,5.4,4.8,3.3,0.7,,,,,,,,,,,,,,,,,,,,,,,N
118.0,O20,G,7.0,5,0.6,2.1,2.6,1.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,N
119.0,G29,A,1.0,2,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
120.0,G29,A,0.5,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
121.0,G29,A,1.0,2,0.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
122.0,G29,A,27.0,8,1.0,3.5,8.0,6.6,3.6,2.0,1.8,0.7,,,,,,,,,,,,,,,,,,,,,,N
123.0,G29,A,1.0,2,0.3,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
124.0,G29,A,0.5,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
125.0,G29,A,0.5,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
126.0,G29,B,124.0,19,2.0,6.9,10.2,9.0,11.4,11.2,10.2,8.4,7.0,7.0,2.6,7.7,7.2,6.0,5.4,5.2,3.6,2.1,1.2,,,,,,,,,,,N
127.0,G29,C,130.0,21,0.7,1.8,3.0,3.5,5.7,9.5,11.3,10.7,9.0,9.0,8.7,9.2,9.5,8.0,8.5,6.8,4.8,4.0,3.2,2.2,0.6,,,,,,,,,N
128.0,G29,C,0.5,2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
129.0,G29,C,1.0,2,0.3,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
130.0,G29,C,1.0,1,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
131.0,G29,C,2.0,3,0.2,1.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,N
132.0,G29,C,14.0,6,0.5,1.2,3.7,3.8,3.6,1.2,,,,,,,,,,,,,,,,,,,,,,,,N
133.0,G29,C,27.0,8,0.5,1.6,6.2,7.2,7.1,3.2,0.8,0.2,,,,,,,,,,,,,,,,,,,,,,N
134.0,G29,C,1.0,3,0.2,0.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,N
135.0,G29,C,1.0,2,0.2,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
136.0,G29,C,1.0,2,0.3,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
137.0,G29,C,1.0,2,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
138.0,G29,C,1.0,2,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
139.0,G29,C,0.0,2,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
140.0,G29,C,0.0,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
141.0,G29,D,2.0,2,1.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
142.0,G29,D,1.0,2,0.3,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
143.0,G29,D,2.0,3,0.6,1.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,N
144.0,G29,D,28.0,8,0.8,2.2,6.3,6.6,5.6,3.1,2.3,0.8,,,,,,,,,,,,,,,,,,,,,,N
145.0,G29,D,20.0,6,0.5,1.6,6.4,5.7,4.5,1.4,,,,,,,,,,,,,,,,,,,,,,,,N
146.0,G29,D,24.0,7,0.3,1.2,4.6,7.3,5.9,3.7,0.9,,,,,,,,,,,,,,,,,,,,,,,N
147.0,G29,D,1.0,2,0.4,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
148.0,G29,D,1.0,2,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
149.0,G29,D,1.0,2,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
150.0,G29,E,41.0,10,0.5,1.2,4.6,7.5,7.2,7.1,5.7,4.3,2.6,0.7,,,,,,,,,,,,,,,,,,,,N
151.0,G29,E,2.0,3,0.5,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,N
152.0,G29,E,1.0,2,0.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
153.0,G29,F,1.0,2,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
154.0,G29,F,1.0,3,0.2,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,N
155.0,G29,F,1.0,2,0.3,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
156.0,G29,F,4.0,3,0.5,1.6,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,N
157.0,G29,F,19.0,7,0.6,1.5,5.2,6.1,3.8,1.3,0.2,,,,,,,,,,,,,,,,,,,,,,,N
158.0,G29,F,24.0,7,0.6,1.8,5.8,6.5,6.3,2.8,0.6,,,,,,,,,,,,,,,,,,,,,,,N
159.0,G29,F,1.5,2,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
160.0,G29,F,1.0,2,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
161.0,G29,F,3.5,4,0.3,1.0,2.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,N
162.0,G29,F,1.0,2,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
163.0,G29,F,1.0,3,0.2,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,N
164.0,G29,F,0.5,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
165.0,G29,F,1.0,2,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
166.0,G29,G,1.0,2,0.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
167.0,G29,G,3.0,3,0.5,1.0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,N
168.0,G29,G,18.5,8,0.5,1.8,5.0,4.6,2.9,2.3,1.2,0.2,,,,,,,,,,,,,,,,,,,,,,N
169.0,G29,G,1.0,2,0.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
170.0,G29,G,1.0,3,0.3,0.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,N
171.0,G29,H,19.0,7,0.6,1.6,3.6,3.7,4.5,3.6,1.0,,,,,,,,,,,,,,,,,,,,,,,N
172.0,D21,A,31.0,8,1.0,3.3,7.5,7.6,4.7,3.4,2.6,0.7,,,,,,,,,,,,,,,,,,,,,,N
173.0,D21,A,33.0,11,0.5,3.2,9.0,9.2,4.3,3.3,1.6,0.6,0.5,0.5,0.2,,,,,,,,,,,,,,,,,,,N
174.0,D21,A,33.0,8,0.5,2.7,7.2,9.3,5.2,4.5,2.7,1.1,,,,,,,,,,,,,,,,,,,,,,N
175.0,D21,B,42.0,12,0.8,3.0,7.3,6.8,4.8,4.3,3.1,3.3,3.8,3.0,1.4,0.3,,,,,,,,,,,,,,,,,,N
176.0,D21,B,8.0,5,0.5,1.6,3.2,2.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,N
177.0,D21,C,33.0,8,1.6,5.8,10.6,6.9,3.4,2.8,1.6,0.5,,,,,,,,,,,,,,,,,,,,,,N
178.0,D21,C,70.0,12,0.8,2.4,8.0,13.1,9.6,8.2,7.1,6.5,5.2,4.4,3.0,1.9,,,,,,,,,,,,,,,,,,N
179.0,D21,D,24.0,8,0.5,2.6,7.1,5.5,3.1,2.5,2.2,0.7,,,,,,,,,,,,,,,,,,,,,,N
180.0,D21,D,4.0,3,0.5,1.5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,N
181.0,D21,E,16.0,8,0.9,2.5,3.5,3.6,2.6,1.7,1.1,0.4,,,,,,,,,,,,,,,,,,,,,,N
182.0,D21,E,1.0,2,0.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
183.0,D21,E,5.0,4,0.2,0.7,2.5,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,N
184.0,D21,F,38.0,11,1.0,3.0,6.2,5.0,4.3,3.6,4.7,4.5,3.9,1.5,0.2,,,,,,,,,,,,,,,,,,,N
185.0,D21,F,2.5,3,0.3,1.0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,N
186.0,D21,F,32.0,8,1.0,3.6,7.7,7.9,5.0,3.6,2.3,0.7,,,,,,,,,,,,,,,,,,,,,,N
187.0,D21,G,45.0,9,0.5,3.1,8.2,11.4,7.6,6.5,5.2,2.3,0.2,,,,,,,,,,,,,,,,,,,,,N
188.0,D21,G,19.0,6,0.7,2.8,5.6,6.0,2.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,N
189.0,D21,G,1.0,2,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
190.0,D21,H,3.0,3,0.3,1.0,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,N
191.0,D21,H,4.0,4,0.3,0.9,2.1,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,N
192.0,D21,H,6.0,5,0.5,1.6,2.5,1.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,N
193.0,D21,H,18.0,7,0.5,1.8,5.4,4.5,2.7,2.3,0.6,,,,,,,,,,,,,,,,,,,,,,,N
194.0,D21,H,29.5,7,1.0,4.0,9.3,8.0,4.4,2.1,0.7,,,,,,,,,,,,,,,,,,,,,,,N
195.0,D21,H,27.0,7,0.8,2.6,7.1,7.6,4.7,2.7,1.3,,,,,,,,,,,,,,,,,,,,,,,N
196.0,D21,H,21.0,7,1.0,2.0,4.6,4.5,3.4,3.8,1.8,,,,,,,,,,,,,,,,,,,,,,,N
197.0,D21,H,2.0,3,0.2,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,N
198.0,Q5,A,2.0,3,0.4,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,N
199.0,Q5,A,4.0,4,0.5,1.2,2.1,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,N
200.0,Q5,A,4.0,3,0.7,2.1,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,N
201.0,Q5,A,1.0,3,0.3,0.7,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,N
202.0,Q5,A,2.0,3,0.2,0.7,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,N
203.0,Q5,A,1.0,2,0.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
204.0,Q5,A,0.5,2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
205.0,Q5,B,20.0,7,0.5,1.1,3.7,6.3,5.5,2.8,0.4,,,,,,,,,,,,,,,,,,,,,,,N
206.0,Q5,C,42.0,8,0.5,1.3,5.3,12.2,13.2,6.7,2.1,0.6,,,,,,,,,,,,,,,,,,,,,,N
207.0,Q5,D,18.0,7,0.6,1.0,2.2,5.6,6.0,2.3,0.3,,,,,,,,,,,,,,,,,,,,,,,N
208.0,Q5,D,3.0,4,0.5,0.6,1.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,N
209.0,Q5,D,9.0,5,0.8,1.2,2.5,3.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,N
210.0,Q5,D,6.0,5,0.5,0.8,1.5,2.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,N
211.0,Q5,D,4.0,4,0.6,0.8,1.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,N
212.0,Q5,D,10.5,6,0.3,1.0,1.7,4.0,3.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,N
213.0,Q5,D,3.0,5,0.3,0.6,0.9,0.8,0.2,,,,,,,,,,,,,,,,,,,,,,,,,N
