V1,V2,V3,V4,V5,V6,V7,V8,y2,y1
0.66,759.5,318.5,220.5,3.5,3,0,0,2,35
0.66,759.5,318.5,220.5,3.5,4,0,0,2,35
0.66,759.5,318.5,220.5,3.5,5,0,0,2,35
0.64,784,343,220.5,3.5,2,0,0,7,2
0.64,784,343,220.5,3.5,3,0,0,7,2
0.64,784,343,220.5,3.5,4,0,0,7,2
0.64,784,343,220.5,3.5,5,0,0,7,2
0.62,808.5,367.5,220.5,3.5,2,0,0,2,37
0.62,808.5,367.5,220.5,3.5,3,0,0,2,36
0.62,808.5,367.5,220.5,3.5,4,0,0,2,36
0.62,808.5,367.5,220.5,3.5,5,0,0,2,36
0.98,514.5,294,110.25,7,2,0.1,1,16,15
0.98,514.5,294,110.25,7,3,0.1,1,16,15
0.98,514.5,294,110.25,7,4,0.1,1,16,15
0.98,514.5,294,110.25,7,5,0.1,1,16,15
0.9,563.5,318.5,122.5,7,2,0.1,1,23,19
0.9,563.5,318.5,122.5,7,3,0.1,1,20,20
0.9,563.5,318.5,122.5,7,4,0.1,1,20,19
0.9,563.5,318.5,122.5,7,5,0.1,1,24,18
0.86,588,294,147,7,2,0.1,1,21,16
0.86,588,294,147,7,3,0.1,1,16,17
0.86,588,294,147,7,4,0.1,1,17,16
0.86,588,294,147,7,5,0.1,1,22,15
0.82,612.5,318.5,147,7,2,0.1,1,17,14
0.82,612.5,318.5,147,7,3,0.1,1,15,14
0.82,612.5,318.5,147,7,4,0.1,1,15,14
0.82,612.5,318.5,147,7,5,0.1,1,19,13
0.79,637,343,147,7,2,0.1,1,32,26
0.79,637,343,147,7,3,0.1,1,25,27
0.79,637,343,147,7,4,0.1,1,24,27
0.79,637,343,147,7,5,0.1,1,33,26
0.76,661.5,416.5,122.5,7,2,0.1,1,24,23
0.76,661.5,416.5,122.5,7,3,0.1,1,24,22
0.76,661.5,416.5,122.5,7,4,0.1,1,24,23
0.76,661.5,416.5,122.5,7,5,0.1,1,24,22
0.74,686,245,220.5,3.5,2,0.1,1,3,1
0.74,686,245,220.5,3.5,3,0.1,1,4,1
0.74,686,245,220.5,3.5,4,0.1,1,3,1
0.74,686,245,220.5,3.5,5,0.1,1,4,1
0.71,710.5,269.5,220.5,3.5,2,0.1,1,4,2
0.71,710.5,269.5,220.5,3.5,3,0.1,1,4,2
0.71,710.5,269.5,220.5,3.5,4,0.1,1,4,2
0.71,710.5,269.5,220.5,3.5,5,0.1,1,4,2
0.69,735,294,220.5,3.5,2,0.1,1,4,2
0.69,735,294,220.5,3.5,3,0.1,1,5,2
0.69,735,294,220.5,3.5,4,0.1,1,4,2
0.69,735,294,220.5,3.5,5,0.1,1,4,2
0.66,759.5,318.5,220.5,3.5,2,0.1,1,4,3
0.66,759.5,318.5,220.5,3.5,3,0.1,1,4,3
0.66,759.5,318.5,220.5,3.5,4,0.1,1,4,3
0.66,759.5,318.5,220.5,3.5,5,0.1,1,4,3
0.64,784,343,220.5,3.5,2,0.1,1,9,6
0.64,784,343,220.5,3.5,3,0.1,1,9,6
0.64,784,343,220.5,3.5,4,0.1,1,9,6
0.64,784,343,220.5,3.5,5,0.1,1,9,6
0.62,808.5,367.5,220.5,3.5,2,0.1,1,4,4
0.62,808.5,367.5,220.5,3.5,3,0.1,1,4,4
0.62,808.5,367.5,220.5,3.5,4,0.1,1,4,4
0.62,808.5,367.5,220.5,3.5,5,0.1,1,4,4
0.98,514.5,294,110.25,7,2,0.1,2,16,14
0.98,514.5,294,110.25,7,3,0.1,2,16,14
0.98,514.5,294,110.25,7,4,0.1,2,16,14
0.98,514.5,294,110.25,7,5,0.1,2,16,14
0.9,563.5,318.5,122.5,7,2,0.1,2,23,19
0.9,563.5,318.5,122.5,7,3,0.1,2,19,20
0.9,563.5,318.5,122.5,7,4,0.1,2,19,19
0.9,563.5,318.5,122.5,7,5,0.1,2,24,18
0.86,588,294,147,7,2,0.1,2,21,16
0.86,588,294,147,7,3,0.1,2,16,17
0.86,588,294,147,7,4,0.1,2,17,16
0.86,588,294,147,7,5,0.1,2,22,15
0.82,612.5,318.5,147,7,2,0.1,2,17,14
0.82,612.5,318.5,147,7,3,0.1,2,15,14
0.82,612.5,318.5,147,7,4,0.1,2,15,14
0.82,612.5,318.5,147,7,5,0.1,2,19,13
0.79,637,343,147,7,2,0.1,2,31,26
0.79,637,343,147,7,3,0.1,2,25,27
0.79,637,343,147,7,4,0.1,2,24,27
0.79,637,343,147,7,5,0.1,2,33,26
0.76,661.5,416.5,122.5,7,2,0.1,2,24,23
0.76,661.5,416.5,122.5,7,3,0.1,2,24,22
0.76,661.5,416.5,122.5,7,4,0.1,2,24,23
0.76,661.5,416.5,122.5,7,5,0.1,2,24,22
0.74,686,245,220.5,3.5,2,0.1,2,3,1
0.74,686,245,220.5,3.5,3,0.1,2,4,1
0.74,686,245,220.5,3.5,4,0.1,2,4,1
0.74,686,245,220.5,3.5,5,0.1,2,4,1
0.71,710.5,269.5,220.5,3.5,2,0.1,2,4,2
0.71,710.5,269.5,220.5,3.5,3,0.1,2,4,2
0.71,710.5,269.5,220.5,3.5,4,0.1,2,4,2
0.71,710.5,269.5,220.5,3.5,5,0.1,2,4,2
0.69,735,294,220.5,3.5,2,0.1,2,3,2
0.69,735,294,220.5,3.5,3,0.1,2,4,2
0.69,735,294,220.5,3.5,4,0.1,2,3,2
0.69,735,294,220.5,3.5,5,0.1,2,4,2
0.66,759.5,318.5,220.5,3.5,2,0.1,2,5,2
0.66,759.5,318.5,220.5,3.5,3,0.1,2,5,2
0.66,759.5,318.5,220.5,3.5,4,0.1,2,5,2
0.66,759.5,318.5,220.5,3.5,5,0.1,2,5,2
0.64,784,343,220.5,3.5,2,0.1,2,9,6
0.64,784,343,220.5,3.5,3,0.1,2,9,6
0.64,784,343,220.5,3.5,4,0.1,2,9,6
0.64,784,343,220.5,3.5,5,0.1,2,9,6
0.62,808.5,367.5,220.5,3.5,2,0.1,2,4,4
0.62,808.5,367.5,220.5,3.5,3,0.1,2,5,4
0.62,808.5,367.5,220.5,3.5,4,0.1,2,4,4
0.62,808.5,367.5,220.5,3.5,5,0.1,2,4,4
0.98,514.5,294,110.25,7,2,0.1,3,16,14
0.98,514.5,294,110.25,7,3,0.1,3,16,14
0.98,514.5,294,110.25,7,4,0.1,3,16,14
0.98,514.5,294,110.25,7,5,0.1,3,16,14
0.9,563.5,318.5,122.5,7,2,0.1,3,24,18
0.9,563.5,318.5,122.5,7,3,0.1,3,23,19
0.9,563.5,318.5,122.5,7,4,0.1,3,20,20
0.9,563.5,318.5,122.5,7,5,0.1,3,20,19
0.86,588,294,147,7,2,0.1,3,22,15
0.86,588,294,147,7,3,0.1,3,21,16
0.86,588,294,147,7,4,0.1,3,16,17
0.86,588,294,147,7,5,0.1,3,17,16
0.82,612.5,318.5,147,7,2,0.1,3,19,13
0.82,612.5,318.5,147,7,3,0.1,3,18,14
0.82,612.5,318.5,147,7,4,0.1,3,15,14
0.82,612.5,318.5,147,7,5,0.1,3,15,14
0.79,637,343,147,7,2,0.1,3,33,26
0.79,637,343,147,7,3,0.1,3,31,25
0.79,637,343,147,7,4,0.1,3,25,27
0.79,637,343,147,7,5,0.1,3,24,27
0.76,661.5,416.5,122.5,7,2,0.1,3,24,23
0.76,661.5,416.5,122.5,7,3,0.1,3,24,23
0.76,661.5,416.5,122.5,7,4,0.1,3,24,22
0.76,661.5,416.5,122.5,7,5,0.1,3,24,23
0.74,686,245,220.5,3.5,2,0.1,3,4,1
0.74,686,245,220.5,3.5,3,0.1,3,3,1
0.74,686,245,220.5,3.5,4,0.1,3,4,1
0.74,686,245,220.5,3.5,5,0.1,3,3,1
0.71,710.5,269.5,220.5,3.5,2,0.1,3,4,2
0.71,710.5,269.5,220.5,3.5,3,0.1,3,4,2
0.71,710.5,269.5,220.5,3.5,4,0.1,3,4,2
0.71,710.5,269.5,220.5,3.5,5,0.1,3,4,2
0.69,735,294,220.5,3.5,2,0.1,3,4,2
0.69,735,294,220.5,3.5,3,0.1,3,4,2
0.69,735,294,220.5,3.5,4,0.1,3,5,2
0.69,735,294,220.5,3.5,5,0.1,3,4,2
0.66,759.5,318.5,220.5,3.5,2,0.1,3,3,3
0.66,759.5,318.5,220.5,3.5,3,0.1,3,4,3
0.66,759.5,318.5,220.5,3.5,4,0.1,3,4,3
0.66,759.5,318.5,220.5,3.5,5,0.1,3,4,3
0.64,784,343,220.5,3.5,2,0.1,3,9,6
0.64,784,343,220.5,3.5,3,0.1,3,9,6
0.64,784,343,220.5,3.5,4,0.1,3,9,6
0.64,784,343,220.5,3.5,5,0.1,3,9,6
0.62,808.5,367.5,220.5,3.5,2,0.1,3,4,4
0.62,808.5,367.5,220.5,3.5,3,0.1,3,4,4
0.62,808.5,367.5,220.5,3.5,4,0.1,3,4,4
0.62,808.5,367.5,220.5,3.5,5,0.1,3,4,4
0.98,514.5,294,110.25,7,2,0.1,4,16,14
0.98,514.5,294,110.25,7,3,0.1,4,16,14
0.98,514.5,294,110.25,7,4,0.1,4,16,14
0.98,514.5,294,110.25,7,5,0.1,4,16,14
0.9,563.5,318.5,122.5,7,2,0.1,4,19,19
0.9,563.5,318.5,122.5,7,3,0.1,4,24,18
0.9,563.5,318.5,122.5,7,4,0.1,4,23,19
0.9,563.5,318.5,122.5,7,5,0.1,4,20,20
0.86,588,294,147,7,2,0.1,4,17,16
0.86,588,294,147,7,3,0.1,4,22,15
0.86,588,294,147,7,4,0.1,4,21,16
0.86,588,294,147,7,5,0.1,4,16,17
0.82,612.5,318.5,147,7,2,0.1,4,15,14
0.82,612.5,318.5,147,7,3,0.1,4,19,13
0.82,612.5,318.5,147,7,4,0.1,4,18,14
0.82,612.5,318.5,147,7,5,0.1,4,15,14
0.79,637,343,147,7,2,0.1,4,24,27
0.79,637,343,147,7,3,0.1,4,33,26
0.79,637,343,147,7,4,0.1,4,32,25
0.79,637,343,147,7,5,0.1,4,25,27
0.76,661.5,416.5,122.5,7,2,0.1,4,24,23
0.76,661.5,416.5,122.5,7,3,0.1,4,24,22
0.76,661.5,416.5,122.5,7,4,0.1,4,24,23
0.76,661.5,416.5,122.5,7,5,0.1,4,24,22
0.74,686,245,220.5,3.5,2,0.1,4,3,1
0.74,686,245,220.5,3.5,3,0.1,4,3,1
0.74,686,245,220.5,3.5,4,0.1,4,3,1
0.74,686,245,220.5,3.5,5,0.1,4,4,1
0.71,710.5,269.5,220.5,3.5,2,0.1,4,4,2
0.71,710.5,269.5,220.5,3.5,3,0.1,4,4,2
0.71,710.5,269.5,220.5,3.5,4,0.1,4,4,2
0.71,710.5,269.5,220.5,3.5,5,0.1,4,4,2
0.69,735,294,220.5,3.5,2,0.1,4,4,2
0.69,735,294,220.5,3.5,3,0.1,4,4,2
0.69,735,294,220.5,3.5,4,0.1,4,4,2
0.69,735,294,220.5,3.5,5,0.1,4,5,2
0.66,759.5,318.5,220.5,3.5,2,0.1,4,5,2
0.66,759.5,318.5,220.5,3.5,3,0.1,4,5,2
0.66,759.5,318.5,220.5,3.5,4,0.1,4,5,2
0.66,759.5,318.5,220.5,3.5,5,0.1,4,5,2
0.64,784,343,220.5,3.5,2,0.1,4,9,6
0.64,784,343,220.5,3.5,3,0.1,4,9,6
0.64,784,343,220.5,3.5,4,0.1,4,9,6
0.64,784,343,220.5,3.5,5,0.1,4,9,6
0.62,808.5,367.5,220.5,3.5,2,0.1,4,4,4
0.62,808.5,367.5,220.5,3.5,3,0.1,4,4,4
0.62,808.5,367.5,220.5,3.5,4,0.1,4,4,4
0.62,808.5,367.5,220.5,3.5,5,0.1,4,4,4
0.98,514.5,294,110.25,7,2,0.1,5,16,14
0.98,514.5,294,110.25,7,3,0.1,5,16,14
0.98,514.5,294,110.25,7,4,0.1,5,16,14
0.98,514.5,294,110.25,7,5,0.1,5,16,14
0.9,563.5,318.5,122.5,7,2,0.1,5,20,20
0.9,563.5,318.5,122.5,7,3,0.1,5,20,19
0.9,563.5,318.5,122.5,7,4,0.1,5,24,18
0.9,563.5,318.5,122.5,7,5,0.1,5,23,19
0.86,588,294,147,7,2,0.1,5,16,17
0.86,588,294,147,7,3,0.1,5,17,16
0.86,588,294,147,7,4,0.1,5,22,15
0.86,588,294,147,7,5,0.1,5,21,16
0.82,612.5,318.5,147,7,2,0.1,5,15,14
0.82,612.5,318.5,147,7,3,0.1,5,15,14
0.82,612.5,318.5,147,7,4,0.1,5,19,13
0.82,612.5,318.5,147,7,5,0.1,5,18,14
0.79,637,343,147,7,2,0.1,5,25,27
0.79,637,343,147,7,3,0.1,5,24,27
0.79,637,343,147,7,4,0.1,5,33,27
0.79,637,343,147,7,5,0.1,5,31,25
0.76,661.5,416.5,122.5,7,2,0.1,5,24,22
0.76,661.5,416.5,122.5,7,3,0.1,5,24,23
0.76,661.5,416.5,122.5,7,4,0.1,5,24,22
0.76,661.5,416.5,122.5,7,5,0.1,5,24,23
0.74,686,245,220.5,3.5,2,0.1,5,4,1
0.74,686,245,220.5,3.5,3,0.1,5,3,1
0.74,686,245,220.5,3.5,4,0.1,5,4,1
0.74,686,245,220.5,3.5,5,0.1,5,4,1
0.71,710.5,269.5,220.5,3.5,2,0.1,5,4,2
0.71,710.5,269.5,220.5,3.5,3,0.1,5,4,2
0.71,710.5,269.5,220.5,3.5,4,0.1,5,4,2
0.71,710.5,269.5,220.5,3.5,5,0.1,5,4,5
0.69,735,294,220.5,3.5,2,0.1,5,5,2
0.69,735,294,220.5,3.5,3,0.1,5,4,2
0.69,735,294,220.5,3.5,4,0.1,5,4,2
0.69,735,294,220.5,3.5,5,0.1,5,4,2
0.66,759.5,318.5,220.5,3.5,2,0.1,5,5,2
0.66,759.5,318.5,220.5,3.5,3,0.1,5,5,2
0.66,759.5,318.5,220.5,3.5,4,0.1,5,5,2
0.66,759.5,318.5,220.5,3.5,5,0.1,5,5,2
0.64,784,343,220.5,3.5,2,0.1,5,9,6
0.64,784,343,220.5,3.5,3,0.1,5,9,6
0.64,784,343,220.5,3.5,4,0.1,5,9,6
0.64,784,343,220.5,3.5,5,0.1,5,9,6
0.62,808.5,367.5,220.5,3.5,2,0.1,5,4,4
0.62,808.5,367.5,220.5,3.5,3,0.1,5,4,4
0.62,808.5,367.5,220.5,3.5,4,0.1,5,4,4
0.62,808.5,367.5,220.5,3.5,5,0.1,5,4,4
0.98,514.5,294,110.25,7,2,0.25,1,20,18
0.98,514.5,294,110.25,7,3,0.25,1,20,18
0.98,514.5,294,110.25,7,4,0.25,1,19,18
0.98,514.5,294,110.25,7,5,0.25,1,19,18
0.9,563.5,318.5,122.5,7,2,0.25,1,26,23
0.9,563.5,318.5,122.5,7,3,0.25,1,23,23
0.9,563.5,318.5,122.5,7,4,0.25,1,23,23
0.9,563.5,318.5,122.5,7,5,0.25,1,28,22
0.86,588,294,147,7,2,0.25,1,24,20
0.86,588,294,147,7,3,0.25,1,19,20
0.86,588,294,147,7,4,0.25,1,20,20
0.86,588,294,147,7,5,0.25,1,25,19
0.82,612.5,318.5,147,7,2,0.25,1,20,17
0.82,612.5,318.5,147,7,3,0.25,1,18,17
0.82,612.5,318.5,147,7,4,0.25,1,17,17
0.82,612.5,318.5,147,7,5,0.25,1,21,16
0.79,637,343,147,7,2,0.25,1,34,29
0.79,637,343,147,7,3,0.25,1,28,30
0.79,637,343,147,7,4,0.25,1,27,30
0.79,637,343,147,7,5,0.25,1,36,29
0.76,661.5,416.5,122.5,7,2,0.25,1,27,27
0.76,661.5,416.5,122.5,7,3,0.25,1,28,26
0.76,661.5,416.5,122.5,7,4,0.25,1,27,27
0.76,661.5,416.5,122.5,7,5,0.25,1,27,26
0.74,686,245,220.5,3.5,2,0.25,1,5,3
0.74,686,245,220.5,3.5,3,0.25,1,6,3
0.74,686,245,220.5,3.5,4,0.25,1,5,3
0.74,686,245,220.5,3.5,5,0.25,1,6,3
0.71,710.5,269.5,220.5,3.5,2,0.25,1,5,4
0.71,710.5,269.5,220.5,3.5,3,0.25,1,6,4
0.71,710.5,269.5,220.5,3.5,4,0.25,1,5,4
0.71,710.5,269.5,220.5,3.5,5,0.25,1,6,4
0.69,735,294,220.5,3.5,2,0.25,1,5,4
0.69,735,294,220.5,3.5,3,0.25,1,6,4
0.69,735,294,220.5,3.5,4,0.25,1,5,4
0.69,735,294,220.5,3.5,5,0.25,1,6,4
0.66,759.5,318.5,220.5,3.5,2,0.25,1,6,4
0.66,759.5,318.5,220.5,3.5,3,0.25,1,6,4
0.66,759.5,318.5,220.5,3.5,4,0.25,1,6,4
0.66,759.5,318.5,220.5,3.5,5,0.25,1,6,4
0.64,784,343,220.5,3.5,2,0.25,1,11,9
0.64,784,343,220.5,3.5,3,0.25,1,11,8
0.64,784,343,220.5,3.5,4,0.25,1,11,9
0.64,784,343,220.5,3.5,5,0.25,1,11,8
0.62,808.5,367.5,220.5,3.5,2,0.25,1,6,6
0.62,808.5,367.5,220.5,3.5,3,0.25,1,6,6
0.62,808.5,367.5,220.5,3.5,4,0.25,1,6,6
0.62,808.5,367.5,220.5,3.5,5,0.25,1,6,6
0.98,514.5,294,110.25,7,2,0.25,2,20,19
0.98,514.5,294,110.25,7,3,0.25,2,20,19
0.98,514.5,294,110.25,7,4,0.25,2,20,18
0.98,514.5,294,110.25,7,5,0.25,2,20,19
0.9,563.5,318.5,122.5,7,2,0.25,2,26,22
0.9,563.5,318.5,122.5,7,3,0.25,2,23,23
0.9,563.5,318.5,122.5,7,4,0.25,2,23,22
0.9,563.5,318.5,122.5,7,5,0.25,2,28,22
0.86,588,294,147,7,2,0.25,2,23,19
0.86,588,294,147,7,3,0.25,2,18,20
0.86,588,294,147,7,4,0.25,2,20,19
0.86,588,294,147,7,5,0.25,2,25,18
0.82,612.5,318.5,147,7,2,0.25,2,18,16
0.82,612.5,318.5,147,7,3,0.25,2,17,16
0.82,612.5,318.5,147,7,4,0.25,2,17,15
0.82,612.5,318.5,147,7,5,0.25,2,20,15
0.79,637,343,147,7,2,0.25,2,34,29
0.79,637,343,147,7,3,0.25,2,27,30
0.79,637,343,147,7,4,0.25,2,27,30
0.79,637,343,147,7,5,0.25,2,36,29
0.76,661.5,416.5,122.5,7,2,0.25,2,27,27
0.76,661.5,416.5,122.5,7,3,0.25,2,27,26
0.76,661.5,416.5,122.5,7,4,0.25,2,27,27
0.76,661.5,416.5,122.5,7,5,0.25,2,27,26
0.74,686,245,220.5,3.5,2,0.25,2,5,3
0.74,686,245,220.5,3.5,3,0.25,2,5,3
0.74,686,245,220.5,3.5,4,0.25,2,5,3
0.74,686,245,220.5,3.5,5,0.25,2,5,3
0.71,710.5,269.5,220.5,3.5,2,0.25,2,5,3
0.71,710.5,269.5,220.5,3.5,3,0.25,2,5,3
0.71,710.5,269.5,220.5,3.5,4,0.25,2,5,3
0.71,710.5,269.5,220.5,3.5,5,0.25,2,5,3
0.69,735,294,220.5,3.5,2,0.25,2,6,4
0.69,735,294,220.5,3.5,3,0.25,2,6,4
0.69,735,294,220.5,3.5,4,0.25,2,6,4
0.69,735,294,220.5,3.5,5,0.25,2,6,4
0.66,759.5,318.5,220.5,3.5,2,0.25,2,6,4
0.66,759.5,318.5,220.5,3.5,3,0.25,2,6,4
0.66,759.5,318.5,220.5,3.5,4,0.25,2,6,4
0.66,759.5,318.5,220.5,3.5,5,0.25,2,6,4
0.64,784,343,220.5,3.5,2,0.25,2,10,8
0.64,784,343,220.5,3.5,3,0.25,2,11,8
0.64,784,343,220.5,3.5,4,0.25,2,10,8
0.64,784,343,220.5,3.5,5,0.25,2,10,8
0.62,808.5,367.5,220.5,3.5,2,0.25,2,5,5
0.62,808.5,367.5,220.5,3.5,3,0.25,2,6,6
0.62,808.5,367.5,220.5,3.5,4,0.25,2,5,6
0.62,808.5,367.5,220.5,3.5,5,0.25,2,5,6
0.98,514.5,294,110.25,7,2,0.25,3,19,19
0.98,514.5,294,110.25,7,3,0.25,3,20,19
0.98,514.5,294,110.25,7,4,0.25,3,20,18
0.98,514.5,294,110.25,7,5,0.25,3,20,19
0.9,563.5,318.5,122.5,7,2,0.25,3,26,22
0.9,563.5,318.5,122.5,7,3,0.25,3,25,22
0.9,563.5,318.5,122.5,7,4,0.25,3,23,23
0.9,563.5,318.5,122.5,7,5,0.25,3,22,22
0.86,588,294,147,7,2,0.25,3,24,18
0.86,588,294,147,7,3,0.25,3,23,19
0.86,588,294,147,7,4,0.25,3,18,19
0.86,588,294,147,7,5,0.25,3,20,19
0.82,612.5,318.5,147,7,2,0.25,3,19,15
0.82,612.5,318.5,147,7,3,0.25,3,18,15
0.82,612.5,318.5,147,7,4,0.25,3,17,15
0.82,612.5,318.5,147,7,5,0.25,3,16,15
0.79,637,343,147,7,2,0.25,3,35,29
0.79,637,343,147,7,3,0.25,3,34,28
0.79,637,343,147,7,4,0.25,3,28,30
0.79,637,343,147,7,5,0.25,3,27,30
0.76,661.5,416.5,122.5,7,2,0.25,3,26,26
0.76,661.5,416.5,122.5,7,3,0.25,3,26,27
0.76,661.5,416.5,122.5,7,4,0.25,3,27,26
0.76,661.5,416.5,122.5,7,5,0.25,3,27,27
0.74,686,245,220.5,3.5,2,0.25,3,4,3
0.74,686,245,220.5,3.5,3,0.25,3,4,3
0.74,686,245,220.5,3.5,4,0.25,3,5,3
0.74,686,245,220.5,3.5,5,0.25,3,5,3
0.71,710.5,269.5,220.5,3.5,2,0.25,3,5,3
0.71,710.5,269.5,220.5,3.5,3,0.25,3,5,3
0.71,710.5,269.5,220.5,3.5,4,0.25,3,6,3
0.71,710.5,269.5,220.5,3.5,5,0.25,3,5,3
0.69,735,294,220.5,3.5,2,0.25,3,5,3
0.69,735,294,220.5,3.5,3,0.25,3,4,3
0.69,735,294,220.5,3.5,4,0.25,3,5,3
0.69,735,294,220.5,3.5,5,0.25,3,5,3
0.66,759.5,318.5,220.5,3.5,2,0.25,3,6,4
0.66,759.5,318.5,220.5,3.5,3,0.25,3,6,4
0.66,759.5,318.5,220.5,3.5,4,0.25,3,6,4
0.66,759.5,318.5,220.5,3.5,5,0.25,3,6,4
0.64,784,343,220.5,3.5,2,0.25,3,10,8
0.64,784,343,220.5,3.5,3,0.25,3,10,8
0.64,784,343,220.5,3.5,4,0.25,3,10,8
0.64,784,343,220.5,3.5,5,0.25,3,10,8
0.62,808.5,367.5,220.5,3.5,2,0.25,3,5,5
0.62,808.5,367.5,220.5,3.5,3,0.25,3,5,5
0.62,808.5,367.5,220.5,3.5,4,0.25,3,5,5
0.62,808.5,367.5,220.5,3.5,5,0.25,3,4,5
0.98,514.5,294,110.25,7,2,0.25,4,20,19
0.98,514.5,294,110.25,7,3,0.25,4,20,19
0.98,514.5,294,110.25,7,4,0.25,4,20,18
0.98,514.5,294,110.25,7,5,0.25,4,20,19
0.9,563.5,318.5,122.5,7,2,0.25,4,22,23
0.9,563.5,318.5,122.5,7,3,0.25,4,27,22
0.9,563.5,318.5,122.5,7,4,0.25,4,26,22
0.9,563.5,318.5,122.5,7,5,0.25,4,23,23
0.86,588,294,147,7,2,0.25,4,19,19
0.86,588,294,147,7,3,0.25,4,24,18
0.86,588,294,147,7,4,0.25,4,24,19
0.86,588,294,147,7,5,0.25,4,18,20
0.82,612.5,318.5,147,7,2,0.25,4,16,16
0.82,612.5,318.5,147,7,3,0.25,4,19,15
0.82,612.5,318.5,147,7,4,0.25,4,19,15
0.82,612.5,318.5,147,7,5,0.25,4,17,16
0.79,637,343,147,7,2,0.25,4,26,30
0.79,637,343,147,7,3,0.25,4,35,29
0.79,637,343,147,7,4,0.25,4,34,28
0.79,637,343,147,7,5,0.25,4,27,30
0.76,661.5,416.5,122.5,7,2,0.25,4,27,27
0.76,661.5,416.5,122.5,7,3,0.25,4,27,26
0.76,661.5,416.5,122.5,7,4,0.25,4,27,27
0.76,661.5,416.5,122.5,7,5,0.25,4,28,26
0.74,686,245,220.5,3.5,2,0.25,4,5,3
0.74,686,245,220.5,3.5,3,0.25,4,5,3
0.74,686,245,220.5,3.5,4,0.25,4,5,3
0.74,686,245,220.5,3.5,5,0.25,4,5,3
0.71,710.5,269.5,220.5,3.5,2,0.25,4,5,3
0.71,710.5,269.5,220.5,3.5,3,0.25,4,5,3
0.71,710.5,269.5,220.5,3.5,4,0.25,4,5,3
0.71,710.5,269.5,220.5,3.5,5,0.25,4,6,3
0.69,735,294,220.5,3.5,2,0.25,4,5,4
0.69,735,294,220.5,3.5,3,0.25,4,6,4
0.69,735,294,220.5,3.5,4,0.25,4,6,4
0.69,735,294,220.5,3.5,5,0.25,4,6,4
0.66,759.5,318.5,220.5,3.5,2,0.25,4,6,4
0.66,759.5,318.5,220.5,3.5,3,0.25,4,6,4
0.66,759.5,318.5,220.5,3.5,4,0.25,4,6,4
0.66,759.5,318.5,220.5,3.5,5,0.25,4,6,4
0.64,784,343,220.5,3.5,2,0.25,4,10,8
0.64,784,343,220.5,3.5,3,0.25,4,10,8
0.64,784,343,220.5,3.5,4,0.25,4,10,8
0.64,784,343,220.5,3.5,5,0.25,4,10,8
0.62,808.5,367.5,220.5,3.5,2,0.25,4,5,5
0.62,808.5,367.5,220.5,3.5,3,0.25,4,6,6
0.62,808.5,367.5,220.5,3.5,4,0.25,4,5,6
0.62,808.5,367.5,220.5,3.5,5,0.25,4,5,6
0.98,514.5,294,110.25,7,2,0.25,5,20,19
0.98,514.5,294,110.25,7,3,0.25,5,20,19
0.98,514.5,294,110.25,7,4,0.25,5,20,18
0.98,514.5,294,110.25,7,5,0.25,5,20,19
0.9,563.5,318.5,122.5,7,2,0.25,5,22,23
0.9,563.5,318.5,122.5,7,3,0.25,5,22,22
0.9,563.5,318.5,122.5,7,4,0.25,5,27,22
0.9,563.5,318.5,122.5,7,5,0.25,5,26,22
0.86,588,294,147,7,2,0.25,5,18,20
