Actual Time,Age,Community Building,Community Membership_Family,Community Membership_Hobbies,Community Membership_None,Community Membership_Other,Community Membership_Political,Community Membership_Professional,Community Membership_Religious,Community Membership_Support,Country,Disability_Cognitive,Disability_Hearing,Disability_Motor,Disability_Not Impaired,Disability_Not Say,Disability_Vision,Education Attainment,Falsification of Information,Gender,Household Income,How You Heard About Survey_Banner,How You Heard About Survey_Friend,How You Heard About Survey_Mailing List,How You Heard About Survey_Others,How You Heard About Survey_Printed Media,How You Heard About Survey_Remebered,How You Heard About Survey_Search Engine,How You Heard About Survey_Usenet News,How You Heard About Survey_WWW Page,Major Geographical Location,Major Occupation,Marital Status,Most Import Issue Facing the Internet,Opinions on Censorship,Primary Computing Platform,Primary Language,Primary Place of WWW Access,Race,Not Purchasing_Bad experience,Not Purchasing_Bad press,Not Purchasing_Cant find,Not Purchasing_Company policy,Not Purchasing_Easier locally,Not Purchasing_Enough info,Not Purchasing_Judge quality,Not Purchasing_Never tried,Not Purchasing_No credit,Not Purchasing_Not applicable,Not Purchasing_Not option,Not Purchasing_Other,Not Purchasing_Prefer people,Not Purchasing_Privacy,Not Purchasing_Receipt,Not Purchasing_Security,Not Purchasing_Too complicated,Not Purchasing_Uncomfortable,Not Purchasing_Unfamiliar vendor,Registered to Vote,Sexual Preference,Web Ordering,Web Page Creation,Who Pays for Access_Don't Know,Who Pays for Access_Other,Who Pays for Access_Parents,Who Pays for Access_School,Who Pays for Access_Self,target
Manager,27.0,More,0,1,0,1,0,0,0,0,Illinois,0,0,0,1,0,0,Special,Under 25,Male,$30-39,0,0,0,0,0,0,0,0,1,USA,Management,Single,Privacy,4,nan,English,Home,White,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,No,Heterosexual,Yes,Yes,0,0,0,0,1,0
K-12 Educator,55.0,Dont Know,0,0,1,0,0,0,0,0,Texas,0,0,0,1,0,0,Masters,Never,Male,$30-39,0,0,0,0,0,0,0,0,1,USA,Education,Separated,Privacy,4,nan,Spanish,Primarily home,Hispanic,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0
Other,27.0,More,1,1,0,0,0,1,0,0,North Carolina,0,0,0,1,0,0,College,26-50,Female,Not Say,0,0,0,1,0,0,0,0,0,USA,Computer,Other,Navigation,1,Win95,English,Primarily work,White,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Yes,Bisexual,Yes,Yes,0,0,0,0,0,1
Artist/Musician,33.0,More,0,1,0,0,0,0,0,0,Georgia,0,0,0,1,0,0,Special,nan,Male,Over $100,0,0,0,0,0,0,1,0,0,USA,Other,Married,Privacy,1,Windows,English,Home,White,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,Yes,Heterosexual,No,No,0,0,0,0,1,0
Artist/Musician,25.0,More,0,1,0,0,0,0,0,0,Pennsylvania,0,0,0,1,0,0,High School,Never,Male,$20-29,0,0,0,0,0,0,0,0,1,USA,Other,Single,Censorship,1,nan,English,Home,White,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Yes,Heterosexual,Yes,Yes,0,1,0,0,0,0
K-12 Educator,44.0,More,0,1,0,0,0,1,1,0,Indiana,0,0,0,1,0,0,Masters,Never,Female,$40-49,0,0,0,0,0,0,0,0,1,USA,Education,Widowed,Privacy,4,nan,English,Primarily home,White,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,Yes,Heterosexual,Yes,No,0,0,0,0,1,1
Physician,63.0,Dont Know,1,0,0,0,0,0,0,0,Texas,0,0,0,1,0,0,Professional,Never,Male,$40-49,0,0,0,0,0,0,0,0,1,USA,Professional,Married,Privacy,4,Macintosh,English,Home,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0
K-12 Student,18.0,Equally,0,1,0,0,0,0,0,0,Virginia,0,0,0,1,0,0,High School,Never,Female,Not Say,0,0,0,0,0,0,0,0,1,USA,Education,Single,Censorship,2,Windows,English,Home,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Heterosexual,Yes,No,0,0,1,0,0,0
Looking,30.0,Dont Know,0,1,0,1,0,0,0,1,Pennsylvania,0,0,0,1,0,0,High School,Never,Female,$10-19,0,0,0,0,0,0,0,0,1,USA,Other,Other,Encryption,2,Win95,English,Home,White,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,No,Heterosexual,Yes,Yes,0,0,0,0,1,0
Retired,63.0,More,0,1,0,0,0,0,0,1,Ontario,0,0,1,0,0,0,High School,Under 25,Male,$50-74,0,0,1,0,0,0,0,0,0,Canada,Other,Single,Censorship,1,Windows,English,Home,White,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,Yes,Heterosexual,Yes,No,0,0,0,0,1,0
College Educator,34.0,Equally,0,0,0,0,0,1,0,0,Australia,0,0,0,1,0,0,Masters,Under 25,Male,$40-49,0,0,0,0,0,0,0,0,1,Oceania,Education,Married,Encryption,4,Win95,English,Work,White,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,Yes,Heterosexual,Yes,Yes,0,0,0,0,0,1
IS,39.0,More,1,1,0,0,0,1,0,0,Michigan,0,0,0,1,0,0,Some College,Under 25,Male,$50-74,0,0,0,0,0,0,0,1,0,USA,Computer,Single,Navigation,1,Macintosh,English,Primarily work,White,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,1
Other,33.0,More,1,1,0,0,0,1,0,0,Ohio,0,0,0,1,0,0,College,Never,Male,$50-74,0,0,0,0,0,1,1,0,0,USA,Computer,Married,Censorship,1,Win95,English,Primarily home,White,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0
Other,60.0,Dont Know,0,0,1,0,0,0,0,0,Connecticut,0,0,1,0,0,0,Some College,Never,Male,Under $10,0,0,0,0,0,0,0,0,1,USA,Other,Divorced,Don't Know,2,nan,English,Home,White,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,No,Heterosexual,Yes,No,0,0,0,0,1,0
Other,26.0,Equally,0,0,0,0,0,1,0,0,Rhode Island,0,0,0,1,0,0,Some College,Never,Female,$40-49,0,0,0,1,0,0,0,0,0,USA,Other,Married,Dont Know,1,Win95,English,Home,White,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,No,No,0,0,0,0,1,0
Nurse,35.0,More,1,1,0,0,0,1,0,1,Michigan,0,0,0,1,0,0,Professional,Over 75,Female,$40-49,0,0,0,0,1,0,0,0,0,USA,Professional,Single,Privacy,1,nan,English,Home,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0
Homemaker,50.0,More,0,1,0,0,0,0,1,0,Michigan,0,0,1,0,0,0,High School,Never,Female,$30-39,0,0,0,1,0,0,0,0,0,USA,Other,Married,Taxes,1,nan,English,Home,White,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0
Laid off,40.0,Dont Know,0,0,0,1,0,0,0,0,New York,0,0,0,1,0,0,Some College,Under 25,Male,Not Say,0,0,0,1,0,0,0,0,0,USA,Other,Single,Censorship,1,Win95,English,Primarily home,Indigenous,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,No,0,1,0,0,0,0
Architect,29.0,Dont Know,0,0,0,1,0,0,0,0,Georgia,0,0,0,1,0,0,College,Never,Female,Not Say,0,0,0,0,0,0,0,1,0,USA,Professional,Married,Other,3,Macintosh,English,Primarily work,White,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,Yes,Heterosexual,No,Yes,0,0,0,0,1,0
Marketing Professional,27.0,Equally,0,0,0,0,0,1,0,0,United Kingdom,0,0,0,1,0,0,College,Never,Female,$20-29,0,0,1,0,0,0,0,0,0,Europe,Professional,Single,Navigation,1,Win95,English,Primarily work,White,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,0,1
Other,23.0,More,0,1,0,0,0,0,0,1,Massachusetts,0,0,0,1,0,0,College,Not Say,Female,$40-49,0,0,0,0,0,0,0,0,1,USA,Professional,Single,Encryption,1,Win95,English,Primarily work,White,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Yes,Bisexual,Yes,No,0,0,0,0,1,1
College Student,19.0,Dont Know,1,0,0,0,0,0,0,0,Florida,0,0,0,1,0,0,Some College,Over 75,Female,$30-39,0,1,0,0,0,0,0,0,0,USA,Education,Other,Privacy,4,Win95,English,Primarily home,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Heterosexual,No,Yes,0,0,0,1,1,0
College Student,17.0,Equally,1,0,0,0,0,0,0,0,Pennsylvania,0,0,0,1,0,0,Some College,Under 25,Female,Over $100,0,0,0,0,0,0,0,0,1,USA,Education,Single,Navigation,4,Macintosh,English,Primarily home,White,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Not Applicable,Heterosexual,Yes,No,0,0,1,1,0,0
Other,45.0,Dont Know,0,0,1,0,0,0,0,0,Pennsylvania,0,0,0,1,0,0,Masters,Never,Female,$50-74,0,0,0,0,0,0,0,0,1,USA,Computer,Married,Navigation,1,DOS,English,Primarily home,White,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,Yes,Heterosexual,No,No,0,0,0,0,1,0
Other,34.0,Equally,0,1,0,0,0,0,1,0,Saskatchewan,0,0,0,0,0,1,College,Never,Male,$20-29,0,0,0,0,0,0,0,0,1,Canada,Professional,Married,Navigation,1,Win95,English,Home,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Heterosexual,No,No,0,0,0,0,1,0
Other,31.0,Dont Know,0,1,0,0,0,0,0,0,Idaho,0,0,0,1,0,0,Some College,Under 25,Female,$20-29,0,0,0,1,0,0,1,0,0,USA,Computer,Married,Taxes,4,Win95,English,Primarily home,White,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No,Heterosexual,Yes,Yes,0,0,0,0,1,0
Other,59.0,Equally,1,1,0,0,0,1,0,0,New York,0,0,0,1,0,0,College,Never,Male,$20-29,1,0,0,0,0,0,0,0,0,USA,Management,Other,Encryption,1,nan,English,Home,White,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,1,0
Technician,37.0,More,0,1,0,0,0,0,0,0,Florida,0,0,0,1,0,0,Special,Never,Male,Not Say,0,0,0,0,0,0,0,0,1,USA,Professional,Single,Dont Know,1,nan,English,Home,White,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Yes,Not say,Yes,No,0,0,0,0,1,0
Counselor,55.0,More,0,1,0,0,0,1,0,0,Washington,0,0,0,1,0,0,Masters,Never,Female,$50-74,0,0,1,0,0,0,0,0,0,USA,Professional,Other,Privacy,4,Macintosh,English,Primarily home,White,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Lesbian,Yes,No,0,0,0,0,1,0
K-12 Student,17.0,Equally,0,0,0,1,0,0,1,1,North Carolina,0,0,0,1,0,0,High School,Never,Male,$50-74,0,0,0,0,0,0,1,0,0,USA,Education,Single,Privacy,1,Win95,English,Home,White,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,No,Heterosexual,Yes,No,0,0,1,0,0,0
Other,54.0,More,1,1,0,0,1,1,0,0,Wisconsin,0,0,0,1,0,0,Some College,Not Say,Male,$30-39,0,0,0,1,0,0,0,0,0,USA,Computer,Married,Privacy,1,Win95,English,Primarily home,Not Say,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,Yes,Heterosexual,No,No,0,0,0,0,1,0
Other,41.0,More,0,0,0,1,0,0,0,0,New Jersey,0,0,0,1,0,0,High School,Under 25,Male,Over $100,0,0,0,0,0,0,0,0,1,USA,Management,Married,Censorship,1,nan,English,Home,White,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,Yes,Heterosexual,No,No,0,0,0,0,1,0
Administrator/Secretary,24.0,More,1,1,0,0,0,1,0,0,Illinois,0,0,0,1,0,0,College,Never,Female,$20-29,0,0,0,0,0,0,0,0,1,USA,Professional,Single,Privacy,1,Win95,English,Primarily home,White,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,Heterosexual,Yes,No,0,0,0,0,1,0
Manager,40.0,Dont Know,0,0,1,0,0,0,0,0,Texas,0,0,0,1,0,0,High School,Never,Male,Not Say,1,0,0,0,0,0,0,0,0,USA,Management,Single,Navigation,2,nan,English,Home,White,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Yes,Heterosexual,No,No,0,0,0,0,1,0
Other,55.0,More,0,0,0,1,0,0,0,0,New York,0,1,0,0,0,0,Masters,Never,Male,Not Say,0,0,0,0,0,0,0,0,1,USA,Other,Married,Censorship,1,Win95,English,Home,Other,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0
Marketing Professional,37.0,Less,0,0,0,0,0,1,0,0,Italy,0,0,0,0,1,0,High School,nan,Male,Not Say,0,0,0,0,1,0,0,0,0,Europe,Professional,Divorced,Encryption,1,Macintosh,Italian,Public,Latino,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Yes,Heterosexual,No,Yes,0,0,0,0,1,0
Engineer,31.0,Equally,0,1,0,0,0,1,0,0,Georgia,0,0,0,1,0,0,Masters,Never,Male,$40-49,1,0,0,0,0,0,0,0,0,USA,Professional,Divorced,Privacy,4,Win95,English,Work,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,0,1
College Student,23.0,More,0,1,0,0,0,0,0,0,South Dakota,0,0,0,1,0,0,Some College,26-50,Male,Under $10,0,0,0,0,0,0,0,0,1,USA,Education,Single,Censorship,1,nan,English,Primarily home,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0
Service Industry Occupation,28.0,Equally,0,1,0,0,0,0,0,0,Louisiana,0,0,0,1,0,0,High School,nan,Male,$10-19,1,0,0,0,0,0,0,0,1,USA,Other,Single,Privacy,3,nan,English,Home,White,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,Yes,Heterosexual,No,No,0,0,0,0,1,0
IS,44.0,More,1,1,0,0,0,1,0,0,Vermont,0,0,0,1,0,0,Masters,Never,Male,Over $100,0,0,1,0,0,0,0,0,0,USA,Computer,Married,Other,4,Win95,English,Primarily work,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0
College Student,24.0,Equally,0,0,0,0,0,1,0,0,Florida,0,0,0,1,0,0,Some College,Under 25,Male,$75-99,0,0,0,0,0,0,0,0,1,USA,Education,Single,Censorship,4,Win95,English,Primarily home,Hispanic,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0
College Student,23.0,More,0,0,0,0,0,1,0,0,Missouri,0,0,0,1,0,0,College,26-50,Male,$10-19,0,1,0,0,0,0,0,0,0,USA,Education,Single,Navigation,2,Win95,English,Primarily work,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Yes,Not say,Yes,Yes,0,0,0,1,0,0
Administrator/Secretary,36.0,More,1,1,0,0,0,0,1,1,Mississippi,0,0,0,1,0,0,Some College,Never,Female,$20-29,0,0,0,0,0,0,0,1,0,USA,Other,Divorced,Dont Know,1,nan,English,Home,White,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,Yes,Heterosexual,No,No,0,0,0,0,1,0
College Student,20.0,Equally,0,0,1,0,0,0,0,0,Netherlands,0,0,0,1,0,0,Some College,Under 25,Male,Under $10,0,0,0,0,0,0,0,0,1,Europe,Education,Single,Navigation,4,Win95,Dutch,Primarily work,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,1,1,0
Other,,Equally,0,0,1,0,0,0,0,0,Kansas,0,0,0,1,0,0,Some College,Never,Male,$10-19,1,0,0,0,0,0,0,0,0,USA,Computer,Single,Privacy,4,nan,English,Primarily home,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0
College Student,20.0,Dont Know,1,0,0,0,0,0,0,0,Virginia,0,0,0,0,0,1,High School,nan,Female,Not Say,0,0,0,0,0,0,0,0,1,USA,Education,Single,Privacy,4,Win95,English,School,Black,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,Yes,Heterosexual,No,No,0,0,0,1,0,0
Other,48.0,Equally,0,0,1,0,0,0,0,0,Michigan,0,0,0,1,0,0,Some College,Never,Male,$40-49,0,0,0,0,0,0,1,0,0,USA,Other,Widowed,Encryption,1,Win95,English,Home,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,No,Heterosexual,Yes,No,0,0,0,0,1,0
Other,69.0,Dont Know,0,0,1,0,0,0,0,0,Alaska,0,0,0,1,0,0,College,nan,Male,Not Say,0,0,0,0,0,0,0,0,1,USA,Professional,Widowed,Privacy,1,Win95,English,Home,Not Say,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,Yes,Not say,No,No,0,0,0,0,1,0
Service Industry Occupation,45.0,Dont Know,0,1,0,0,0,0,0,0,New Jersey,0,0,0,0,1,0,Some College,Never,Male,Not Say,0,0,0,0,0,0,0,0,1,USA,Other,Married,Privacy,1,nan,English,Home,White,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,Yes,Heterosexual,No,No,0,0,0,0,1,0
Advertising Professional,28.0,Dont Know,0,0,1,0,0,0,0,0,Minnesota,0,0,0,1,0,0,Masters,Under 25,Female,$75-99,0,0,0,0,0,1,0,0,0,USA,Professional,Single,Privacy,4,Win95,English,Primarily work,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,0,1
Manager,30.0,Equally,0,1,0,0,0,0,1,0,Colorado,0,0,0,1,0,0,Some College,Never,Female,$50-74,0,0,0,0,0,0,0,0,1,USA,Management,Married,Navigation,1,Win95,English,Primarily home,Not Say,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,1
Consultant,23.0,Equally,0,0,1,0,0,0,0,0,Maryland,0,0,0,1,0,0,College,51-75,Female,Over $100,1,0,0,0,0,0,0,0,0,USA,Professional,Single,Privacy,1,Win95,English,Primarily work,White,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,1
Service Industry Occupation,25.0,Less,0,1,0,0,0,0,0,0,Virginia,0,0,0,1,0,0,High School,Under 25,Male,$10-19,0,0,0,0,0,0,0,0,1,USA,Other,Married,Censorship,4,Win95,English,Home,White,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,1,0
K-12 Educator,42.0,Equally,0,0,1,0,0,0,0,0,Netherlands,0,0,0,1,0,0,Masters,Under 25,Male,$10-19,0,0,0,0,0,0,0,0,1,Europe,Education,Married,Navigation,4,Win95,Dutch,Home,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0
College Student,21.0,Equally,1,1,0,1,0,1,0,1,Illinois,0,0,0,1,0,0,Some College,Never,Male,$50-74,0,0,0,0,0,0,0,0,1,USA,Education,Single,Censorship,4,Win95,English,Primarily work,White,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,Yes,Heterosexual,Yes,Yes,0,0,0,1,0,0
Other,42.0,Dont Know,0,0,1,0,0,0,0,0,New Jersey,0,0,0,1,0,0,Some College,Never,Male,$30-39,0,0,0,0,0,0,0,1,0,USA,Professional,Single,Censorship,1,Windows,English,Home,White,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Bisexual,Yes,No,0,0,0,0,1,0
College Student,21.0,Equally,0,0,1,0,0,0,0,0,Pennsylvania,1,0,0,0,0,0,Some College,Under 25,Female,$40-49,0,0,0,0,0,0,1,0,1,USA,Education,Single,Taxes,1,Windows,English,Primarily home,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Yes,Heterosexual,Yes,No,0,0,0,1,0,0
Counselor,28.0,More,1,0,0,0,0,1,1,0,Utah,0,0,0,1,0,0,Some College,nan,Male,$40-49,0,0,0,0,0,0,0,0,1,USA,Other,Married,Dont Know,1,OS2,English,School,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,No,No,0,0,0,1,0,0
Other,23.0,More,0,1,0,0,0,1,0,0,Colorado,0,0,0,1,0,0,Some College,Under 25,Male,$50-74,0,0,0,1,0,0,0,0,0,USA,Computer,Married,Navigation,1,Macintosh,English,Primarily work,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,1
K-12 Student,17.0,Equally,0,1,0,0,0,0,0,0,Wisconsin,0,0,0,1,0,0,High School,Under 25,Male,$50-74,0,0,0,0,0,0,0,0,1,USA,Education,Single,Other,2,Win95,English,Home,White,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,No,Heterosexual,No,No,0,0,1,0,0,0
