DOB,M_STATUS,SALARY,EDU_DATA,EMP_DATA,REL_ORIEN,FAV_TV,PREF_CAR,GENDER,FAV_CUIS,FAV_MUSIC,ENDU_LEVEL,FAV_SPORT,FAV_COLR,NEWS_SOURCE,DIST_FRM_COAST,MNTLY_TRAVEL,GEN_MOVIES,FAV_SUBJ,ALCOHOL,FAV_SUPERHERO,Dist_Coast,Class
5/7/1971,Unmarried,,Uneducated,Self-Employed,Agnostic,Narcos,Toyota,Male,Italian,Hip-Hop,15-18,cycling,Red,CNN,25-40 KM,500-1000 KM,Historical,History,Non Drinkers,The hulk,572.0,x
6/30/1970,Married,500k-700k,Graduate,Employed,Agnostic,Breaking Bad,Toyota,Male,Thai,Country,12 to 15,Cricket,Red,CNN,25-40 KM,250-500 KM,Horror,Physics,Beer,spiderman,703.0,x
3/12/1995,Married,300k-500k,Uneducated,Unemployed,Believer,How I Met your mother,Ford,,Mexican,Light Metal,6 to 10,Rugby,Yellow,BBC,0-10 KM,0-250 KM,Thriller,Biology,Gin,Thor,520.0,x
9/11/1984,Unmarried,0-100K,Graduate,Self-Employed,Believer,Friends,GM,Male,Lebanese,Heavy Metal,3 to 5,Soccer,Green,New York Times,40-60 KM,1500-2000 KM,Historical,Civics,Beer,The hulk,1213.0,y
8/21/1968,Married,500k-700k,High-School,Employed,Believer,Narcos,Daimler-Benz,Male,Lebanese,Classical,12 to 15,Basketball,purple,Associated Press,0-10 KM,1500-2000 KM,Comedy,History,Rum,The hulk,889.0,y
3/10/1992,Married,0-100K,Post-Graduate,Employed,Agnostic,Prison Break,GM,Female,Indian,Rap,6 to 10,Baseball,White,MSN,60-80 KM,2000+ KM,Comedy,Art,Whiskey,The hulk,567.0,x
1/9/1983,Married,0-100K,Post-Graduate,Unemployed,Agnostic,Narcos,Ford,Male,Mexican,Country,12 to 15,Swimming,purple,Associated Press,10-25 KM,2000+ KM,Thriller,Maths,Rum,Thor,154.0,y
7/27/1995,Unmarried,300k-500k,High-School,Employed,Believer,Dexter,Audi,Male,Lebanese,Classical,12 to 15,Soccer,Red,Reuters,60-80 KM,1000-1500 KM,Comedy,Maths,Vodka,Thor,431.0,x
2/21/1965,Unmarried,100k-300k,Graduate,Employed,Agnostic,Friends,Suzuki,Male,Lebanese,Heavy Metal,3 to 5,volleyball,Black,Fox News,10-25 KM,250-500 KM,Horror,Chemistry,Beer,spiderman,1338.0,x
2/2/1989,Unmarried,100k-300k,High-School,Unemployed,Agnostic,Prison Break,Suzuki,Male,Lebanese,Heavy Metal,3 to 5,cycling,Black,Fox News,10-25 KM,0-250 KM,Romantic,English,Whiskey,Ironman,1455.0,y
8/27/1971,Unmarried,300k-500k,Uneducated,Self-Employed,Believer,Narcos,Ford,Male,Thai,Country,12 to 15,Basketball,Red,Reuters,60-80 KM,0-250 KM,Comedy,History,Gin,The hulk,121.0,y
6/20/1973,Unmarried,100k-300k,High-School,Employed,Believer,Breaking Bad,Suzuki,Female,French,Hip-Hop,15-18,Basketball,purple,Associated Press,0-10 KM,1500-2000 KM,Comedy,Maths,Beer,Thor,990.0,x
8/23/1977,Married,100k-300k,Post-Graduate,Unemployed,Believer,How I Met your mother,Suzuki,Female,French,Rap,6 to 10,Basketball,Black,Fox News,10-25 KM,0-250 KM,Action,Biology,Non Drinkers,wonder woman,918.0,x
9/8/1961,Unmarried,0-100K,High-School,Self-Employed,Agnostic,Breaking Bad,GM,Male,Italian,Hip-Hop,15-18,volleyball,purple,Associated Press,10-25 KM,2000+ KM,Comedy,Maths,Beer,Thor,138.0,y
11/4/1978,Married,300k-500k,Graduate,Employed,Believer,Friends,Audi,Male,Chinese,Heavy Metal,3 to 5,Basketball,White,MSN,10-25 KM,0-250 KM,Thriller,Biology,Beer,Thor,205.0,x
6/18/1978,Married,100k-300k,Graduate,Unemployed,Believer,Flash,Suzuki,Male,Thai,Heavy Metal,6 to 10,Rugby,Yellow,BBC,10-25 KM,250-500 KM,Comedy,Art,wine,The hulk,475.0,y
9/23/1966,Unmarried,100k-300k,Uneducated,Employed,Believer,Breaking Bad,Nissan,Male,Mexican,Country,12 to 15,Soccer,purple,Associated Press,10-25 KM,1500-2000 KM,Historical,History,wine,The hulk,244.0,y
3/24/1980,Married,100k-300k,Graduate,Unemployed,Believer,Friends,Suzuki,Female,French,Rap,6 to 10,Basketball,White,MSN,0-10 KM,0-250 KM,Horror,Chemistry,Vodka,superman,1373.0,x
12/30/1964,Unmarried,300k-500k,High-School,Unemployed,Agnostic,sherlock,Daimler-Benz,Female,Indian,Rap,6 to 10,cycling,White,MSN,40-60 KM,2000+ KM,Historical,Civics,Non Drinkers,Ironman,415.0,y
10/28/1995,,300k-500k,Graduate,Self-Employed,Agnostic,Breaking Bad,Audi,Female,Indian,Rock,18-20,cycling,Red,CNN,25-40 KM,250-500 KM,Comedy,History,Beer,Thor,1107.0,y
4/15/1967,Married,100k-300k,Graduate,Employed,Agnostic,Narcos,Ford,Male,Mexican,Hip-Hop,15-18,Cricket,Red,Reuters,60-80 KM,250-500 KM,Drama,Physics,Rum,wonder woman,119.0,x
7/11/1992,Married,300k-500k,Uneducated,Unemployed,Atheist,Friends,Audi,Male,Chinese,Heavy Metal,1 to 3,Rugby,Green,New York Times,10-25 KM,0-250 KM,Horror,Chemistry,Vodka,spiderman,1414.0,x
12/17/1971,Married,300k-500k,Graduate,Employed,Agnostic,Big Bang Theory,Daimler-Benz,Female,Mediterranean,Rock,18-20,Baseball,Red,Huffington Post,40-60 KM,500-1000 KM,Horror,Economics,Non Drinkers,superman,1186.0,y
8/7/1976,Married,300k-500k,Post-Graduate,Self-Employed,Believer,Prison Break,Audi,Male,Mexican,Rap,6 to 10,Rugby,Black,Fox News,25-40 KM,1000-1500 KM,Romantic,English,Whiskey,Ironman,455.0,x
11/28/1965,Married,300k-500k,Uneducated,Employed,Atheist,Friends,Ford,Male,Mexican,Light Metal,6 to 10,Rugby,Black,Fox News,40-60 KM,2000+ KM,Historical,Civics,wine,Ironman,408.0,y
12/19/1969,Unmarried,100k-300k,Graduate,Employed,Believer,Narcos,Honda,Male,Mexican,Hip-Hop,15-18,Soccer,Blue,Huffington Post,40-60 KM,500-1000 KM,Horror,Physics,Gin,spiderman,445.0,y
6/21/1994,Unmarried,500k-700k,High-School,Self-Employed,Believer,Prison Break,Toyota,Male,Thai,Heavy Metal,6 to 10,Soccer,Black,New York Times,10-25 KM,250-500 KM,Drama,Chemistry,Whiskey,Batman,218.0,x
5/15/1992,Married,300k-500k,Post-Graduate,Employed,Atheist,Prison Break,Audi,Male,Lebanese,Heavy Metal,3 to 5,Rugby,Green,New York Times,0-10 KM,0-250 KM,Horror,Chemistry,Whiskey,spiderman,1437.0,y
1/3/1994,Unmarried,100k-300k,Graduate,Unemployed,Agnostic,Breaking Bad,Honda,Male,Lebanese,Classical,12 to 15,volleyball,Red,CNN,25-40 KM,250-500 KM,Comedy,History,Beer,Thor,524.0,y
6/21/1983,Married,300k-500k,Uneducated,Employed,Believer,Narcos,Ford,Male,Mexican,Hip-Hop,15-18,Rugby,Red,Huffington Post,40-60 KM,250-500 KM,Thriller,Maths,Rum,Thor,398.0,x
11/30/1962,Married,100k-300k,Uneducated,Unemployed,Agnostic,Big Bang Theory,Nissan,Female,Indian,Rock,18-20,Swimming,Red,Reuters,60-80 KM,250-500 KM,Thriller,Maths,Non Drinkers,Thor,1151.0,x
2/15/1995,Unmarried,700k-1 Million,Post-Graduate,Employed,Agnostic,Narcos,Audi,Female,French,Rock,18-20,volleyball,Blue,Huffington Post,40-60 KM,1000-1500 KM,Romantic,Commerce,Non Drinkers,Ironman,265.0,x
3/30/1960,Divorced,0-100K,Uneducated,Self-Employed,Agnostic,Breaking Bad,Ford,Male,Lebanese,Country,12 to 15,Swimming,Red,Huffington Post,40-60 KM,500-1000 KM,Action,Physics,Beer,wonder woman,447.0,x
12/18/1988,Unmarried,,High-School,Self-Employed,Believer,Friends,Ford,Female,French,Rap,6 to 10,Soccer,Black,Fox News,10-25 KM,250-500 KM,Thriller,Art,Beer,Thor,472.0,x
9/28/1991,Unmarried,0-100K,Post-Graduate,Unemployed,Believer,Prison Break,Ford,Male,Thai,Heavy Metal,6 to 10,Soccer,Pink,BBC,10-25 KM,0-250 KM,Thriller,Biology,Whiskey,Thor,46.0,y
6/4/1977,Married,500k-700k,Graduate,Unemployed,Believer,Narcos,Toyota,Female,Indian,Rock,18-20,Basketball,purple,Associated Press,10-25 KM,1500-2000 KM,Comedy,History,Rum,The hulk,926.0,y
2/9/1988,Married,500k-700k,Graduate,Self-Employed,Atheist,Game of Thrones,Toyota,Male,Chinese,Classical,10 to 12,Baseball,Blue,Huffington Post,40-60 KM,250-500 KM,Action,Physics,Vodka,wonder woman,993.0,x
5/2/1960,Married,100k-300k,Post-Graduate,Unemployed,Agnostic,Friends,Honda,Male,Chinese,Heavy Metal,1 to 3,Cricket,Yellow,BBC,10-25 KM,0-250 KM,Historical,Art,Vodka,The hulk,1075.0,x
4/16/1981,Married,300k-500k,High-School,Self-Employed,Believer,Dexter,Audi,Male,Italian,Hip-Hop,15-18,Rugby,Red,Huffington Post,40-60 KM,0-250 KM,Romantic,Commerce,Vodka,Ironman,774.0,y
4/24/1985,Married,300k-500k,Uneducated,Self-Employed,Believer,Friends,Daimler-Benz,Female,Indian,Rap,6 to 10,Rugby,Black,Fox News,0-10 KM,0-250 KM,Horror,Chemistry,wine,superman,1361.0,x
4/30/1974,Married,500k-700k,High-School,Unemployed,Believer,Prison Break,Toyota,Female,French,Rap,6 to 10,Rugby,Yellow,BBC,0-10 KM,0-250 KM,Action,Biology,Vodka,wonder woman,62.0,y
11/29/1976,Married,300k-500k,High-School,Unemployed,Atheist,Narcos,Daimler-Benz,Male,Mexican,Hip-Hop,12 to 15,Rugby,Blue,Huffington Post,40-60 KM,0-250 KM,Horror,Economics,Rum,spiderman,1287.0,y
7/15/1987,Divorced,100k-300k,Post-Graduate,Self-Employed,Agnostic,Narcos,Suzuki,Male,Mexican,Hip-Hop,15-18,Swimming,Blue,CNN,25-40 KM,500-1000 KM,Thriller,Maths,Non Drinkers,Thor,1019.0,x
9/7/1986,Unmarried,300k-500k,Post-Graduate,Employed,Believer,Narcos,Audi,Male,Mexican,Hip-Hop,15-18,Soccer,Red,CNN,25-40 KM,1000-1500 KM,Horror,Economics,Rum,superman,1428.0,x
5/6/1989,Married,300k-500k,Uneducated,Employed,Atheist,How I Met your mother,Toyota,Male,Thai,Heavy Metal,6 to 10,Rugby,Green,New York Times,10-25 KM,250-500 KM,Drama,Chemistry,Non Drinkers,Batman,1066.0,x
7/24/1967,Married,500k-700k,High-School,Employed,Atheist,Flash,Toyota,Female,French,Rap,6 to 10,Baseball,White,Fox News,10-25 KM,250-500 KM,Drama,Chemistry,Rum,spiderman,1461.0,y
6/27/1979,Divorced,300k-500k,Uneducated,Employed,Agnostic,Friends,Wolkswagen,Male,Italian,Rap,6 to 10,Swimming,Green,BBC,10-25 KM,0-250 KM,Horror,Chemistry,Beer,spiderman,1002.0,y
7/3/1995,Married,300k-500k,Post-Graduate,Unemployed,Believer,Breaking Bad,Daimler-Benz,Female,French,Hip-Hop,15-18,Rugby,Blue,CNN,25-40 KM,0-250 KM,Comedy,Maths,Beer,Thor,1164.0,y
11/7/1987,Unmarried,100k-300k,Graduate,Self-Employed,Believer,Prison Break,Suzuki,Male,Mexican,Rap,6 to 10,Soccer,White,MSN,10-25 KM,0-250 KM,Historical,Art,Vodka,The hulk,1177.0,x
7/1/1983,Unmarried,300k-500k,High-School,Unemployed,Believer,Prison Break,Daimler-Benz,Female,French,Rap,6 to 10,Soccer,Yellow,BBC,0-10 KM,0-250 KM,Romantic,English,Whiskey,Ironman,1249.0,y
5/17/1974,Married,100k-300k,Post-Graduate,Unemployed,Agnostic,Friends,Ford,Male,Chinese,Heavy Metal,1 to 3,Baseball,White,Fox News,0-10 KM,0-250 KM,Drama,Chemistry,Vodka,Batman,442.0,y
2/23/1983,Unmarried,100k-300k,Graduate,Unemployed,Agnostic,Friends,Suzuki,Female,Korean,Rap,6 to 10,volleyball,Black,New York Times,10-25 KM,250-500 KM,Romantic,English,Vodka,Ironman,697.0,y
9/27/1975,Married,100k-300k,High-School,Unemployed,Atheist,Friends,Suzuki,Male,Lebanese,Heavy Metal,3 to 5,Baseball,Yellow,BBC,10-25 KM,250-500 KM,Historical,Civics,Vodka,The hulk,1445.0,y
8/3/1970,Married,0-100K,Graduate,Employed,Agnostic,Breaking Bad,GM,Male,Mexican,Hip-Hop,15-18,Cricket,purple,Associated Press,10-25 KM,2000+ KM,Historical,Commerce,Beer,The hulk,1252.0,y
12/18/1980,Married,100k-300k,Uneducated,Unemployed,Agnostic,Dexter,Honda,Female,Indian,Rock,18-20,Swimming,Red,Huffington Post,40-60 KM,1000-1500 KM,Thriller,Maths,Vodka,Thor,780.0,x
8/12/1993,Married,300k-500k,Post-Graduate,Employed,Believer,Friends,Audi,Male,Lebanese,Heavy Metal,3 to 5,Rugby,Green,BBC,0-10 KM,0-250 KM,Action,Biology,Beer,Thor,1341.0,x
1/3/1979,Unmarried,300k-500k,Uneducated,Self-Employed,Believer,How I Met your mother,Toyota,Male,Lebanese,Heavy Metal,3 to 5,Basketball,Black,Fox News,40-60 KM,1500-2000 KM,Romantic,Civics,Non Drinkers,Ironman,1189.0,y
12/21/1971,Married,300k-500k,High-School,Unemployed,Believer,Narcos,Audi,Male,Mexican,Hip-Hop,15-18,Basketball,Red,Reuters,25-40 KM,250-500 KM,Horror,Economics,Rum,spiderman,760.0,y
1/13/1961,Married,100k-300k,Uneducated,Unemployed,Believer,Breaking Bad,Nissan,Male,Lebanese,Country,12 to 15,Rugby,Red,Reuters,25-40 KM,0-250 KM,Historical,Commerce,Beer,The hulk,447.0,x
4/5/1963,Married,0-100K,High-School,Unemployed,Believer,Breaking Bad,GM,Male,Lebanese,Country,12 to 15,Rugby,Red,CNN,25-40 KM,250-500 KM,Historical,History,Beer,The hulk,881.0,x
1/20/1963,Unmarried,0-100K,High-School,Employed,Agnostic,Friends,Ford,Male,Lebanese,Heavy Metal,3 to 5,volleyball,Green,New York Times,0-10 KM,0-250 KM,Romantic,English,Beer,Ironman,849.0,x
9/21/1964,Married,0-100K,High-School,Self-Employed,Agnostic,How I Met your mother,Ford,Male,Chinese,Heavy Metal,1 to 3,Baseball,Black,Fox News,10-25 KM,250-500 KM,Comedy,Art,Non Drinkers,The hulk,1029.0,y
9/5/1964,Married,100k-300k,Uneducated,Self-Employed,Believer,sherlock,Ford,Female,Italian,Rap,6 to 10,Rugby,Yellow,BBC,10-25 KM,,Drama,Chemistry,Non Drinkers,spiderman,286.0,y
10/23/1971,Unmarried,300k-500k,Uneducated,Employed,Believer,Flash,Daimler-Benz,Male,Chinese,Heavy Metal,1 to 3,Soccer,Green,New York Times,10-25 KM,0-250 KM,Historical,Art,Rum,The hulk,1396.0,y
12/18/1968,Divorced,0-100K,Graduate,Unemployed,Agnostic,Breaking Bad,Ford,Male,Thai,Country,12 to 15,Swimming,purple,Associated Press,10-25 KM,1500-2000 KM,Comedy,History,Beer,Thor,1169.0,y
3/20/1964,Divorced,300k-500k,High-School,Employed,Agnostic,sherlock,Daimler-Benz,Male,Lebanese,Heavy Metal,3 to 5,Swimming,White,Fox News,10-25 KM,0-250 KM,Historical,Art,Non Drinkers,The hulk,295.0,x
3/5/1984,Unmarried,1M-2Million,Uneducated,Self-Employed,Agnostic,Friends,Bently,Male,Lebanese,Heavy Metal,3 to 5,volleyball,Green,New York Times,10-25 KM,250-500 KM,Comedy,Art,Beer,Thor,268.0,y
7/30/1991,Unmarried,300k-500k,High-School,Unemployed,Agnostic,Friends,Wolkswagen,Male,Lebanese,Heavy Metal,3 to 5,volleyball,White,MSN,10-25 KM,250-500 KM,Thriller,Biology,Beer,Thor,499.0,y
2/6/1965,Married,0-100K,Post-Graduate,Unemployed,Believer,Prison Break,GM,Female,Italian,Rap,6 to 10,Rugby,Yellow,BBC,10-25 KM,250-500 KM,Drama,Chemistry,Whiskey,Batman,923.0,y
10/14/1995,Married,300k-500k,Uneducated,Employed,Believer,Narcos,Audi,Male,Mexican,Country,12 to 15,Basketball,Blue,Huffington Post,40-60 KM,1000-1500 KM,Horror,Economics,Gin,spiderman,1459.0,y
9/10/1993,Married,100k-300k,High-School,Unemployed,Believer,Big Bang Theory,Suzuki,Female,French,Rock,15-18,Rugby,Red,CNN,25-40 KM,250-500 KM,Comedy,History,Non Drinkers,The hulk,322.0,x
5/24/1961,Married,0-100K,Uneducated,Employed,Believer,Friends,Ford,Female,Mediterranean,Rap,6 to 10,Rugby,White,MSN,10-25 KM,250-500 KM,Historical,Art,Beer,The hulk,1465.0,x
3/11/1980,Unmarried,100k-300k,Post-Graduate,Employed,Believer,Friends,Suzuki,Female,French,Rap,6 to 10,Basketball,Yellow,BBC,0-10 KM,0-250 KM,Horror,Chemistry,Vodka,superman,1063.0,y
8/20/1991,Married,100k-300k,Graduate,Unemployed,Agnostic,Friends,Suzuki,Female,Italian,Rap,6 to 10,Baseball,Black,Fox News,0-10 KM,0-250 KM,Historical,Civics,Vodka,Ironman,545.0,y
3/24/1990,Married,300k-500k,Graduate,Employed,Atheist,Big Bang Theory,Ford,Female,Mediterranean,Rock,20+,Baseball,Red,CNN,25-40 KM,250-500 KM,Action,Maths,Non Drinkers,Thor,453.0,y
10/2/1972,Married,0-100K,Graduate,Unemployed,Agnostic,Friends,GM,Male,Lebanese,Heavy Metal,3 to 5,Swimming,White,Fox News,0-10 KM,0-250 KM,Comedy,Art,Beer,The hulk,648.0,x
5/3/1982,Unmarried,300k-500k,Post-Graduate,Employed,Agnostic,Game of Thrones,Daimler-Benz,Female,French,Hip-Hop,15-18,volleyball,purple,Associated Press,0-10 KM,1500-2000 KM,Horror,Physics,Vodka,spiderman,109.0,y
4/30/1976,,100k-300k,Post-Graduate,Employed,Believer,Breaking Bad,Suzuki,Female,Italian,Hip-Hop,15-18,Basketball,Red,CNN,25-40 KM,500-1000 KM,Drama,Physics,Beer,Batman,1332.0,x
5/17/1964,Unmarried,300k-500k,Post-Graduate,Self-Employed,Believer,Prison Break,Daimler-Benz,Male,Mexican,Rap,6 to 10,Soccer,Black,New York Times,10-25 KM,250-500 KM,Romantic,English,Whiskey,Ironman,562.0,x
10/11/1990,Unmarried,0-100K,Post-Graduate,Employed,Believer,Breaking Bad,GM,Male,Thai,Country,12 to 15,Soccer,Red,Reuters,60-80 KM,1000-1500 KM,Drama,Physics,Beer,Batman,316.0,y
4/6/1964,Married,500k-700k,High-School,Employed,Agnostic,Flash,Toyota,Female,Mediterranean,Rap,6 to 10,Baseball,Black,New York Times,60-80 KM,2000+ KM,Action,Biology,Rum,wonder woman,1345.0,x
12/7/1975,Married,100k-300k,Post-Graduate,Self-Employed,Agnostic,Friends,Suzuki,Male,Chinese,Heavy Metal,1 to 3,Swimming,Black,Fox News,10-25 KM,250-500 KM,Comedy,Art,wine,Thor,228.0,y
5/16/1973,Married,100k-300k,High-School,Unemployed,Believer,Breaking Bad,Nissan,Female,Indian,Rock,18-20,Basketball,Blue,Huffington Post,40-60 KM,250-500 KM,Thriller,Maths,wine,Thor,765.0,y
5/8/1972,Unmarried,500k-700k,Graduate,Unemployed,Agnostic,How I Met your mother,Toyota,Male,Chinese,Heavy Metal,3 to 5,volleyball,White,MSN,0-10 KM,0-250 KM,Comedy,Art,Non Drinkers,The hulk,1022.0,x
1/25/1985,Married,300k-500k,Uneducated,Employed,Atheist,Breaking Bad,Daimler-Benz,Male,Lebanese,Classical,12 to 15,Baseball,Red,Reuters,60-80 KM,1000-1500 KM,Drama,Physics,Beer,Batman,1486.0,y
3/22/1993,Married,100k-300k,Graduate,Self-Employed,Agnostic,Prison Break,Nissan,Male,Lebanese,Heavy Metal,3 to 5,Baseball,Green,New York Times,10-25 KM,250-500 KM,Action,Biology,Whiskey,wonder woman,69.0,x
6/5/1981,Unmarried,300k-500k,High-School,Self-Employed,Agnostic,Big Bang Theory,Daimler-Benz,Male,Mexican,Country,12 to 15,cycling,Red,Reuters,60-80 KM,0-250 KM,Thriller,Maths,Non Drinkers,Thor,530.0,y
6/12/1975,Married,0-100K,Post-Graduate,Self-Employed,Atheist,Friends,GM,Male,Mexican,Rap,6 to 10,Rugby,Green,New York Times,10-25 KM,0-250 KM,Horror,Chemistry,Beer,spiderman,415.0,x
11/5/1994,Married,300k-500k,High-School,Self-Employed,Believer,How I Met your mother,Daimler-Benz,Male,Mexican,Rap,6 to 10,Basketball,Green,New York Times,0-10 KM,0-250 KM,Historical,Civics,Non Drinkers,Ironman,1340.0,y
10/11/1964,Married,700k-1 Million,Graduate,Unemployed,Believer,Big Bang Theory,Audi,Male,Lebanese,Country,12 to 15,Basketball,purple,Associated Press,0-10 KM,1500-2000 KM,Horror,Physics,Non Drinkers,spiderman,205.0,y
2/26/1989,Divorced,500k-700k,Post-Graduate,Employed,Agnostic,Prison Break,Toyota,Female,French,Rap,6 to 10,Swimming,Black,New York Times,10-25 KM,0-250 KM,Thriller,Biology,Whiskey,Thor,1156.0,x
5/4/1988,Unmarried,100k-300k,Post-Graduate,Employed,Believer,sherlock,Ford,Male,Thai,Heavy Metal,6 to 10,Soccer,Black,New York Times,0-10 KM,0-250 KM,Horror,Chemistry,Non Drinkers,spiderman,1397.0,y
