median_house_value,median_income,housing_median_age,total_rooms,total_bedrooms,population,households,latitude,binaryClass
500001.0,1.2434,52,249.0,78.0,396.0,85.0,37.8,P
162500.0,2.0938,16,994.0,392.0,800.0,362.0,37.8,P
137500.0,0.8668,52,215.0,87.0,904.0,88.0,37.8,P
162500.0,0.75,52,96.0,31.0,191.0,34.0,37.8,P
187500.0,2.6354,27,1055.0,347.0,718.0,302.0,37.79,P
179200.0,1.8477,39,1715.0,623.0,1327.0,467.0,37.8,P
130000.0,2.0096,36,5329.0,2477.0,3469.0,2323.0,37.8,P
183800.0,2.8345,31,4596.0,1331.0,2048.0,1180.0,37.82,P
125000.0,2.0062,29,335.0,107.0,202.0,91.0,37.81,P
170000.0,1.2185,22,3682.0,1270.0,2024.0,1250.0,37.82,P
193100.0,2.6104,37,3633.0,1085.0,1838.0,980.0,37.82,P
257800.0,2.4912,29,4656.0,1414.0,2304.0,1250.0,37.81,P
273400.0,3.2177,28,5806.0,1603.0,2563.0,1497.0,37.81,P
237500.0,3.125,39,854.0,242.0,389.0,228.0,37.81,P
350000.0,2.5795,52,2155.0,701.0,895.0,613.0,37.81,P
335700.0,2.8406,34,5871.0,1914.0,2689.0,1789.0,37.81,P
313400.0,4.9306,52,1509.0,225.0,674.0,244.0,37.82,P
268500.0,3.2727,52,2026.0,482.0,709.0,456.0,37.81,P
259400.0,3.1691,52,1758.0,460.0,686.0,422.0,37.81,P
275700.0,3.9,52,3481.0,751.0,1444.0,718.0,37.82,P
225000.0,3.9063,28,3337.0,855.0,1520.0,802.0,37.82,P
262500.0,5.0917,52,1424.0,289.0,550.0,253.0,37.82,P
218500.0,2.6429,32,3809.0,1098.0,1806.0,1022.0,37.82,P
255000.0,3.0233,26,3959.0,1196.0,1749.0,1217.0,37.82,P
224100.0,3.1484,52,2376.0,559.0,939.0,519.0,37.83,P
243100.0,3.4722,35,1613.0,428.0,675.0,422.0,37.83,P
231600.0,3.1429,52,1279.0,287.0,534.0,291.0,37.83,P
218500.0,2.4234,28,5022.0,1750.0,2558.0,1661.0,37.83,P
234100.0,3.0897,52,4190.0,1105.0,1786.0,1037.0,37.83,P
327600.0,5.8596,50,2515.0,399.0,970.0,373.0,37.84,P
347600.0,5.2868,47,3175.0,454.0,1098.0,485.0,37.84,P
366100.0,5.956,41,2576.0,406.0,794.0,376.0,37.83,P
335000.0,4.9643,37,334.0,54.0,98.0,47.0,37.85,P
373600.0,6.3434,52,2800.0,411.0,1061.0,403.0,37.85,P
389500.0,5.1773,52,3529.0,574.0,1177.0,555.0,37.84,P
391100.0,7.2354,52,2612.0,365.0,901.0,367.0,37.85,P
337300.0,5.457,28,5287.0,1048.0,2031.0,956.0,37.85,P
295200.0,7.5,50,2935.0,473.0,1031.0,479.0,37.84,P
292300.0,6.0194,44,3424.0,597.0,1358.0,597.0,37.84,P
411500.0,7.5544,40,4991.0,674.0,1616.0,654.0,37.83,P
311500.0,6.0666,30,2211.0,346.0,844.0,343.0,37.84,P
325900.0,7.0548,34,3038.0,490.0,1140.0,496.0,37.84,P
392600.0,11.6017,18,1617.0,210.0,533.0,194.0,37.84,P
319300.0,7.4882,35,2865.0,460.0,1072.0,443.0,37.84,P
333300.0,6.8976,34,5065.0,788.0,1627.0,766.0,37.83,P
335200.0,8.2049,28,1326.0,184.0,463.0,190.0,37.83,P
351200.0,8.401,26,1589.0,223.0,542.0,211.0,37.83,P
368900.0,6.8538,29,1791.0,271.0,661.0,269.0,37.83,P
365900.0,8.317,32,1835.0,264.0,635.0,263.0,37.82,P
366700.0,7.0175,37,1229.0,181.0,420.0,176.0,37.82,P
362800.0,6.3302,39,3770.0,534.0,1265.0,500.0,37.82,P
483300.0,6.3624,30,292.0,38.0,126.0,52.0,37.81,P
331400.0,7.0549,52,2375.0,333.0,813.0,350.0,37.82,P
323500.0,6.7851,45,2964.0,436.0,1067.0,426.0,37.81,P
216700.0,2.8929,50,2833.0,605.0,1260.0,552.0,37.8,P
233100.0,3.0812,38,2254.0,535.0,951.0,487.0,37.8,P
296400.0,5.2402,52,1389.0,212.0,510.0,224.0,37.81,P
273700.0,6.5217,52,1971.0,335.0,765.0,308.0,37.81,P
227700.0,3.2632,52,2183.0,465.0,1129.0,460.0,37.8,P
199600.0,3.0298,52,2286.0,464.0,1073.0,441.0,37.8,P
239800.0,4.5428,52,2721.0,541.0,1185.0,515.0,37.8,P
270100.0,4.072,52,2024.0,339.0,756.0,340.0,37.81,P
302100.0,5.3509,52,2944.0,536.0,1034.0,521.0,37.81,P
269500.0,3.1603,52,2033.0,486.0,787.0,459.0,37.8,P
314700.0,4.7708,52,1433.0,229.0,612.0,213.0,37.81,P
390100.0,8.1564,52,2927.0,402.0,1021.0,380.0,37.81,P
410300.0,8.8793,52,2315.0,292.0,861.0,258.0,37.81,P
352400.0,6.8591,52,2485.0,313.0,953.0,327.0,37.81,P
287300.0,6.0302,52,1490.0,238.0,634.0,256.0,37.81,P
348700.0,7.508,52,2814.0,365.0,878.0,352.0,37.81,P
243800.0,2.7477,52,2093.0,550.0,918.0,483.0,37.81,P
211500.0,2.1944,52,888.0,168.0,360.0,175.0,37.8,P
218400.0,3.0149,52,2087.0,510.0,1197.0,488.0,37.8,P
269900.0,3.675,52,2513.0,502.0,1048.0,518.0,37.81,P
218800.0,3.225,46,3232.0,835.0,1373.0,747.0,37.81,P
225000.0,2.9345,42,4120.0,1065.0,1715.0,1015.0,37.8,P
250000.0,2.1429,43,2364.0,792.0,1359.0,722.0,37.8,P
171400.0,1.6121,41,1471.0,469.0,1062.0,413.0,37.8,P
193800.0,1.3929,29,2468.0,864.0,1335.0,773.0,37.8,P
125000.0,2.3173,27,1632.0,492.0,1171.0,429.0,37.79,P
97500.0,1.7772,45,1786.0,526.0,1475.0,460.0,37.79,P
125000.0,2.6458,50,629.0,188.0,742.0,196.0,37.79,P
138800.0,2.181,52,1339.0,391.0,1086.0,363.0,37.79,P
116700.0,2.2303,36,1678.0,606.0,1645.0,543.0,37.8,P
151800.0,1.6504,43,2344.0,647.0,1710.0,644.0,37.8,P
127000.0,2.2697,52,996.0,228.0,731.0,228.0,37.8,P
128600.0,2.1563,52,1591.0,373.0,1118.0,347.0,37.8,P
140600.0,2.1348,52,1586.0,398.0,1006.0,335.0,37.8,P
182700.0,2.6292,47,2046.0,588.0,1213.0,554.0,37.8,P
146900.0,2.3833,52,1192.0,289.0,772.0,257.0,37.8,P
122800.0,2.957,52,1803.0,420.0,1321.0,401.0,37.8,P
169300.0,2.5238,49,2838.0,749.0,1487.0,677.0,37.8,P
126600.0,1.9375,52,783.0,184.0,488.0,186.0,37.8,P
127900.0,1.9028,51,1590.0,414.0,949.0,392.0,37.8,P
123500.0,2.25,50,1746.0,480.0,1149.0,415.0,37.8,P
111900.0,2.3929,52,1252.0,299.0,844.0,280.0,37.8,P
112800.0,2.1917,43,5963.0,1344.0,4367.0,1231.0,37.79,P
107900.0,2.9357,52,1783.0,395.0,1659.0,412.0,37.79,P
137500.0,1.8854,30,999.0,264.0,1011.0,263.0,37.79,P
105500.0,2.1638,39,1469.0,431.0,1464.0,389.0,37.79,P
95500.0,2.125,47,1372.0,395.0,1237.0,303.0,37.79,P
116100.0,3.375,52,674.0,180.0,647.0,168.0,37.79,P
112200.0,2.2542,43,1626.0,376.0,1284.0,357.0,37.79,P
75000.0,2.1,51,175.0,43.0,228.0,55.0,37.79,P
112500.0,1.6,39,461.0,129.0,381.0,123.0,37.79,P
125000.0,3.625,52,902.0,237.0,846.0,227.0,37.79,P
115000.0,1.6929,20,2373.0,779.0,1659.0,676.0,37.8,P
95000.0,1.6471,52,391.0,128.0,520.0,138.0,37.77,P
96400.0,2.59,52,1137.0,301.0,866.0,259.0,37.77,P
72000.0,2.57,52,769.0,206.0,612.0,183.0,37.77,P
71300.0,2.6429,52,472.0,146.0,415.0,126.0,37.78,P
80800.0,3.0257,52,862.0,215.0,994.0,213.0,37.78,P
128800.0,1.4886,50,1920.0,530.0,1525.0,477.0,37.78,P
112500.0,1.9338,43,1420.0,472.0,1506.0,438.0,37.78,P
119400.0,1.4844,52,986.0,258.0,1008.0,255.0,37.78,P
118100.0,1.6009,44,2340.0,825.0,2813.0,751.0,37.78,P
122500.0,2.0375,48,1696.0,396.0,1481.0,343.0,37.79,P
106300.0,2.293,49,1175.0,217.0,859.0,219.0,37.79,P
132500.0,2.1494,37,2343.0,574.0,1608.0,523.0,37.79,P
122700.0,1.6198,30,610.0,145.0,425.0,140.0,37.79,P
113300.0,1.3281,40,930.0,199.0,564.0,184.0,37.79,P
109500.0,3.5156,44,1487.0,314.0,961.0,272.0,37.79,P
164700.0,3.9048,52,3424.0,690.0,2273.0,685.0,37.79,P
125000.0,3.0893,52,762.0,190.0,600.0,195.0,37.79,P
124700.0,2.6042,46,2366.0,575.0,1647.0,527.0,37.79,P
136700.0,2.5,49,1826.0,450.0,1201.0,424.0,37.79,P
141700.0,2.7969,38,3049.0,711.0,2167.0,659.0,37.79,P
150000.0,2.8321,29,1640.0,376.0,939.0,340.0,37.79,P
138800.0,2.9583,47,1543.0,307.0,859.0,292.0,37.79,P
139200.0,2.8365,34,2364.0,557.0,1517.0,516.0,37.79,P
143800.0,2.875,35,1745.0,409.0,1143.0,386.0,37.79,P
156500.0,3.0682,39,2003.0,500.0,1109.0,464.0,37.8,P
151000.0,3.0757,39,2018.0,447.0,1221.0,446.0,37.8,P
273000.0,4.9559,43,3045.0,499.0,1115.0,455.0,37.8,P
217100.0,4.7721,52,1547.0,293.0,706.0,268.0,37.8,P
187100.0,3.4861,52,3519.0,711.0,1883.0,706.0,37.8,P
239600.0,5.1184,41,2070.0,354.0,804.0,340.0,37.8,P
229700.0,4.0977,48,1321.0,263.0,506.0,252.0,37.8,P
257300.0,4.744,48,1694.0,259.0,610.0,238.0,37.8,P
246900.0,4.2727,46,1938.0,341.0,768.0,332.0,37.8,P
179900.0,2.9844,50,968.0,195.0,462.0,184.0,37.79,P
169600.0,4.1739,40,1060.0,256.0,667.0,235.0,37.79,P
203300.0,3.8487,46,2041.0,405.0,1059.0,399.0,37.8,P
263400.0,4.0114,52,1813.0,271.0,637.0,277.0,37.8,P
231800.0,4.6563,45,2718.0,451.0,1106.0,454.0,37.79,P
140500.0,2.9297,28,3144.0,761.0,1737.0,669.0,37.79,P
126000.0,2.3036,35,1802.0,459.0,1009.0,390.0,37.79,P
122000.0,2.6667,49,882.0,195.0,737.0,210.0,37.79,P
134700.0,2.619,44,1621.0,452.0,1354.0,491.0,37.79,P
139400.0,2.4167,45,2115.0,533.0,1530.0,474.0,37.79,P
115400.0,2.7788,45,2021.0,528.0,1410.0,480.0,37.79,P
137300.0,2.7352,46,2239.0,508.0,1390.0,569.0,37.78,P
137000.0,1.8472,52,1477.0,300.0,1065.0,269.0,37.78,P
142600.0,2.6583,52,1056.0,224.0,792.0,245.0,37.78,P
137500.0,3.0536,49,898.0,244.0,779.0,245.0,37.78,P
111700.0,2.3906,44,2968.0,710.0,2269.0,610.0,37.78,P
126800.0,1.7188,43,1702.0,460.0,1227.0,407.0,37.78,P
111300.0,2.625,47,881.0,248.0,753.0,241.0,37.78,P
114800.0,2.8015,40,494.0,114.0,547.0,135.0,37.77,P
102300.0,1.7276,50,1776.0,473.0,1807.0,440.0,37.78,P
131900.0,2.0801,44,1678.0,514.0,1700.0,495.0,37.78,P
119100.0,2.489,51,1637.0,463.0,1543.0,393.0,37.78,P
80600.0,1.7546,52,1420.0,314.0,1085.0,300.0,37.76,P
80600.0,4.0904,52,591.0,173.0,353.0,137.0,37.77,P
88800.0,2.6765,52,745.0,153.0,473.0,149.0,37.77,P
102400.0,2.4338,49,2272.0,498.0,1621.0,483.0,37.77,P
98700.0,2.3309,46,1234.0,375.0,1183.0,354.0,37.77,P
100000.0,2.2604,43,1017.0,328.0,836.0,277.0,37.77,P
92300.0,1.8039,42,932.0,254.0,900.0,263.0,37.77,P
94800.0,2.2562,39,2689.0,597.0,1888.0,537.0,37.77,P
102000.0,2.0562,41,1547.0,415.0,1024.0,341.0,37.77,P
158400.0,3.5398,52,2300.0,443.0,1225.0,423.0,37.78,P
121600.0,3.1167,39,1752.0,399.0,1071.0,376.0,37.78,P
129100.0,2.5401,50,1867.0,403.0,1128.0,378.0,37.78,P
121400.0,2.898,43,2430.0,502.0,1537.0,484.0,37.77,P
102800.0,2.3125,44,1729.0,414.0,1240.0,393.0,37.78,P
160000.0,2.875,52,1026.0,180.0,469.0,168.0,37.78,P
143900.0,3.3715,52,2170.0,428.0,1086.0,425.0,37.77,P
151200.0,3.5114,52,2329.0,445.0,1144.0,417.0,37.77,P
164400.0,4.3125,52,2492.0,415.0,1109.0,375.0,37.78,P
156500.0,3.22,52,2198.0,397.0,984.0,369.0,37.78,P
225000.0,3.875,33,142.0,31.0,575.0,47.0,37.78,P
174200.0,5.2328,49,1183.0,205.0,496.0,209.0,37.78,P
166900.0,3.7262,52,1070.0,193.0,555.0,190.0,37.78,P
163500.0,4.5893,45,1766.0,332.0,869.0,327.0,37.78,P
253000.0,5.2578,39,617.0,95.0,236.0,106.0,37.79,P
240700.0,7.0875,41,1411.0,233.0,626.0,214.0,37.79,P
208100.0,3.9712,46,2109.0,387.0,922.0,329.0,37.79,P
198100.0,2.9514,47,1229.0,243.0,582.0,256.0,37.79,P
172800.0,2.6667,50,954.0,217.0,546.0,201.0,37.79,P
336700.0,5.4446,37,1643.0,262.0,620.0,266.0,37.81,P
318200.0,6.2838,34,1355.0,195.0,442.0,195.0,37.8,P
285800.0,6.7527,23,2317.0,336.0,955.0,328.0,37.8,P
293000.0,7.0712,24,2459.0,317.0,916.0,324.0,37.77,P
371000.0,5.9849,22,12842.0,2048.0,4985.0,1967.0,37.79,P
157300.0,3.6875,42,1524.0,260.0,651.0,267.0,37.78,P
135300.0,2.875,30,3326.0,746.0,1704.0,703.0,37.77,P
136700.0,3.4205,43,1985.0,440.0,1085.0,407.0,37.78,P
160700.0,3.2984,50,1642.0,322.0,713.0,284.0,37.78,P
140600.0,3.875,49,893.0,177.0,468.0,181.0,37.78,P
144000.0,4.175,52,653.0,128.0,296.0,121.0,37.78,P
161900.0,4.375,47,1256.0,217.0,570.0,218.0,37.77,P
156300.0,4.7708,48,977.0,194.0,446.0,180.0,37.77,P
176000.0,3.5739,45,2324.0,397.0,968.0,384.0,37.77,P
145800.0,3.0958,39,1583.0,349.0,857.0,316.0,37.77,P
141900.0,3.3958,39,1612.0,342.0,912.0,322.0,37.77,P
90700.0,1.871,31,2424.0,533.0,1360.0,452.0,37.77,P
90600.0,1.9356,41,1594.0,367.0,1074.0,355.0,37.76,P
107900.0,2.1842,47,2118.0,413.0,965.0,382.0,37.76,P
107000.0,2.2917,37,1575.0,358.0,933.0,320.0,37.76,P
98200.0,2.4333,38,1764.0,397.0,987.0,354.0,37.76,P
89500.0,1.9479,50,1187.0,261.0,907.0,246.0,37.76,P
93800.0,3.9063,52,754.0,175.0,447.0,165.0,37.76,P
96700.0,1.8407,49,2308.0,452.0,1299.0,451.0,37.76,P
97500.0,2.0786,27,909.0,236.0,396.0,157.0,37.77,P
97300.0,2.8125,42,1180.0,257.0,877.0,268.0,37.77,P
91200.0,1.8913,43,2018.0,408.0,1111.0,367.0,37.76,P
91400.0,1.7056,49,1368.0,282.0,790.0,269.0,37.76,P
96200.0,2.2768,52,2744.0,547.0,1479.0,554.0,37.77,P
120100.0,3.2552,51,2107.0,471.0,1173.0,438.0,37.77,P
100000.0,2.0556,52,1748.0,362.0,1029.0,366.0,37.77,P
94700.0,2.4659,52,2024.0,391.0,1030.0,350.0,37.76,P
85700.0,1.75,47,1116.0,259.0,826.0,279.0,37.76,P
89300.0,2.0469,41,2036.0,510.0,1412.0,454.0,37.77,P
101400.0,2.7159,45,1852.0,393.0,1132.0,349.0,37.77,P
72500.0,1.2083,41,921.0,207.0,522.0,159.0,37.76,P
74100.0,1.925,45,995.0,238.0,630.0,237.0,37.76,P
70000.0,1.5809,36,606.0,132.0,531.0,133.0,37.75,P
84600.0,1.4097,37,2680.0,736.0,1925.0,667.0,37.76,P
81800.0,0.7683,38,1493.0,370.0,1144.0,351.0,37.76,P
81400.0,1.3194,19,2207.0,565.0,1481.0,520.0,37.75,P
81800.0,0.8012,28,856.0,189.0,435.0,162.0,37.75,P
85800.0,1.9479,26,1293.0,297.0,984.0,303.0,37.76,P
87100.0,1.1765,36,847.0,212.0,567.0,159.0,37.74,P
83500.0,2.3456,42,541.0,154.0,380.0,123.0,37.74,P
79700.0,2.1538,44,1066.0,253.0,825.0,244.0,37.73,P
83400.0,2.5139,43,707.0,147.0,417.0,155.0,37.74,P
84700.0,1.2625,45,1528.0,291.0,801.0,287.0,37.73,P
80000.0,2.9063,42,909.0,215.0,646.0,198.0,37.73,P
76400.0,2.5192,43,1391.0,293.0,855.0,285.0,37.73,P
79700.0,2.1111,44,548.0,119.0,435.0,136.0,37.73,P
82400.0,2.455,42,4074.0,874.0,2736.0,780.0,37.73,P
97700.0,2.4028,41,1613.0,445.0,1481.0,414.0,37.74,P
97200.0,2.15,47,463.0,134.0,327.0,137.0,37.74,P
101600.0,2.4776,43,818.0,193.0,494.0,179.0,37.74,P
86500.0,2.1587,43,1473.0,371.0,1231.0,341.0,37.73,P
90500.0,1.8438,35,504.0,126.0,323.0,109.0,37.74,P
107600.0,3.0298,46,1026.0,226.0,749.0,225.0,37.74,P
84200.0,2.25,46,769.0,183.0,693.0,178.0,37.74,P
88900.0,2.2467,46,2103.0,391.0,1339.0,354.0,37.74,P
80700.0,4.0469,45,330.0,76.0,282.0,80.0,37.75,P
87100.0,1.325,46,941.0,218.0,621.0,195.0,37.75,P
85100.0,1.6196,38,992.0,279.0,732.0,259.0,37.75,P
82000.0,2.1731,45,990.0,261.0,901.0,260.0,37.75,P
82800.0,1.9167,36,1126.0,263.0,482.0,150.0,37.75,P
84600.0,2.069,43,1036.0,233.0,652.0,213.0,37.75,P
82100.0,1.712,36,1047.0,214.0,651.0,166.0,37.75,P
89300.0,2.5625,33,1280.0,307.0,999.0,286.0,37.76,P
98300.0,1.9821,43,1587.0,320.0,907.0,306.0,37.75,P
92300.0,2.5043,41,1257.0,271.0,828.0,230.0,37.75,P
88800.0,2.3281,44,1218.0,248.0,763.0,254.0,37.75,P
90000.0,1.4375,48,1751.0,390.0,935.0,349.0,37.75,P
95500.0,2.5122,45,2299.0,514.0,1437.0,484.0,37.76,P
91700.0,1.5625,38,2457.0,624.0,1516.0,482.0,37.75,P
100400.0,3.1587,47,998.0,211.0,597.0,185.0,37.75,P
94800.0,1.8426,40,1685.0,343.0,949.0,342.0,37.76,P
164300.0,4.6696,46,1827.0,307.0,881.0,302.0,37.76,P
155500.0,2.4598,36,2781.0,574.0,1438.0,519.0,37.76,P
196900.0,6.0749,39,1823.0,286.0,763.0,270.0,37.76,P
279100.0,4.8304,27,2229.0,365.0,1297.0,355.0,37.77,P
252800.0,5.5701,34,1513.0,231.0,545.0,211.0,37.76,P
275400.0,5.37,26,3266.0,491.0,1222.0,533.0,37.76,P
250000.0,6.86,33,1809.0,261.0,808.0,219.0,37.75,P
329800.0,7.6923,28,794.0,111.0,329.0,109.0,37.75,P
195500.0,4.0313,36,690.0,105.0,299.0,109.0,37.75,P
255900.0,6.8323,33,1334.0,200.0,579.0,202.0,37.75,P
311100.0,4.975,30,414.0,54.0,137.0,50.0,37.75,P
330000.0,5.3602,36,768.0,93.0,229.0,93.0,37.75,P
248900.0,5.0,41,4400.0,666.0,1476.0,648.0,37.74,P
142900.0,2.925,46,954.0,161.0,429.0,154.0,37.75,P
126300.0,3.8913,40,1445.0,256.0,849.0,255.0,37.75,P
135800.0,3.225,44,1938.0,399.0,946.0,331.0,37.75,P
130600.0,3.1458,41,856.0,178.0,571.0,191.0,37.74,P
107900.0,2.537,24,1790.0,454.0,1137.0,386.0,37.75,P
111100.0,2.5568,44,617.0,131.0,378.0,135.0,37.75,P
122000.0,3.5083,43,1383.0,275.0,853.0,272.0,37.74,P
118000.0,3.3125,49,1325.0,277.0,764.0,282.0,37.74,P
95200.0,1.8235,40,1227.0,294.0,928.0,261.0,37.75,P
94300.0,3.8047,35,667.0,140.0,406.0,133.0,37.75,P
92500.0,2.2917,34,1223.0,281.0,824.0,280.0,37.74,P
91800.0,2.4962,37,1379.0,287.0,835.0,259.0,37.75,P
109400.0,4.0417,43,1534.0,300.0,826.0,295.0,37.74,P
129500.0,3.4844,46,1029.0,181.0,567.0,211.0,37.74,P
143400.0,4.1458,52,771.0,147.0,355.0,144.0,37.74,P
98200.0,2.625,47,824.0,223.0,533.0,166.0,37.74,P
103100.0,2.0227,44,1097.0,239.0,609.0,215.0,37.74,P
276800.0,3.3333,49,1283.0,238.0,576.0,236.0,37.9,P
270900.0,5.338,52,1604.0,263.0,594.0,286.0,37.9,P
246200.0,3.4732,52,2248.0,422.0,870.0,377.0,37.89,P
224200.0,3.5125,38,2263.0,522.0,1027.0,509.0,37.9,P
229100.0,3.1375,52,1571.0,349.0,693.0,326.0,37.89,P
211600.0,2.8036,46,1520.0,402.0,815.0,375.0,37.89,P
256100.0,4.5824,15,5083.0,1212.0,2420.0,1146.0,37.9,P
206300.0,3.0208,36,1077.0,293.0,518.0,276.0,37.89,P
221300.0,4.0875,52,1248.0,283.0,620.0,275.0,37.89,P
207400.0,4.5268,42,1342.0,291.0,551.0,266.0,37.89,P
350000.0,1.7375,37,3061.0,930.0,2556.0,924.0,37.88,P
218200.0,3.1795,52,3171.0,698.0,1498.0,696.0,37.89,P
