age,workclass,fnlwgt,education,educationNum,maritalStatus,occupation,relationship,race,sex,capitalGain,capitalLoss,hoursPerWeek,nativeCountry,label
30,Self-emp-not-inc,176185.0,Some-college,10,Married-spouse-absent,Craft-repair,Own-child,White,Male,0.0,0.0,60,United-States,1
33,Private,402848.0,HS-grad,9,Married-spouse-absent,Adm-clerical,Other-relative,White,Female,0.0,0.0,32,United-States,-1
48,Private,195554.0,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,7298.0,0.0,40,United-States,1
44,Private,68748.0,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,48,United-States,-1
32,Private,98656.0,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,40,United-States,-1
33,Private,427812.0,9th,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,40,Puerto-Rico,-1
24,Private,204172.0,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Female,0.0,0.0,48,United-States,-1
59,Private,178282.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,7688.0,0.0,40,United-States,1
59,Federal-gov,212448.0,HS-grad,9,Widowed,Sales,Unmarried,White,Female,0.0,0.0,40,Germany,-1
27,Private,48894.0,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,42,United-States,-1
49,Private,102945.0,7th-8th,4,Widowed,Machine-op-inspct,Not-in-family,White,Female,0.0,0.0,40,United-States,-1
48,Local-gov,67716.0,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688.0,0.0,50,United-States,1
35,Private,66297.0,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,0.0,0.0,40,Philippines,1
62,Private,119684.0,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,2829.0,0.0,28,United-States,-1
23,Private,194630.0,HS-grad,9,Separated,Machine-op-inspct,Own-child,White,Male,0.0,0.0,53,United-States,-1
47,Local-gov,166863.0,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40,United-States,1
52,Self-emp-inc,224763.0,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,50,Cuba,-1
39,Federal-gov,206190.0,HS-grad,9,Never-married,Exec-managerial,Unmarried,White,Female,0.0,0.0,45,United-States,-1
58,Private,210673.0,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,40,United-States,1
34,Private,198613.0,Masters,14,Never-married,Exec-managerial,Own-child,White,Male,4650.0,0.0,40,United-States,-1
62,Self-emp-not-inc,369734.0,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,40,United-States,-1
35,Private,108293.0,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0.0,2205.0,40,United-States,-1
17,Private,127366.0,10th,6,Never-married,Other-service,Own-child,White,Female,0.0,0.0,20,United-States,-1
32,Private,34066.0,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,Amer-Indian-Eskimo,Male,0.0,0.0,40,United-States,-1
44,Private,402718.0,1st-4th,2,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,40,Mexico,-1
58,Private,242670.0,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Female,0.0,0.0,40,United-States,-1
40,Private,209547.0,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0.0,1977.0,60,United-States,1
36,Private,34744.0,Assoc-acdm,12,Divorced,Other-service,Unmarried,White,Female,0.0,0.0,37,United-States,-1
47,Private,849067.0,12th,8,Divorced,Handlers-cleaners,Not-in-family,Black,Male,0.0,0.0,40,United-States,-1
47,Private,331650.0,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,40,United-States,1
38,Private,187999.0,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,45,United-States,1
28,Local-gov,175796.0,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40,United-States,-1
25,Private,405281.0,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,40,United-States,-1
58,Private,170290.0,HS-grad,9,Divorced,Other-service,Not-in-family,White,Male,0.0,0.0,35,United-States,-1
40,Self-emp-inc,182437.0,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,15024.0,0.0,50,United-States,1
25,Self-emp-inc,158751.0,Assoc-voc,11,Never-married,Transport-moving,Unmarried,White,Male,0.0,0.0,55,United-States,-1
38,Private,176335.0,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40,United-States,1
36,Private,152307.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40,United-States,-1
57,Self-emp-not-inc,291167.0,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40,United-States,-1
35,Private,122353.0,11th,7,Never-married,Handlers-cleaners,Other-relative,White,Male,0.0,0.0,40,United-States,-1
38,Private,60313.0,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,40,United-States,-1
32,Private,337908.0,Some-college,10,Divorced,Adm-clerical,Unmarried,Black,Female,0.0,0.0,30,United-States,-1
32,Local-gov,230912.0,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,4865.0,0.0,40,United-States,-1
43,Private,174575.0,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,1564.0,45,United-States,1
43,Private,220776.0,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,35,United-States,1
39,Self-emp-not-inc,29874.0,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,54,United-States,-1
36,Private,68798.0,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0.0,0.0,30,United-States,-1
43,Private,288829.0,Assoc-voc,11,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,1902.0,42,United-States,1
36,Private,163396.0,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,40,United-States,1
60,Private,220729.0,7th-8th,4,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,50,United-States,-1
55,Private,326297.0,HS-grad,9,Separated,Adm-clerical,Not-in-family,White,Female,0.0,0.0,25,United-States,-1
50,Private,767403.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,3103.0,0.0,40,United-States,1
51,Private,74784.0,Bachelors,13,Divorced,Sales,Not-in-family,White,Female,0.0,0.0,60,United-States,-1
43,Self-emp-not-inc,260696.0,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0.0,0.0,20,United-States,-1
43,Local-gov,180407.0,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Male,0.0,0.0,42,Germany,-1
33,Private,202339.0,11th,7,Never-married,Sales,Unmarried,White,Female,0.0,0.0,34,United-States,-1
54,Self-emp-not-inc,192654.0,Bachelors,13,Divorced,Transport-moving,Not-in-family,White,Male,0.0,0.0,65,United-States,-1
42,Self-emp-not-inc,98061.0,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50,United-States,-1
38,Private,374524.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40,United-States,1
55,Private,200453.0,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,40,United-States,-1
38,Private,66326.0,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,99,United-States,-1
22,Private,200973.0,Assoc-acdm,12,Never-married,Other-service,Not-in-family,White,Female,0.0,0.0,12,United-States,-1
51,Self-emp-not-inc,136322.0,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,1579.0,40,United-States,-1
34,Private,209900.0,10th,6,Never-married,Farming-fishing,Not-in-family,White,Male,0.0,0.0,40,United-States,-1
26,Private,103700.0,Some-college,10,Never-married,Tech-support,Own-child,White,Female,0.0,0.0,40,United-States,-1
35,Federal-gov,245372.0,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0.0,0.0,40,United-States,-1
73,Private,349347.0,7th-8th,4,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,25,United-States,-1
49,Private,96854.0,HS-grad,9,Divorced,Other-service,Unmarried,White,Male,0.0,0.0,40,United-States,-1
38,Local-gov,339442.0,Some-college,10,Married-civ-spouse,Transport-moving,Husband,Black,Male,0.0,0.0,40,United-States,-1
29,Private,49087.0,Assoc-voc,11,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,40,United-States,-1
33,Self-emp-not-inc,398874.0,Bachelors,13,Never-married,Tech-support,Own-child,White,Male,0.0,0.0,40,United-States,-1
53,Private,144361.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,38,United-States,-1
34,Private,538243.0,Some-college,10,Separated,Tech-support,Unmarried,Black,Female,0.0,0.0,40,United-States,-1
61,Private,298400.0,Bachelors,13,Divorced,Sales,Not-in-family,Black,Male,4787.0,0.0,48,United-States,1
47,Private,345493.0,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,99999.0,0.0,55,Taiwan,1
27,Private,155057.0,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,50,United-States,1
32,Private,347112.0,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,45,United-States,-1
31,Private,88231.0,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,40,United-States,-1
20,Private,419984.0,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0.0,0.0,25,United-States,-1
31,State-gov,203572.0,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,30,United-States,-1
39,Local-gov,30269.0,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,44,United-States,1
19,State-gov,127085.0,Some-college,10,Never-married,Other-service,Own-child,White,Male,0.0,0.0,10,United-States,-1
58,Private,172238.0,HS-grad,9,Widowed,Exec-managerial,Unmarried,White,Female,0.0,0.0,50,United-States,-1
23,Private,199419.0,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,20,United-States,-1
58,Private,197114.0,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40,United-States,-1
25,Private,410240.0,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,40,United-States,-1
49,Private,144514.0,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0.0,1887.0,45,United-States,1
19,Private,552354.0,12th,8,Never-married,Machine-op-inspct,Own-child,White,Male,0.0,0.0,40,United-States,-1
38,Private,136137.0,Some-college,10,Married-civ-spouse,Exec-managerial,Other-relative,White,Male,0.0,0.0,50,United-States,1
29,Private,37359.0,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,7298.0,0.0,40,United-States,1
48,Private,135525.0,Assoc-acdm,12,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40,United-States,-1
26,Self-emp-not-inc,177858.0,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,1876.0,38,United-States,-1
23,Private,316793.0,HS-grad,9,Married-civ-spouse,Sales,Wife,Black,Female,0.0,0.0,35,United-States,-1
39,Private,121590.0,Some-college,10,Never-married,Prof-specialty,Not-in-family,Black,Male,4787.0,0.0,40,United-States,1
41,Private,373403.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40,United-States,1
60,Private,241013.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0.0,0.0,40,United-States,-1
29,Private,177955.0,9th,5,Never-married,Priv-house-serv,Unmarried,White,Female,0.0,0.0,24,El-Salvador,-1
35,Private,337286.0,Masters,14,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,0.0,0.0,40,United-States,-1
23,Private,278390.0,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,68,United-States,-1
25,Private,195994.0,1st-4th,2,Never-married,Priv-house-serv,Not-in-family,White,Female,0.0,0.0,40,Guatemala,-1
67,Self-emp-not-inc,141797.0,7th-8th,4,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40,United-States,-1
34,Private,176711.0,HS-grad,9,Divorced,Other-service,Own-child,White,Male,0.0,0.0,40,United-States,-1
63,Federal-gov,39181.0,Doctorate,16,Divorced,Exec-managerial,Not-in-family,White,Female,0.0,2559.0,60,United-States,1
43,Private,174051.0,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,48,United-States,-1
27,Private,191515.0,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,45,United-States,-1
36,Private,114055.0,Assoc-voc,11,Never-married,Prof-specialty,Unmarried,White,Female,3325.0,0.0,40,United-States,-1
19,Private,182355.0,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Female,0.0,0.0,20,United-States,-1
41,Self-emp-not-inc,150533.0,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,50,United-States,1
42,Private,328239.0,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0.0,0.0,40,United-States,-1
33,Private,76107.0,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,4386.0,0.0,60,United-States,1
40,Private,111483.0,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50,United-States,1
38,State-gov,312528.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,37,United-States,-1
30,Private,287986.0,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,40,United-States,-1
23,Private,86939.0,HS-grad,9,Married-spouse-absent,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,40,United-States,-1
52,Federal-gov,38973.0,Bachelors,13,Separated,Adm-clerical,Unmarried,Black,Female,0.0,0.0,40,United-States,-1
41,Local-gov,248406.0,HS-grad,9,Separated,Transport-moving,Own-child,White,Male,0.0,0.0,40,United-States,-1
46,Private,122026.0,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,44,United-States,1
58,Private,265579.0,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40,United-States,-1
29,State-gov,183285.0,Some-college,10,Never-married,Protective-serv,Not-in-family,White,Male,0.0,0.0,36,United-States,-1
24,Private,279041.0,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Black,Male,0.0,0.0,40,United-States,-1
28,Private,87239.0,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0.0,0.0,50,United-States,-1
45,Private,96100.0,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0.0,0.0,40,United-States,-1
45,Federal-gov,358242.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,45,United-States,1
57,Private,41680.0,Some-college,10,Divorced,Tech-support,Not-in-family,Black,Female,0.0,0.0,40,United-States,-1
32,Private,53206.0,Bachelors,13,Divorced,Craft-repair,Not-in-family,White,Male,0.0,0.0,50,United-States,1
46,Federal-gov,102308.0,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024.0,0.0,50,United-States,1
33,Federal-gov,37546.0,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,40,United-States,1
43,Private,85995.0,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,40,United-States,-1
18,Private,175752.0,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,30,United-States,-1
20,Private,161962.0,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,16,United-States,-1
24,Private,111445.0,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,38,United-States,-1
34,Private,203488.0,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,40,United-States,-1
18,Private,156950.0,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0.0,0.0,35,United-States,-1
27,Private,200641.0,10th,6,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,0.0,40,Mexico,-1
29,Private,53181.0,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,55,United-States,1
20,Private,54152.0,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,30,,-1
36,Local-gov,331902.0,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,35,United-States,-1
71,State-gov,210673.0,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,28,United-States,-1
35,Private,30381.0,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,45,United-States,1
29,Private,142519.0,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,40,United-States,-1
34,Private,196164.0,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0.0,0.0,35,United-States,-1
19,Private,219300.0,Some-college,10,Never-married,Sales,Own-child,White,Female,0.0,0.0,25,United-States,-1
43,Private,293176.0,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40,United-States,1
60,Private,140544.0,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,40,United-States,-1
23,Private,182117.0,Some-college,10,Never-married,Other-service,Own-child,White,Male,0.0,0.0,40,United-States,-1
37,State-gov,26898.0,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40,United-States,-1
53,Local-gov,175897.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40,United-States,-1
18,Private,577521.0,11th,7,Never-married,Sales,Own-child,White,Male,0.0,0.0,13,United-States,-1
58,Self-emp-inc,190763.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40,United-States,1
23,Private,180475.0,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,40,United-States,-1
53,Private,152810.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40,United-States,1
18,Private,397606.0,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,40,United-States,-1
32,Private,112176.0,Some-college,10,Divorced,Sales,Own-child,White,Male,0.0,0.0,30,United-States,-1
33,Private,318982.0,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,45,United-States,1
43,State-gov,206927.0,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40,United-States,-1
39,Self-emp-not-inc,185366.0,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,35,United-States,1
42,Private,143342.0,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Female,0.0,0.0,40,United-States,-1
29,Private,100219.0,Assoc-acdm,12,Never-married,Machine-op-inspct,Unmarried,White,Male,0.0,0.0,45,United-States,-1
42,Federal-gov,52781.0,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,1902.0,40,United-States,1
62,Private,26966.0,Some-college,10,Widowed,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40,United-States,-1
49,Private,151267.0,Assoc-voc,11,Divorced,Prof-specialty,Unmarried,Black,Female,0.0,0.0,40,United-States,-1
45,Private,209912.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0.0,0.0,40,India,1
49,Private,160187.0,9th,5,Married-spouse-absent,Other-service,Not-in-family,Black,Female,0.0,0.0,16,Jamaica,-1
39,Private,108419.0,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40,United-States,-1
22,Private,243842.0,9th,5,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,40,United-States,-1
40,Private,108945.0,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,32,United-States,-1
51,Private,29887.0,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,0.0,44,United-States,-1
54,Local-gov,129972.0,Assoc-voc,11,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,38,United-States,1
19,Private,124906.0,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0.0,1719.0,25,United-States,-1
32,Private,159187.0,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,40,United-States,-1
37,Private,201259.0,11th,7,Divorced,Transport-moving,Not-in-family,White,Male,0.0,0.0,65,United-States,-1
30,Private,149368.0,HS-grad,9,Divorced,Sales,Unmarried,White,Male,1151.0,0.0,30,United-States,-1
55,Private,84774.0,HS-grad,9,Married-civ-spouse,Priv-house-serv,Wife,White,Female,0.0,0.0,30,United-States,-1
59,Private,192845.0,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,40,United-States,1
56,Private,442116.0,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,54,United-States,1
44,Private,186916.0,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,1887.0,60,United-States,1
40,Private,51290.0,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,50,United-States,1
24,State-gov,191269.0,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,65,United-States,-1
40,Private,337456.0,HS-grad,9,Divorced,Protective-serv,Unmarried,White,Female,0.0,0.0,40,United-States,-1
47,Self-emp-not-inc,190072.0,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40,Iran,1
35,Private,226789.0,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,58,United-States,-1
24,Private,109456.0,Bachelors,13,Never-married,Sales,Own-child,White,Male,0.0,0.0,25,United-States,-1
27,Local-gov,162973.0,Assoc-voc,11,Never-married,Protective-serv,Not-in-family,White,Male,0.0,0.0,56,United-States,-1
21,Private,73679.0,Some-college,10,Never-married,Exec-managerial,Own-child,White,Female,0.0,0.0,40,United-States,-1
40,Private,244172.0,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,40,United-States,-1
36,Private,199217.0,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,40,Mexico,-1
52,Private,180195.0,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40,United-States,1
35,Private,187167.0,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,0.0,0.0,35,United-States,-1
45,Private,339506.0,HS-grad,9,Never-married,Sales,Not-in-family,Black,Male,0.0,0.0,40,United-States,-1
41,Private,155657.0,11th,7,Never-married,Handlers-cleaners,Other-relative,Black,Female,0.0,0.0,40,United-States,-1
30,Self-emp-not-inc,173854.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,60,United-States,-1
20,Private,70708.0,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,60,United-States,-1
38,Private,396595.0,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0.0,0.0,40,United-States,1
31,State-gov,111843.0,Assoc-acdm,12,Separated,Other-service,Unmarried,Black,Female,0.0,0.0,40,United-States,-1
61,Private,43904.0,HS-grad,9,Divorced,Other-service,Not-in-family,Black,Male,0.0,0.0,40,United-States,-1
23,Private,113511.0,HS-grad,9,Never-married,Craft-repair,Unmarried,White,Male,0.0,0.0,40,United-States,-1
49,Private,172246.0,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40,United-States,-1
43,Private,180138.0,HS-grad,9,Separated,Craft-repair,Not-in-family,White,Male,0.0,0.0,40,United-States,1
28,Private,137898.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0.0,0.0,40,United-States,-1
42,Private,187702.0,HS-grad,9,Divorced,Other-service,Not-in-family,White,Male,0.0,0.0,40,United-States,-1
36,Private,69251.0,HS-grad,9,Married-civ-spouse,Other-service,Other-relative,Asian-Pac-Islander,Male,0.0,0.0,40,Philippines,-1
39,Private,317434.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40,United-States,-1
59,Self-emp-inc,146477.0,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40,United-States,1
40,State-gov,390781.0,HS-grad,9,Divorced,Other-service,Not-in-family,Black,Female,0.0,0.0,48,United-States,-1
59,Private,109567.0,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,55,United-States,-1
23,Private,91189.0,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,20,United-States,-1
