time,training_score,logical_score,verbal_score,avg_literacy,location_age,distance,similar_language,is_male,turnover
20,4.355449,0,8,93.72386,3,0.234684,96.0864,1,Stayed
21,4.355449,0,8,93.72386,3,0.234684,96.0864,1,Stayed
22,4.355449,0,8,93.72386,3,0.234684,96.0864,1,Stayed
23,4.355449,0,8,93.72386,3,0.234684,96.0864,1,Stayed
24,4.355449,0,8,93.72386,3,0.234684,96.0864,1,Stayed
25,4.355449,0,8,93.72386,3,0.234684,96.0864,1,Stayed
26,4.355449,0,8,93.72386,3,0.234684,96.0864,1,Stayed
27,4.355449,0,8,93.72386,3,0.234684,96.0864,1,Stayed
28,4.355449,0,8,93.72386,3,0.234684,96.0864,1,Stayed
29,4.355449,0,8,93.72386,3,0.234684,96.0864,1,Stayed
30,4.355449,0,8,93.72386,3,0.234684,96.0864,1,Stayed
31,4.355449,0,8,93.72386,3,0.234684,96.0864,1,Stayed
32,4.355449,0,8,93.72386,3,0.234684,96.0864,1,Stayed
33,4.355449,0,8,93.72386,3,0.234684,96.0864,1,Stayed
34,4.355449,0,8,93.72386,3,0.234684,96.0864,1,Stayed
1,4.416302,3,2,66.49519,6,0.6730647,100.0,1,Stayed
2,4.416302,3,2,66.49519,6,0.6730647,100.0,1,Stayed
3,4.416302,3,2,66.49519,6,0.6730647,100.0,1,Stayed
4,4.416302,3,2,66.49519,6,0.6730647,100.0,1,Stayed
5,4.416302,3,2,66.49519,6,0.6730647,100.0,1,Stayed
6,4.416302,3,2,66.49519,6,0.6730647,100.0,1,Stayed
7,4.416302,3,2,66.49519,6,0.6730647,100.0,1,Stayed
8,4.416302,3,2,66.49519,6,0.6730647,100.0,1,Stayed
9,4.416302,3,2,66.49519,6,0.6730647,100.0,1,Stayed
10,4.416302,3,2,66.49519,6,0.6730647,100.0,1,Stayed
11,4.416302,3,2,66.49519,6,0.6730647,100.0,1,Stayed
12,4.416302,3,2,66.49519,6,0.6730647,100.0,1,Stayed
13,4.416302,3,2,66.49519,6,0.6730647,100.0,1,Stayed
14,4.416302,3,2,66.49519,6,0.6730647,100.0,1,Stayed
15,4.416302,3,2,66.49519,6,0.6730647,100.0,1,Stayed
16,4.416302,3,2,66.49519,6,0.6730647,100.0,1,Stayed
17,4.416302,3,2,66.49519,6,0.6730647,100.0,1,Stayed
18,4.416302,3,2,66.49519,6,0.6730647,100.0,1,Stayed
19,4.416302,3,2,66.49519,6,0.6730647,100.0,1,Stayed
20,4.416302,3,2,66.49519,6,0.6730647,100.0,1,Stayed
21,4.416302,3,2,66.49519,6,0.6730647,100.0,1,Stayed
22,4.416302,3,2,66.49519,6,0.6730647,100.0,1,Stayed
23,4.416302,3,2,66.49519,6,0.6730647,100.0,1,Stayed
24,4.416302,3,2,66.49519,6,0.6730647,100.0,1,Stayed
25,4.416302,3,2,66.49519,6,0.6730647,100.0,1,Stayed
26,4.416302,3,2,66.49519,6,0.6730647,100.0,1,Stayed
27,4.416302,3,2,66.49519,6,0.6730647,100.0,1,Stayed
28,4.416302,3,2,66.49519,6,0.6730647,100.0,1,Stayed
29,4.416302,3,2,66.49519,6,0.6730647,100.0,1,Stayed
30,4.416302,3,2,66.49519,6,0.6730647,100.0,1,Stayed
31,4.416302,3,2,66.49519,6,0.6730647,100.0,1,Stayed
32,4.416302,3,2,66.49519,6,0.6730647,100.0,1,Stayed
33,4.416302,3,2,66.49519,6,0.6730647,100.0,1,Stayed
34,4.416302,3,2,66.49519,6,0.6730647,100.0,1,Stayed
35,4.416302,3,2,66.49519,6,0.6730647,100.0,1,Stayed
36,4.416302,3,2,66.49519,6,0.6730647,100.0,1,Stayed
37,4.416302,3,2,66.49519,6,0.6730647,100.0,1,Stayed
1,4.995522,11,3,87.0598,13,0.2327185,93.20673,1,Stayed
2,4.995522,11,3,87.0598,13,0.2327185,93.20673,1,Stayed
3,4.995522,11,3,87.0598,13,0.2327185,93.20673,1,Stayed
4,4.995522,11,3,87.0598,13,0.2327185,93.20673,1,Stayed
5,4.995522,11,3,87.0598,13,0.2327185,93.20673,1,Stayed
6,4.995522,11,3,87.0598,13,0.2327185,93.20673,1,Stayed
7,4.995522,11,3,87.0598,13,0.2327185,93.20673,1,Stayed
8,4.995522,11,3,87.0598,13,0.2327185,93.20673,1,Stayed
9,4.995522,11,3,87.0598,13,0.2327185,93.20673,1,Stayed
10,4.995522,11,3,87.0598,13,0.2327185,93.20673,1,Stayed
11,4.995522,11,3,87.0598,13,0.2327185,93.20673,1,Stayed
12,4.995522,11,3,87.0598,13,0.2327185,93.20673,1,Stayed
13,4.995522,11,3,87.0598,13,0.2327185,93.20673,1,Stayed
14,4.995522,11,3,87.0598,13,0.2327185,93.20673,1,Stayed
15,4.995522,11,3,87.0598,13,0.2327185,93.20673,1,Stayed
16,4.995522,11,3,87.0598,13,0.2327185,93.20673,1,Stayed
17,4.995522,11,3,87.0598,13,0.2327185,93.20673,1,Stayed
18,4.995522,11,3,87.0598,13,0.2327185,93.20673,1,Stayed
19,4.995522,11,3,87.0598,13,0.2327185,93.20673,1,Stayed
20,4.995522,11,3,87.0598,13,0.2327185,93.20673,1,Stayed
21,4.995522,11,3,87.0598,13,0.2327185,93.20673,1,Stayed
22,4.995522,11,3,87.0598,13,0.2327185,93.20673,1,Stayed
23,4.995522,11,3,87.0598,13,0.2327185,93.20673,1,Stayed
24,4.995522,11,3,87.0598,13,0.2327185,93.20673,1,Stayed
25,4.995522,11,3,87.0598,13,0.2327185,93.20673,1,Stayed
26,4.995522,11,3,87.0598,13,0.2327185,93.20673,1,Stayed
27,4.995522,11,3,87.0598,13,0.2327185,93.20673,1,Stayed
28,4.995522,11,3,87.0598,13,0.2327185,93.20673,1,Stayed
29,4.995522,11,3,87.0598,13,0.2327185,93.20673,1,Stayed
30,4.995522,11,3,87.0598,13,0.2327185,93.20673,1,Stayed
31,4.995522,11,3,87.0598,13,0.2327185,93.20673,1,Stayed
32,4.995522,11,3,87.0598,13,0.2327185,93.20673,1,Stayed
33,4.995522,11,3,87.0598,13,0.2327185,93.20673,1,Stayed
34,4.995522,11,3,87.0598,13,0.2327185,93.20673,1,Stayed
1,4.531571,1,0,77.78675,24,2.333878,23.0319,0,Stayed
2,4.531571,1,0,77.78675,24,2.333878,23.0319,0,Stayed
3,4.531571,1,0,77.78675,24,2.333878,23.0319,0,Stayed
4,4.531571,1,0,77.78675,24,2.333878,23.0319,0,Stayed
5,4.531571,1,0,77.78675,24,2.333878,23.0319,0,Stayed
6,4.531571,1,0,77.78675,24,2.333878,23.0319,0,Stayed
7,4.531571,1,0,77.78675,24,2.333878,23.0319,0,Stayed
8,4.531571,1,0,77.78675,24,2.333878,23.0319,0,Stayed
9,4.531571,1,0,77.78675,24,2.333878,23.0319,0,Stayed
10,4.531571,1,0,77.78675,24,2.333878,23.0319,0,Stayed
11,4.531571,1,0,77.78675,24,2.333878,23.0319,0,Stayed
12,4.531571,1,0,77.78675,24,2.333878,23.0319,0,Stayed
13,4.531571,1,0,77.78675,24,2.333878,23.0319,0,Stayed
14,4.531571,1,0,77.78675,24,2.333878,23.0319,0,Stayed
15,4.531571,1,0,77.78675,24,2.333878,23.0319,0,Stayed
16,4.531571,1,0,77.78675,24,2.333878,23.0319,0,Stayed
17,4.531571,1,0,77.78675,24,2.333878,23.0319,0,Stayed
18,4.531571,1,0,77.78675,24,2.333878,23.0319,0,Stayed
19,4.531571,1,0,77.78675,24,2.333878,23.0319,0,Stayed
20,4.531571,1,0,77.78675,24,2.333878,23.0319,0,Stayed
21,4.531571,1,0,77.78675,24,2.333878,23.0319,0,Stayed
22,4.531571,1,0,77.78675,24,2.333878,23.0319,0,Stayed
23,4.531571,1,0,77.78675,24,2.333878,23.0319,0,Stayed
24,4.531571,1,0,77.78675,24,2.333878,23.0319,0,Stayed
25,4.531571,1,0,77.78675,24,2.333878,23.0319,0,Stayed
26,4.531571,1,0,77.78675,24,2.333878,23.0319,0,Stayed
27,4.531571,1,0,77.78675,24,2.333878,23.0319,0,Stayed
28,4.531571,1,0,77.78675,24,2.333878,23.0319,0,Stayed
29,4.531571,1,0,77.78675,24,2.333878,23.0319,0,Stayed
30,4.531571,1,0,77.78675,24,2.333878,23.0319,0,Stayed
31,4.531571,1,0,77.78675,24,2.333878,23.0319,0,Stayed
32,4.531571,1,0,77.78675,24,2.333878,23.0319,0,Stayed
33,4.531571,1,0,77.78675,24,2.333878,23.0319,0,Stayed
1,4.920617,9,5,74.47338,25,0.4365438,100.0,0,Stayed
2,4.920617,9,5,74.47338,25,0.4365438,100.0,0,Stayed
3,4.920617,9,5,74.47338,25,0.4365438,100.0,0,Stayed
4,4.920617,9,5,74.47338,25,0.4365438,100.0,0,Stayed
5,4.920617,9,5,74.47338,25,0.4365438,100.0,0,Stayed
6,4.920617,9,5,74.47338,25,0.4365438,100.0,0,Stayed
7,4.920617,9,5,74.47338,25,0.4365438,100.0,0,Stayed
8,4.920617,9,5,74.47338,25,0.4365438,100.0,0,Stayed
9,4.920617,9,5,74.47338,25,0.4365438,100.0,0,Left
1,4.157577,3,4,67.30867,9,1.474573,7.47432,1,Stayed
2,4.157577,3,4,67.30867,9,1.474573,7.47432,1,Stayed
3,4.157577,3,4,67.30867,9,1.474573,7.47432,1,Stayed
4,4.157577,3,4,67.30867,9,1.474573,7.47432,1,Stayed
5,4.157577,3,4,67.30867,9,1.474573,7.47432,1,Stayed
6,4.157577,3,4,67.30867,9,1.474573,7.47432,1,Stayed
7,4.157577,3,4,67.30867,9,1.474573,7.47432,1,Stayed
8,4.157577,3,4,67.30867,9,1.474573,7.47432,1,Stayed
9,4.157577,3,4,67.30867,9,1.474573,7.47432,1,Stayed
10,4.157577,3,4,67.30867,9,1.474573,7.47432,1,Stayed
11,4.157577,3,4,67.30867,9,1.474573,7.47432,1,Stayed
12,4.157577,3,4,67.30867,9,1.474573,7.47432,1,Stayed
13,4.157577,3,4,67.30867,9,1.474573,7.47432,1,Stayed
14,4.157577,3,4,67.30867,9,1.474573,7.47432,1,Stayed
15,4.157577,3,4,67.30867,9,1.474573,7.47432,1,Stayed
16,4.157577,3,4,67.30867,9,1.474573,7.47432,1,Stayed
17,4.157577,3,4,67.30867,9,1.474573,7.47432,1,Stayed
18,4.157577,3,4,67.30867,9,1.474573,7.47432,1,Stayed
19,4.157577,3,4,67.30867,9,1.474573,7.47432,1,Stayed
20,4.157577,3,4,67.30867,9,1.474573,7.47432,1,Stayed
21,4.157577,3,4,67.30867,9,1.474573,7.47432,1,Stayed
22,4.157577,3,4,67.30867,9,1.474573,7.47432,1,Stayed
23,4.157577,3,4,67.30867,9,1.474573,7.47432,1,Stayed
24,4.157577,3,4,67.30867,9,1.474573,7.47432,1,Stayed
25,4.157577,3,4,67.30867,9,1.474573,7.47432,1,Stayed
26,4.157577,3,4,67.30867,9,1.474573,7.47432,1,Stayed
27,4.157577,3,4,67.30867,9,1.474573,7.47432,1,Stayed
28,4.157577,3,4,67.30867,9,1.474573,7.47432,1,Stayed
29,4.157577,3,4,67.30867,9,1.474573,7.47432,1,Stayed
30,4.157577,3,4,67.30867,9,1.474573,7.47432,1,Stayed
31,4.157577,3,4,67.30867,9,1.474573,7.47432,1,Stayed
32,4.157577,3,4,67.30867,9,1.474573,7.47432,1,Stayed
33,4.157577,3,4,67.30867,9,1.474573,7.47432,1,Stayed
34,4.157577,3,4,67.30867,9,1.474573,7.47432,1,Stayed
1,4.531462,5,4,58.47932,27,0.8292032,20.86741,0,Stayed
2,4.531462,5,4,58.47932,27,0.8292032,20.86741,0,Stayed
3,4.531462,5,4,58.47932,27,0.8292032,20.86741,0,Stayed
4,4.531462,5,4,58.47932,27,0.8292032,20.86741,0,Stayed
5,4.531462,5,4,58.47932,27,0.8292032,20.86741,0,Stayed
6,4.531462,5,4,58.47932,27,0.8292032,20.86741,0,Stayed
7,4.531462,5,4,58.47932,27,0.8292032,20.86741,0,Stayed
8,4.531462,5,4,58.47932,27,0.8292032,20.86741,0,Stayed
9,4.531462,5,4,58.47932,27,0.8292032,20.86741,0,Stayed
10,4.531462,5,4,58.47932,27,0.8292032,20.86741,0,Stayed
11,4.531462,5,4,58.47932,27,0.8292032,20.86741,0,Stayed
12,4.531462,5,4,58.47932,27,0.8292032,20.86741,0,Stayed
13,4.531462,5,4,58.47932,27,0.8292032,20.86741,0,Stayed
14,4.531462,5,4,58.47932,27,0.8292032,20.86741,0,Stayed
15,4.531462,5,4,58.47932,27,0.8292032,20.86741,0,Stayed
16,4.531462,5,4,58.47932,27,0.8292032,20.86741,0,Stayed
17,4.531462,5,4,58.47932,27,0.8292032,20.86741,0,Stayed
18,4.531462,5,4,58.47932,27,0.8292032,20.86741,0,Stayed
19,4.531462,5,4,58.47932,27,0.8292032,20.86741,0,Stayed
20,4.531462,5,4,58.47932,27,0.8292032,20.86741,0,Stayed
21,4.531462,5,4,58.47932,27,0.8292032,20.86741,0,Stayed
22,4.531462,5,4,58.47932,27,0.8292032,20.86741,0,Stayed
23,4.531462,5,4,58.47932,27,0.8292032,20.86741,0,Stayed
24,4.531462,5,4,58.47932,27,0.8292032,20.86741,0,Stayed
25,4.531462,5,4,58.47932,27,0.8292032,20.86741,0,Stayed
26,4.531462,5,4,58.47932,27,0.8292032,20.86741,0,Stayed
27,4.531462,5,4,58.47932,27,0.8292032,20.86741,0,Stayed
28,4.531462,5,4,58.47932,27,0.8292032,20.86741,0,Stayed
29,4.531462,5,4,58.47932,27,0.8292032,20.86741,0,Stayed
30,4.531462,5,4,58.47932,27,0.8292032,20.86741,0,Stayed
31,4.531462,5,4,58.47932,27,0.8292032,20.86741,0,Stayed
32,4.531462,5,4,58.47932,27,0.8292032,20.86741,0,Stayed
33,4.531462,5,4,58.47932,27,0.8292032,20.86741,0,Stayed
34,4.531462,5,4,58.47932,27,0.8292032,20.86741,0,Stayed
1,3.481091,1,4,66.51013,23,1.191087,44.76787,1,Stayed
2,3.481091,1,4,66.51013,23,1.191087,44.76787,1,Stayed
3,3.481091,1,4,66.51013,23,1.191087,44.76787,1,Stayed
4,3.481091,1,4,66.51013,23,1.191087,44.76787,1,Stayed
5,3.481091,1,4,66.51013,23,1.191087,44.76787,1,Stayed
6,3.481091,1,4,66.51013,23,1.191087,44.76787,1,Stayed
7,3.481091,1,4,66.51013,23,1.191087,44.76787,1,Stayed
8,3.481091,1,4,66.51013,23,1.191087,44.76787,1,Stayed
9,3.481091,1,4,66.51013,23,1.191087,44.76787,1,Left
1,4.978261,4,9,81.84412,10,1.651145,19.83364,0,Stayed
2,4.978261,4,9,81.84412,10,1.651145,19.83364,0,Stayed
3,4.978261,4,9,81.84412,10,1.651145,19.83364,0,Stayed
4,4.978261,4,9,81.84412,10,1.651145,19.83364,0,Stayed
5,4.978261,4,9,81.84412,10,1.651145,19.83364,0,Stayed
6,4.978261,4,9,81.84412,10,1.651145,19.83364,0,Stayed
7,4.978261,4,9,81.84412,10,1.651145,19.83364,0,Stayed
8,4.978261,4,9,81.84412,10,1.651145,19.83364,0,Stayed
9,4.978261,4,9,81.84412,10,1.651145,19.83364,0,Stayed
10,4.978261,4,9,81.84412,10,1.651145,19.83364,0,Stayed
11,4.978261,4,9,81.84412,10,1.651145,19.83364,0,Stayed
12,4.978261,4,9,81.84412,10,1.651145,19.83364,0,Stayed
13,4.978261,4,9,81.84412,10,1.651145,19.83364,0,Stayed
14,4.978261,4,9,81.84412,10,1.651145,19.83364,0,Stayed
15,4.978261,4,9,81.84412,10,1.651145,19.83364,0,Stayed
16,4.978261,4,9,81.84412,10,1.651145,19.83364,0,Stayed
17,4.978261,4,9,81.84412,10,1.651145,19.83364,0,Stayed
18,4.978261,4,9,81.84412,10,1.651145,19.83364,0,Stayed
19,4.978261,4,9,81.84412,10,1.651145,19.83364,0,Stayed
20,4.978261,4,9,81.84412,10,1.651145,19.83364,0,Stayed
21,4.978261,4,9,81.84412,10,1.651145,19.83364,0,Stayed
22,4.978261,4,9,81.84412,10,1.651145,19.83364,0,Stayed
23,4.978261,4,9,81.84412,10,1.651145,19.83364,0,Stayed
24,4.978261,4,9,81.84412,10,1.651145,19.83364,0,Stayed
25,4.978261,4,9,81.84412,10,1.651145,19.83364,0,Stayed
26,4.978261,4,9,81.84412,10,1.651145,19.83364,0,Stayed
27,4.978261,4,9,81.84412,10,1.651145,19.83364,0,Stayed
28,4.978261,4,9,81.84412,10,1.651145,19.83364,0,Stayed
29,4.978261,4,9,81.84412,10,1.651145,19.83364,0,Stayed
30,4.978261,4,9,81.84412,10,1.651145,19.83364,0,Stayed
31,4.978261,4,9,81.84412,10,1.651145,19.83364,0,Stayed
32,4.978261,4,9,81.84412,10,1.651145,19.83364,0,Stayed
33,4.978261,4,9,81.84412,10,1.651145,19.83364,0,Stayed
1,4.357948,7,2,80.98911,7,0.0394766,92.35741,0,Stayed
2,4.357948,7,2,80.98911,7,0.0394766,92.35741,0,Stayed
3,4.357948,7,2,80.98911,7,0.0394766,92.35741,0,Stayed
4,4.357948,7,2,80.98911,7,0.0394766,92.35741,0,Stayed
5,4.357948,7,2,80.98911,7,0.0394766,92.35741,0,Stayed
6,4.357948,7,2,80.98911,7,0.0394766,92.35741,0,Stayed
7,4.357948,7,2,80.98911,7,0.0394766,92.35741,0,Stayed
8,4.357948,7,2,80.98911,7,0.0394766,92.35741,0,Stayed
9,4.357948,7,2,80.98911,7,0.0394766,92.35741,0,Stayed
10,4.357948,7,2,80.98911,7,0.0394766,92.35741,0,Stayed
11,4.357948,7,2,80.98911,7,0.0394766,92.35741,0,Stayed
12,4.357948,7,2,80.98911,7,0.0394766,92.35741,0,Stayed
13,4.357948,7,2,80.98911,7,0.0394766,92.35741,0,Stayed
14,4.357948,7,2,80.98911,7,0.0394766,92.35741,0,Stayed
15,4.357948,7,2,80.98911,7,0.0394766,92.35741,0,Stayed
16,4.357948,7,2,80.98911,7,0.0394766,92.35741,0,Stayed
17,4.357948,7,2,80.98911,7,0.0394766,92.35741,0,Stayed
18,4.357948,7,2,80.98911,7,0.0394766,92.35741,0,Stayed
19,4.357948,7,2,80.98911,7,0.0394766,92.35741,0,Stayed
20,4.357948,7,2,80.98911,7,0.0394766,92.35741,0,Stayed
21,4.357948,7,2,80.98911,7,0.0394766,92.35741,0,Stayed
22,4.357948,7,2,80.98911,7,0.0394766,92.35741,0,Stayed
23,4.357948,7,2,80.98911,7,0.0394766,92.35741,0,Stayed
24,4.357948,7,2,80.98911,7,0.0394766,92.35741,0,Stayed
25,4.357948,7,2,80.98911,7,0.0394766,92.35741,0,Stayed
26,4.357948,7,2,80.98911,7,0.0394766,92.35741,0,Stayed
27,4.357948,7,2,80.98911,7,0.0394766,92.35741,0,Stayed
28,4.357948,7,2,80.98911,7,0.0394766,92.35741,0,Stayed
29,4.357948,7,2,80.98911,7,0.0394766,92.35741,0,Stayed
30,4.357948,7,2,80.98911,7,0.0394766,92.35741,0,Stayed
31,4.357948,7,2,80.98911,7,0.0394766,92.35741,0,Stayed
32,4.357948,7,2,80.98911,7,0.0394766,92.35741,0,Stayed
33,4.357948,7,2,80.98911,7,0.0394766,92.35741,0,Stayed
34,4.357948,7,2,80.98911,7,0.0394766,92.35741,0,Stayed
35,4.357948,7,2,80.98911,7,0.0394766,92.35741,0,Left
1,4.950037,11,5,64.91282,11,0.3975453,100.0,1,Stayed
2,4.950037,11,5,64.91282,11,0.3975453,100.0,1,Stayed
3,4.950037,11,5,64.91282,11,0.3975453,100.0,1,Stayed
4,4.950037,11,5,64.91282,11,0.3975453,100.0,1,Stayed
5,4.950037,11,5,64.91282,11,0.3975453,100.0,1,Stayed
6,4.950037,11,5,64.91282,11,0.3975453,100.0,1,Stayed
7,4.950037,11,5,64.91282,11,0.3975453,100.0,1,Stayed
8,4.950037,11,5,64.91282,11,0.3975453,100.0,1,Stayed
9,4.950037,11,5,64.91282,11,0.3975453,100.0,1,Stayed
10,4.950037,11,5,64.91282,11,0.3975453,100.0,1,Stayed
11,4.950037,11,5,64.91282,11,0.3975453,100.0,1,Stayed
12,4.950037,11,5,64.91282,11,0.3975453,100.0,1,Stayed
13,4.950037,11,5,64.91282,11,0.3975453,100.0,1,Stayed
14,4.950037,11,5,64.91282,11,0.3975453,100.0,1,Stayed
15,4.950037,11,5,64.91282,11,0.3975453,100.0,1,Stayed
16,4.950037,11,5,64.91282,11,0.3975453,100.0,1,Stayed
17,4.950037,11,5,64.91282,11,0.3975453,100.0,1,Stayed
18,4.950037,11,5,64.91282,11,0.3975453,100.0,1,Stayed
19,4.950037,11,5,64.91282,11,0.3975453,100.0,1,Stayed
20,4.950037,11,5,64.91282,11,0.3975453,100.0,1,Stayed
21,4.950037,11,5,64.91282,11,0.3975453,100.0,1,Stayed
22,4.950037,11,5,64.91282,11,0.3975453,100.0,1,Stayed
23,4.950037,11,5,64.91282,11,0.3975453,100.0,1,Stayed
24,4.950037,11,5,64.91282,11,0.3975453,100.0,1,Stayed
25,4.950037,11,5,64.91282,11,0.3975453,100.0,1,Stayed
26,4.950037,11,5,64.91282,11,0.3975453,100.0,1,Stayed
27,4.950037,11,5,64.91282,11,0.3975453,100.0,1,Stayed
28,4.950037,11,5,64.91282,11,0.3975453,100.0,1,Stayed
29,4.950037,11,5,64.91282,11,0.3975453,100.0,1,Stayed
30,4.950037,11,5,64.91282,11,0.3975453,100.0,1,Stayed
31,4.950037,11,5,64.91282,11,0.3975453,100.0,1,Left
1,4.647953,1,0,81.83416,25,2.148067,35.49015,1,Stayed
2,4.647953,1,0,81.83416,25,2.148067,35.49015,1,Stayed
3,4.647953,1,0,81.83416,25,2.148067,35.49015,1,Stayed
4,4.647953,1,0,81.83416,25,2.148067,35.49015,1,Stayed
5,4.647953,1,0,81.83416,25,2.148067,35.49015,1,Stayed
6,4.647953,1,0,81.83416,25,2.148067,35.49015,1,Stayed
7,4.647953,1,0,81.83416,25,2.148067,35.49015,1,Stayed
8,4.647953,1,0,81.83416,25,2.148067,35.49015,1,Stayed
9,4.647953,1,0,81.83416,25,2.148067,35.49015,1,Stayed
10,4.647953,1,0,81.83416,25,2.148067,35.49015,1,Stayed
11,4.647953,1,0,81.83416,25,2.148067,35.49015,1,Stayed
12,4.647953,1,0,81.83416,25,2.148067,35.49015,1,Stayed
13,4.647953,1,0,81.83416,25,2.148067,35.49015,1,Stayed
14,4.647953,1,0,81.83416,25,2.148067,35.49015,1,Stayed
15,4.647953,1,0,81.83416,25,2.148067,35.49015,1,Stayed
16,4.647953,1,0,81.83416,25,2.148067,35.49015,1,Stayed
17,4.647953,1,0,81.83416,25,2.148067,35.49015,1,Stayed
18,4.647953,1,0,81.83416,25,2.148067,35.49015,1,Stayed
19,4.647953,1,0,81.83416,25,2.148067,35.49015,1,Stayed
20,4.647953,1,0,81.83416,25,2.148067,35.49015,1,Stayed
21,4.647953,1,0,81.83416,25,2.148067,35.49015,1,Stayed
22,4.647953,1,0,81.83416,25,2.148067,35.49015,1,Stayed
23,4.647953,1,0,81.83416,25,2.148067,35.49015,1,Stayed
24,4.647953,1,0,81.83416,25,2.148067,35.49015,1,Stayed
25,4.647953,1,0,81.83416,25,2.148067,35.49015,1,Stayed
26,4.647953,1,0,81.83416,25,2.148067,35.49015,1,Stayed
27,4.647953,1,0,81.83416,25,2.148067,35.49015,1,Stayed
28,4.647953,1,0,81.83416,25,2.148067,35.49015,1,Stayed
29,4.647953,1,0,81.83416,25,2.148067,35.49015,1,Stayed
30,4.647953,1,0,81.83416,25,2.148067,35.49015,1,Stayed
31,4.647953,1,0,81.83416,25,2.148067,35.49015,1,Left
1,4.882038,0,0,81.29402,8,0.1549564,100.0,1,Stayed
