Hour,DayOfWeek,Month,Year,PdDistrict,Address,X,Y,ViolentCrime
22,4,6,2014,BAYVIEW,400 Block of TEXAS ST,-122.395306421689,37.7607133473622,No
2,2,11,2003,TARAVAL,2600 Block of LINCOLN WY,-122.486383965823,37.7651447504644,No
9,3,2,2018,CENTRAL,400 Block of DAVIS CT,-122.398187664281,37.7967148853927,No
17,3,10,2003,INGLESIDE,4100 Block of MISSION ST,-122.429614852533,37.730269701982,No
15,4,6,2007,BAYVIEW,300 Block of BAY SHORE BL,-122.405318310963,37.7427020589526,Yes
0,2,10,2016,MISSION,1400 Block of VALENCIA ST,-122.420497863936,37.749686670992,No
21,2,2,2013,TARAVAL,100 Block of WAWONA ST,-122.467244523327,37.7405957499546,No
8,4,2,2005,TARAVAL,2400 Block of 43RD AV,-122.501405849959,37.7409586456892,No
10,1,2,2017,PARK,2000 Block of OAK ST,-122.453078855673,37.7710611356079,Yes
12,6,8,2016,SOUTHERN,800 Block of MARKET ST,-122.406520987144,37.7850629421661,No
11,3,3,2007,BAYVIEW,1600 Block of JERROLD AV,-122.390267805667,37.7393529194857,No
22,4,3,2016,BAYVIEW,3RD ST / UNDERWOOD AV,-122.392351560046,37.7300677159311,No
9,1,1,2006,SOUTHERN,6TH ST / JESSIE ST,-122.409247675547,37.7813987340892,No
16,5,4,2003,NORTHERN,VAN NESS AV / TURK ST,-122.420641893741,37.7819608221608,No
7,3,4,2010,MISSION,500 Block of CHURCH ST,-122.428538964654,37.7624845773087,No
5,2,8,2005,TENDERLOIN,400 Block of EDDY ST,-122.41506687647,37.7835634796332,No
14,4,4,2009,SOUTHERN,0 Block of SHERMAN ST,-122.405924386123,37.7766015774052,Yes
13,2,2,2017,NORTHERN,VANNESS AV / MARKET ST,-122.419257894814,37.7751462916539,No
20,5,4,2012,INGLESIDE,0 Block of LAWRENCE AV,-122.451345531222,37.70986044957,Yes
11,7,10,2015,INGLESIDE,ALEMANY BL / SICKLES AV,-122.454882964282,37.7104799961102,No
1,1,2,2018,SOUTHERN,HARRISON ST / 3RD ST,-122.397388784826,37.7825543452426,No
23,1,7,2013,NORTHERN,POLK ST / HEMLOCK ST,-122.420021471047,37.7872807076108,No
12,6,1,2007,TARAVAL,200 Block of SANANSELMO AV,-122.464575548505,37.7340989973689,No
16,1,11,2008,TENDERLOIN,LEAVENWORTH ST / GOLDEN GATE AV,-122.413869632554,37.7818621883021,No
8,6,3,2005,RICHMOND,1000 Block of POINTLOBOS AV,-122.513642064265,37.7784692199467,No
20,1,11,2011,CENTRAL,STOCKTON ST / THE EMBARCADERONORTH ST,-122.410785253423,37.808337402093,No
6,2,2,2016,MISSION,0 Block of WOODWARD ST,-122.420787082234,37.7690595236078,No
11,7,5,2008,INGLESIDE,0 Block of GARRISON AV,-122.412959518511,37.7107126536652,No
12,4,12,2016,BAYVIEW,300 Block of SELBY ST,-122.394672180805,37.7455623557639,Yes
16,2,5,2017,INGLESIDE,4700 Block of MISSION ST,-122.437393972517,37.7214120621391,No
17,3,9,2006,CENTRAL,900 Block of BUSH ST,-122.412907007898,37.7895783628974,No
12,3,1,2012,MISSION,2000 Block of MARKET ST,-122.426955631709,37.769247063207,No
1,3,4,2009,PARK,100 Block of CROWN TR,-122.447004412171,37.757589772376,No
12,5,5,2008,BAYVIEW,1200 Block of GILMAN AV,-122.392781335006,37.720933638817,No
17,7,7,2003,PARK,0 Block of BEIDEMAN ST,-122.438432056177,37.7820904740792,No
19,6,12,2015,SOUTHERN,1100 Block of MISSION ST,-122.411626152299,37.7785895740312,No
17,4,3,2009,RICHMOND,100 Block of 19TH AV,-122.478714005956,37.7850816554526,No
15,1,9,2005,RICHMOND,4400 Block of GEARY BL,-122.466959904815,37.7807757820912,Yes
13,7,1,2012,SOUTHERN,800 Block of BRYANT ST,-122.403404791479,37.775420706711,No
16,6,1,2010,MISSION,2000 Block of MISSION ST,-122.41965834371,37.7642205603745,No
8,6,5,2008,CENTRAL,SACRAMENTO ST / DRUMM ST,-122.396588566738,37.794587635329,No
19,7,12,2004,TENDERLOIN,0 Block of TURK ST,-122.409853729941,37.7833862379382,No
15,1,9,2013,TARAVAL,1200 Block of 15TH AV,-122.472924020326,37.7646755776949,No
13,4,11,2006,SOUTHERN,800 Block of BRYANT ST,-122.403404791479,37.775420706711,No
20,2,3,2016,NORTHERN,MARKET ST / HAYES ST,-122.416293820935,37.777493677735,Yes
17,7,2,2013,MISSION,1000 Block of HAMPSHIRE ST,-122.407592726102,37.7552880312075,No
14,7,9,2015,SOUTHERN,800 Block of BRYANT ST,-122.403404791479,37.775420706711,No
0,3,10,2014,TARAVAL,400 Block of BRIGHT ST,-122.463620567059,37.7189283567907,No
9,2,8,2009,INGLESIDE,200 Block of ONEIDA AV,-122.443009986764,37.7218704825421,No
12,4,9,2008,CENTRAL,600 Block of FILBERT ST,-122.410220142966,37.8013225692058,No
16,3,10,2005,NORTHERN,POLK ST / GEARY ST,-122.419739837813,37.7858926099486,No
19,6,6,2006,BAYVIEW,1000 Block of 22ND ST,-122.391657947374,37.7576837547113,No
14,7,9,2014,TARAVAL,1300 Block of 20TH AV,-122.478194247055,37.7625630891661,No
8,5,7,2012,PARK,700 Block of STANYAN ST,-122.453512911126,37.7686969786551,No
7,2,4,2013,NORTHERN,1100 Block of TURK ST,-122.428818526724,37.7808642652455,Yes
13,1,6,2016,TARAVAL,LINCOLN WY / 24TH AV,-122.482614313563,37.7652086194992,No
6,5,3,2003,NORTHERN,400 Block of HAIGHT ST,-122.429644614552,37.7722642986091,No
18,1,5,2009,RICHMOND,PARKPRESIDIO BL / FULTON ST,-122.471762293486,37.7731370564457,No
12,1,7,2016,TENDERLOIN,300 Block of GOLDEN GATE AV,-122.416351987352,37.7816031438671,No
3,7,10,2016,INGLESIDE,HAHN ST / SUNNYDALE AV,-122.416000227907,37.7119155437754,No
19,4,7,2010,INGLESIDE,3300 Block of SAN BRUNO AV,-122.40065024922,37.7197629937223,No
15,4,10,2014,SOUTHERN,MARKET ST / TAYLOR ST,-122.41029351969,37.7822305870036,No
10,2,2,2005,CENTRAL,BROADWAY ST / COLUMBUS AV,-122.406669739958,37.7978641744165,No
2,7,8,2008,CENTRAL,1600 Block of THE EMBARCADERONORTH ST,-122.410774214375,37.8084350175869,Yes
0,1,7,2003,TARAVAL,0 Block of GRANADA AV,-122.457082657075,37.7191321202701,No
17,7,9,2010,TARAVAL,200 Block of WINSTON DR,-122.477976682169,37.7269346350353,No
0,5,7,2005,INGLESIDE,100 Block of PRECITA AV,-122.417225757723,37.7471608234479,No
16,3,2,2006,NORTHERN,TURK ST / LARKIN ST,-122.417340533228,37.7823798970477,Yes
18,7,8,2011,INGLESIDE,500 Block of 30TH ST,-122.431449078966,37.7417629195926,No
10,6,7,2007,BAYVIEW,0 Block of CAMERON WY,-122.385879189053,37.7202869779119,Yes
8,2,12,2007,INGLESIDE,300 Block of ATHENS ST,-122.427793283852,37.7223733271919,No
13,7,12,2014,NORTHERN,1800 Block of FILLMORE ST,-122.43343589718,37.7865533498473,No
23,6,8,2015,SOUTHERN,5TH ST / HOWARD ST,-122.404934413339,37.7814987213218,No
23,5,5,2013,MISSION,24TH ST / MISSION ST,-122.418448186101,37.7522391652625,No
22,7,10,2009,TARAVAL,1800 Block of 25TH AV,-122.482902296498,37.7530041520866,No
23,3,11,2004,NORTHERN,1300 Block of STEINER ST,-122.434137606289,37.7816850865094,No
11,6,6,2003,CENTRAL,CLAY ST / THE EMBARCADERO NORTH ST,-122.394544587545,37.7957439713286,No
9,5,4,2016,SOUTHERN,800 Block of BRYANT ST,-122.403404791479,37.775420706711,No
16,3,2,2004,BAYVIEW,2600 Block of PHELPS ST,-122.401176066567,37.7289237312418,Yes
15,6,3,2016,BAYVIEW,ILLINOIS ST / HUMBOLDT ST,-122.387198708952,37.7567789294467,No
20,3,12,2015,NORTHERN,1100 Block of FILLMORE ST,-122.431979576386,37.7800478529923,No
14,3,11,2009,INGLESIDE,0 Block of GARRISON AV,-122.412959518511,37.7107126536652,No
10,5,2,2017,CENTRAL,0 Block of DRUMM ST,-122.396421943768,37.7941447423704,No
10,6,6,2017,SOUTHERN,800 Block of BRYANT ST,-122.403404791479,37.775420706711,No
11,7,5,2006,NORTHERN,LARKIN ST / OFARRELL ST,-122.417903977564,37.7851670875517,No
20,7,8,2009,TENDERLOIN,0 Block of STOCKTON ST,-122.406351834294,37.7860311576362,No
13,7,5,2008,TARAVAL,0 Block of CRYSTAL ST,-122.460687878061,37.7100131333471,No
11,6,9,2006,INGLESIDE,PERSIA AV / EDINBURGH ST,-122.432006387715,37.7212381938463,No
17,6,1,2009,SOUTHERN,300 Block of CLEMENTINA ST,-122.40232147638,37.7820387146172,No
23,1,7,2011,CENTRAL,700 Block of VALLEJO ST,-122.409791662293,37.7985083480435,No
1,6,12,2004,TENDERLOIN,GOLDEN GATE AV / JONES ST,-122.412224164743,37.78207293118,No
16,4,9,2016,MISSION,20TH ST / MISSION ST,-122.419052694349,37.7586324051562,Yes
12,3,2,2011,SOUTHERN,0 Block of 7TH ST,-122.412272455406,37.7802039058686,No
12,7,11,2003,INGLESIDE,3300 Block of SAN BRUNO AV,-122.40065024922,37.7197629937223,No
11,7,12,2004,SOUTHERN,200 Block of 8TH ST,-122.411271940537,37.7760329501244,Yes
19,6,3,2012,SOUTHERN,800 Block of BRYANT ST,-122.403404791479,37.775420706711,No
19,4,10,2016,SOUTHERN,9TH ST / TEHAMA ST,-122.412629548354,37.7745645438765,No
10,5,6,2006,RICHMOND,500 Block of 3RD AV,-122.460793422453,37.7782928825562,No
4,1,10,2012,NORTHERN,1400 Block of TURK ST,-122.43298921345,37.7804437011568,No
15,5,1,2004,MISSION,3600 Block of 18TH ST,-122.425577459237,37.7615126051244,No
21,3,5,2006,BAYVIEW,0 Block of NORTHRIDGE RD,-122.375512968635,37.730806609582,No
13,4,11,2011,TARAVAL,0 Block of WESTPORTAL AV,-122.466448582438,37.7403329886376,No
10,3,1,2007,TARAVAL,PHELAN AV / OCEAN AV,-122.452330120871,37.7230787059359,No
13,1,1,2017,SOUTHERN,0 Block of THE EMBARCADEROSOUTH ST,-122.388379873919,37.7833104067015,No
7,3,7,2004,NORTHERN,1100 Block of FILLMORE ST,-122.432116233695,37.7800304351156,No
17,3,10,2013,TENDERLOIN,100 Block of LEAVENWORTH ST,-122.413893155951,37.782346520673,No
20,3,4,2007,SOUTHERN,MISSION ST / 6TH ST,-122.408710606663,37.7809706722053,Yes
19,4,6,2009,BAYVIEW,1100 Block of PALOU AV,-122.382475491131,37.7292626391341,No
19,4,4,2008,SOUTHERN,BRANNAN ST / 5TH ST,-122.398758596964,37.776568769743,No
11,4,3,2008,SOUTHERN,800 Block of BRYANT ST,-122.403404791479,37.775420706711,No
7,4,5,2014,BAYVIEW,300 Block of HALE ST,-122.411846265549,37.7311823109483,No
0,1,4,2013,SOUTHERN,13TH ST / ISIS ST,-122.414825938111,37.7695542258808,No
22,4,5,2006,TARAVAL,2400 Block of 17TH AV,-122.473556017601,37.7421924306247,No
22,6,9,2013,CENTRAL,100 Block of JACKSON ST,-122.398919477596,37.796953574467,No
13,6,11,2005,BAYVIEW,4600 Block of 3RD ST,-122.390412132668,37.7360102192532,No
4,1,3,2012,BAYVIEW,600 Block of CAROLINA ST,-122.400291849759,37.7606135332698,No
12,4,4,2015,RICHMOND,500 Block of JOHNFKENNEDY DR,-122.466204667893,37.7725405391593,No
10,6,10,2011,SOUTHERN,800 Block of BRYANT ST,-122.403404791479,37.775420706711,No
17,4,3,2004,SOUTHERN,1000 Block of MARKET ST,-122.411071423064,37.7817511307229,No
11,5,5,2011,MISSION,2600 Block of MISSION ST,-122.41860030589,37.7546255872838,No
15,1,4,2012,TARAVAL,700 Block of FONT BL,-122.483569270838,37.7230650556781,No
10,2,12,2004,TARAVAL,3900 Block of ALEMANY BL,-122.468105304613,37.7109639146394,Yes
18,3,10,2010,PARK,1800 Block of HAIGHT ST,-122.452728322759,37.7693241293319,No
14,2,12,2007,MISSION,1900 Block of MISSION ST,-122.419814593811,37.7658427213372,No
1,4,7,2006,CENTRAL,1800 Block of MONTGOMERY ST,-122.405198753901,37.805247004354,No
0,1,11,2015,NORTHERN,2000 Block of LOMBARD ST,-122.435218147193,37.7998288660666,No
5,4,1,2018,MISSION,1000 Block of POTRERO AV,-122.406539115148,37.7564864109309,No
16,1,3,2015,INGLESIDE,800 Block of CORTLAND AV,-122.414235499783,37.7388517685098,No
13,2,9,2009,SOUTHERN,1500 Block of MISSION ST,-122.417975390351,37.7737509379648,No
9,7,9,2009,RICHMOND,2400 Block of CLEMENT ST,-122.485415932311,37.781944741651,Yes
19,2,10,2017,MISSION,CESAR CHAVEZ ST / SOUTH VAN NESS AV,-122.415863818297,37.7482130107284,No
12,3,3,2003,RICHMOND,600 Block of 32ND AV,-122.491956779206,37.7768766735218,No
6,1,3,2005,NORTHERN,OFARRELL ST / FRANKLIN ST,-122.42284079466,37.7845455354987,No
20,3,2,2012,TARAVAL,2600 Block of GREAT HY,-122.506306072111,37.7374969163271,No
18,7,10,2007,SOUTHERN,700 Block of HOWARD ST,-122.401560967513,37.7840888680389,No
2,4,3,2004,TENDERLOIN,0 Block of TURK ST,-122.409849441655,37.7832755202567,No
17,5,3,2010,BAYVIEW,1400 Block of OAKDALE AV,-122.387527753438,37.7330549651025,No
11,3,9,2009,NORTHERN,CLAY ST / BUCHANAN ST,-122.430917210951,37.7911297518172,No
4,4,9,2010,BAYVIEW,1100 Block of PALOU AV,-122.382555908106,37.7291732610915,Yes
0,1,7,2009,TARAVAL,1500 Block of 30TH AV,-122.488650452246,37.7583590979713,No
19,6,10,2004,SOUTHERN,400 Block of 5TH ST,-122.401626749052,37.7787814951252,No
12,7,4,2004,MISSION,16TH ST / MISSION ST,-122.419671780303,37.7650501214714,No
2,4,9,2017,MISSION,4500 Block of 19TH ST,-122.440463403709,37.7589809039288,No
10,4,5,2012,MISSION,600 Block of VALENCIA ST,-122.421747650463,37.7627436601147,No
18,5,8,2003,SOUTHERN,800 Block of BRYANT ST,-122.403404791479,37.775420706711,Yes
16,7,4,2011,MISSION,3800 Block of 18TH ST,-122.42947985807,37.7611664755886,Yes
18,7,7,2010,NORTHERN,VALLEJO ST / PIERCE ST,-122.438403353467,37.7948059093393,No
14,1,5,2010,TENDERLOIN,200 Block of HYDE ST,-122.415721688006,37.7830679886919,No
13,2,7,2009,CENTRAL,GEARY ST / HYDE ST,-122.416452065595,37.7863086885804,No
17,4,10,2011,MISSION,MISSION ST / 17TH ST,-122.419515708406,37.7634292328496,No
16,3,9,2003,NORTHERN,WEBSTER ST / GEARY BL,-122.431206932052,37.7845681170112,No
15,1,6,2017,RICHMOND,700 Block of 38TH AV,-122.498247230843,37.7747185410423,No
5,6,3,2017,PARK,1200 Block of 7TH AV,-122.464273782041,37.7645957813174,No
17,7,9,2009,MISSION,VALENCIA ST / 24TH ST,-122.420665771329,37.7521041553051,No
16,6,12,2015,NORTHERN,1200 Block of POLK ST,-122.420094921042,37.7879983893852,No
12,7,8,2011,CENTRAL,100 Block of GREENWICH ST,-122.402591782252,37.8032219444332,No
2,4,7,2017,SOUTHERN,0 Block of 10TH ST,-122.41725760507,37.7762695066166,Yes
10,7,12,2005,TARAVAL,100 Block of WESTPORTAL AV,-122.467958510843,37.7387826159442,No
14,3,6,2011,NORTHERN,1400 Block of EDDY ST,-122.431474711791,37.78148065212,No
14,6,10,2009,CENTRAL,STOCKTON ST / CHESTNUT ST,-122.409940522411,37.8041675645659,No
22,7,5,2005,SOUTHERN,200 Block of SHIPLEY ST,-122.404427110658,37.7784980708735,No
5,1,9,2007,NORTHERN,1000 Block of LARKIN ST,-122.41824964748,37.7872715205959,Yes
22,1,3,2006,CENTRAL,800 Block of GEARY ST,-122.417273344939,37.7861493947594,No
15,1,4,2008,PARK,HAIGHT ST / BELVEDERE ST,-122.449647662955,37.7696619195846,No
17,6,6,2012,SOUTHERN,1100 Block of MISSION ST,-122.412736707425,37.7777124404316,Yes
18,5,10,2016,SOUTHERN,THE EMBARCADEROSOUTH ST / BRYANT ST,-122.388007401911,37.7871027247566,No
1,6,5,2008,SOUTHERN,0 Block of 2ND ST,-122.400514356234,37.7886558887618,No
0,2,6,2011,BAYVIEW,1100 Block of HOLLISTER AV,-122.39333133787,37.7203256859376,No
0,1,4,2007,CENTRAL,300 Block of SUTTER ST,-122.40618184105,37.7894765068014,No
16,5,1,2005,MISSION,800 Block of GUERRERO ST,-122.42325992746,37.7571727207066,No
20,7,9,2012,SOUTHERN,300 Block of BRYANT ST,-122.39099120026,37.7852901068336,No
22,7,5,2016,MISSION,DOLORES ST / 16TH ST,-122.426384450806,37.764643937262,Yes
22,5,8,2006,MISSION,1100 Block of TREAT AV,-122.412846392511,37.7517592755797,No
19,7,8,2014,SOUTHERN,800 Block of BRYANT ST,-122.403404791479,37.775420706711,No
18,4,6,2004,INGLESIDE,300 Block of 30TH ST,-122.427386127242,37.7421004175592,No
1,2,11,2003,SOUTHERN,NEW MONTGOMERY ST / STEVENSON ST,-122.401511841171,37.7882701434515,No
2,1,9,2014,NORTHERN,WILLOW ST / POLK ST,-122.419274801449,37.7835680535207,No
18,4,7,2009,SOUTHERN,200 Block of INTERSTATE80 HY,-122.365565425353,37.8096707013239,No
17,4,11,2017,MISSION,2500 Block of 25TH ST,-122.403768502755,37.7518182541031,No
22,7,3,2013,BAYVIEW,1200 Block of SHAFTER AV,-122.384241699101,37.7272946445203,No
15,2,3,2014,PARK,OAK ST / DIVISADERO ST,-122.437422446098,37.7731323316038,No
18,5,11,2017,CENTRAL,0 Block of BEACH ST,-122.409877282931,37.8080500969059,No
22,5,3,2009,MISSION,300 Block of HOFFMAN AV,-122.440585539888,37.7512966533096,No
2,6,10,2005,PARK,100 Block of GARDENSIDE DR,-122.444802279995,37.7541708897983,No
8,4,9,2008,TARAVAL,2900 Block of SAN JOSE AV,-122.455783853872,37.71139544473,No
22,7,8,2013,CENTRAL,800 Block of MONTGOMERY ST,-122.40354422656,37.7969934198176,No
8,3,3,2015,TARAVAL,1500 Block of 32ND AV,-122.490796957229,37.7582643904268,No
22,6,7,2008,MISSION,16TH ST / MISSION ST,-122.419671780296,37.7650501214668,Yes
0,3,2,2005,INGLESIDE,200 Block of RICHLAND AV,-122.421624611377,37.7359058118447,No
12,1,1,2006,NORTHERN,1100 Block of GOUGH ST,-122.424424458536,37.7843851498331,No
16,3,8,2003,SOUTHERN,1200 Block of FOLSOM ST,-122.410802477808,37.7743299153836,No
12,4,5,2018,TARAVAL,1800 Block of 25TH AV,-122.482902296498,37.7530041520866,No
1,5,3,2018,BAYVIEW,500 Block of BAY SHORE BL,-122.407139235455,37.7393186205107,Yes
8,2,8,2012,MISSION,SHARON ST / 15TH ST,-122.429773616405,37.7644401638599,No
17,6,2,2016,RICHMOND,0 Block of AVENUE OF THE PALMS,-122.371308172548,37.8153429065568,No
13,6,4,2004,SOUTHERN,0 Block of NEW MONTGOMERY ST,-122.401738283506,37.7885335775983,No
14,4,2,2012,MISSION,0 Block of WIESE ST,-122.420629159814,37.7658091937535,No
16,6,6,2014,CENTRAL,400 Block of PACIFIC AV,-122.402452696904,37.7973964914246,No
20,3,11,2007,SOUTHERN,MARKET ST / 5TH ST,-122.408068345148,37.7839916768161,No
19,4,4,2003,MISSION,2500 Block of MISSION ST,-122.418891810986,37.7562166627216,No
14,5,3,2003,SOUTHERN,MARKET ST / 7TH ST,-122.412515341363,37.7804777480279,No
19,2,4,2017,TENDERLOIN,100 Block of OFARRELL ST,-122.407244087032,37.7865647607685,No
17,3,9,2014,BAYVIEW,100 Block of TOPEKA AV,-122.398088929937,37.7335006841226,No
2,4,6,2017,CENTRAL,400 Block of GEARY ST,-122.41072162587,37.7870966495663,Yes
14,4,12,2009,TENDERLOIN,300 Block of TURK ST,-122.414900544562,37.7827419623926,No
11,5,9,2006,BAYVIEW,3RD ST / WALLACE AV,-122.392899342709,37.7284904239683,No
10,5,1,2008,TENDERLOIN,HYDE ST / GOLDEN GATE AV,-122.415508242782,37.7816542806076,No
0,2,12,2009,NORTHERN,FRANKLIN ST / FILBERT ST,-122.425815158808,37.7992753722434,No
18,3,8,2011,PARK,1200 Block of PAGE ST,-122.441393701114,37.7717273141771,No
19,6,5,2013,TARAVAL,KIRKHAM ST / 8TH AV,-122.486511077694,37.7594046037159,Yes
15,7,8,2017,SOUTHERN,400 Block of BRANNAN ST,-122.395985970867,37.7788348205682,No
1,1,8,2004,TARAVAL,1300 Block of 9TH AV,-122.466175257158,37.7630911994124,Yes
14,5,4,2004,SOUTHERN,MASON ST / MARKET ST,-122.408953598286,37.7832878735491,No
1,1,4,2004,MISSION,2000 Block of FOLSOM ST,-122.415132425046,37.7641898631111,No
21,3,10,2007,MISSION,0 Block of CAPP ST,-122.418613686714,37.766202876914,No
0,5,5,2008,INGLESIDE,400 Block of PARIS ST,-122.434947771932,37.7215611709143,Yes
6,1,1,2017,PARK,700 Block of STANYAN ST,-122.453376250788,37.7687142722405,No
16,5,6,2017,NORTHERN,2100 Block of UNION ST,-122.434695000374,37.7972457460489,No
0,5,8,2013,BAYVIEW,1100 Block of FITZGERALD AV,-122.39036028161,37.7205064590363,Yes
19,5,2,2005,MISSION,24TH ST / MISSION ST,-122.418448186109,37.752239165267,No
8,7,9,2014,NORTHERN,TURK ST / LARKIN ST,-122.417340533228,37.7823798970477,No
17,4,3,2011,TENDERLOIN,ELLIS ST / JONES ST,-122.412784096502,37.7848656939526,No
18,1,4,2008,TENDERLOIN,TURK ST / TAYLOR ST,-122.410768766343,37.7832145190013,No
8,6,12,2003,BAYVIEW,2000 Block of NEWCOMB AV,-122.398247088098,37.7399618972506,No
22,7,2,2014,MISSION,600 Block of VALENCIA ST,-122.421550176461,37.7621307247611,No
23,1,2,2007,NORTHERN,800 Block of OFARRELL ST,-122.418729600557,37.785007503993,No
11,5,4,2017,NORTHERN,3600 Block of LYON ST,-122.44827840533,37.804271887891,No
2,1,10,2003,MISSION,16TH ST / ALABAMA ST,-122.412420102277,37.7654893909554,No
2,6,7,2003,SOUTHERN,200 Block of 9TH ST,-122.412845031536,37.7748170645635,Yes
12,2,6,2003,BAYVIEW,1800 Block of 26TH ST,-122.397388947833,37.7511708451997,No
16,5,3,2006,NORTHERN,1400 Block of PINE ST,-122.419672954945,37.789668941238,No
14,3,3,2009,INGLESIDE,300 Block of SILVER AV,-122.429969905093,37.728489252473,Yes
16,4,10,2015,TENDERLOIN,400 Block of EDDY ST,-122.415088721046,37.7836719564372,No
14,5,12,2007,SOUTHERN,800 Block of MARKET ST,-122.407633520742,37.7841893501425,No
14,2,4,2009,MISSION,16TH ST / JULIAN AV,-122.420901749456,37.7649778918035,No
6,5,10,2008,SOUTHERN,800 Block of BRYANT ST,-122.403404791479,37.775420706711,No
17,1,12,2008,NORTHERN,FILBERT ST / DIVISADERO ST,-122.442280193477,37.7971813798324,No
9,5,11,2010,SOUTHERN,5TH ST / MARKET ST,-122.408068345148,37.7839916768161,No
23,1,10,2003,MISSION,700 Block of GUERRERO ST,-122.423643238815,37.7587561824675,No
23,7,11,2017,SOUTHERN,SOUTHPARK AV / 2ND ST,-122.392845456789,37.7824570677935,No
13,3,7,2006,TENDERLOIN,300 Block of LEAVENWORTH ST,-122.414406029855,37.7841907151119,No
22,2,12,2007,RICHMOND,3200 Block of BALBOA ST,-122.493588244515,37.7759407137274,No
0,5,5,2016,RICHMOND,2100 Block of POST ST,-122.437220557775,37.7846857938094,No
17,5,4,2015,RICHMOND,500 Block of CLEMENT ST,-122.464972937349,37.782969823644,Yes
23,3,6,2017,NORTHERN,800 Block of HAYES ST,-122.43040309844,37.7759915316036,No
15,5,5,2015,INGLESIDE,1400 Block of SUNNYDALE AV,-122.415526093798,37.7118390462146,Yes
20,5,8,2003,SOUTHERN,700 Block of CLEMENTINA ST,-122.411454135501,37.774841201639,No
18,1,12,2005,TENDERLOIN,0 Block of TURK ST,-122.409849441655,37.7832755202567,Yes
20,5,3,2006,NORTHERN,LAGUNA ST / HAYES ST,-122.426265334521,37.7764631429143,No
20,3,9,2008,SOUTHERN,0 Block of HARRISON ST,-122.389008295709,37.7892474519723,No
21,1,3,2004,INGLESIDE,300 Block of RICHLAND AV,-122.418424445417,37.7357439504397,Yes
15,4,7,2008,MISSION,1000 Block of SHOTWELL ST,-122.415022828589,37.7516272270745,No
2,6,8,2003,TARAVAL,1700 Block of LINCOLN WY,-122.476763368367,37.7655687790971,No
9,2,9,2009,MISSION,2000 Block of MISSION ST,-122.41965834371,37.7642205603745,No
22,6,1,2009,MISSION,VALENCIA ST / CESAR CHAVEZ ST,-122.42027922768,37.7481246616016,No
23,3,8,2011,MISSION,0 Block of HANCOCK ST,-122.429392870662,37.7604789310536,No
11,6,7,2015,MISSION,1200 Block of TREAT AV,-122.412692441179,37.7501577446795,No
18,3,3,2009,BAYVIEW,EVANS AV / NEWHALL ST,-122.38655575027,37.7419504238358,No
18,3,7,2013,MISSION,16TH ST / MISSION ST,-122.419671780296,37.7650501214668,No
18,4,2,2010,SOUTHERN,800 Block of BRYANT ST,-122.403404791479,37.775420706711,Yes
21,3,1,2006,RICHMOND,3400 Block of SACRAMENTO ST,-122.449484496545,37.7878154692822,No
19,5,5,2010,MISSION,SHOTWELL ST / 19TH ST,-122.415929849548,37.7604330003754,No
